benchmark,config,status,result,time_real,exit_code,time_cpu,memory
smtcomp_83_p0.smt2,,to,unknown,1201.0,0,1201.0,748.9
smtcomp_83_p1.smt2,,to,unknown,1201.0,0,1201.0,477.8
smtcomp_83_p10.smt2,,ok,unsat,13.3,0,13.2,213.2
smtcomp_83_p11.smt2,,to,unknown,1201.0,0,1200.9,741.4
smtcomp_83_p12.smt2,,to,unknown,1201.0,0,1201.0,491.6
smtcomp_83_p13.smt2,,to,unknown,1201.0,0,1201.0,478.3
smtcomp_83_p14.smt2,,ok,unsat,13.1,0,13.0,212.7
smtcomp_83_p15.smt2,,to,unknown,1201.0,0,1201.0,480.7
smtcomp_83_p2.smt2,,ok,unsat,13.6,0,13.6,213.5
smtcomp_83_p3.smt2,,to,unknown,1201.0,0,1200.9,490.4
smtcomp_83_p4.smt2,,to,unknown,1201.0,0,1200.9,479.2
smtcomp_83_p5.smt2,,to,unknown,1201.0,0,1200.9,486.6
smtcomp_83_p6.smt2,,ok,unsat,13.3,0,13.2,212.9
smtcomp_83_p7.smt2,,to,unknown,1201.0,0,1201.0,480.6
smtcomp_83_p8.smt2,,to,unknown,1201.0,0,1201.0,747.4
smtcomp_83_p9.smt2,,to,unknown,1201.0,0,1200.9,482.4
