benchmark,config,status,result,time_real,exit_code,time_cpu,memory
SEQ038_size8_p0.smt2,,ok,unsat,0.1,0,0.1,7.4
SEQ038_size8_p1.smt2,,ok,unsat,0.1,0,0.1,7.1
SEQ038_size8_p10.smt2,,ok,unsat,0.1,0,0.1,7.0
SEQ038_size8_p11.smt2,,ok,unsat,0.3,0,0.2,15.0
SEQ038_size8_p12.smt2,,ok,unsat,0.2,0,0.2,14.0
SEQ038_size8_p13.smt2,,ok,unsat,0.2,0,0.2,14.0
SEQ038_size8_p14.smt2,,ok,unsat,0.3,0,0.3,14.0
SEQ038_size8_p15.smt2,,ok,unsat,0.3,0,0.3,14.1
SEQ038_size8_p16.smt2,,ok,unsat,0.2,0,0.2,7.3
SEQ038_size8_p17.smt2,,ok,unsat,0.1,0,0.1,7.8
SEQ038_size8_p18.smt2,,ok,unsat,0.1,0,0.1,7.0
SEQ038_size8_p19.smt2,,ok,unsat,0.2,0,0.1,7.0
SEQ038_size8_p2.smt2,,ok,unsat,0.1,0,0.1,6.8
SEQ038_size8_p20.smt2,,ok,unsat,0.2,0,0.2,7.6
SEQ038_size8_p21.smt2,,ok,unsat,0.2,0,0.2,13.6
SEQ038_size8_p22.smt2,,ok,unsat,0.2,0,0.1,6.9
SEQ038_size8_p23.smt2,,ok,unsat,0.3,0,0.2,13.8
SEQ038_size8_p24.smt2,,ok,unsat,0.1,0,0.1,7.7
SEQ038_size8_p25.smt2,,ok,unsat,0.2,0,0.2,14.2
SEQ038_size8_p26.smt2,,ok,unsat,0.1,0,0.1,8.3
SEQ038_size8_p27.smt2,,ok,unsat,0.2,0,0.2,13.9
SEQ038_size8_p28.smt2,,ok,unsat,0.3,0,0.3,14.1
SEQ038_size8_p29.smt2,,ok,unsat,0.2,0,0.2,14.1
SEQ038_size8_p3.smt2,,ok,unsat,0.1,0,0.1,7.3
SEQ038_size8_p30.smt2,,ok,unsat,0.3,0,0.2,14.5
SEQ038_size8_p31.smt2,,ok,unsat,1107.9,0,1107.8,96.5
SEQ038_size8_p4.smt2,,ok,unsat,0.1,0,0.1,8.1
SEQ038_size8_p5.smt2,,ok,unsat,0.3,0,0.2,13.8
SEQ038_size8_p6.smt2,,ok,unsat,0.1,0,0.1,7.4
SEQ038_size8_p7.smt2,,ok,unsat,0.3,0,0.3,14.5
SEQ038_size8_p8.smt2,,ok,unsat,0.1,0,0.1,7.1
SEQ038_size8_p9.smt2,,ok,unsat,0.2,0,0.2,14.9
