benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_gj2007.c.i_4_3_3.bpl_11_p0.smt2,,ok,unsat,142.1,0,142.1,42.3
_gj2007.c.i_4_3_3.bpl_11_p1.smt2,,ok,unsat,13.6,0,13.5,26.0
_gj2007.c.i_4_3_3.bpl_11_p10.smt2,,to,unknown,1201.0,0,1201.0,111.9
_gj2007.c.i_4_3_3.bpl_11_p11.smt2,,to,unknown,1201.0,0,1201.0,105.2
_gj2007.c.i_4_3_3.bpl_11_p12.smt2,,ok,unsat,53.6,0,53.6,34.5
_gj2007.c.i_4_3_3.bpl_11_p13.smt2,,ok,unsat,48.1,0,48.1,31.1
_gj2007.c.i_4_3_3.bpl_11_p14.smt2,,ok,unsat,48.0,0,48.0,31.9
_gj2007.c.i_4_3_3.bpl_11_p15.smt2,,ok,unsat,43.9,0,43.9,29.9
_gj2007.c.i_4_3_3.bpl_11_p16.smt2,,ok,unsat,939.8,0,939.8,107.8
_gj2007.c.i_4_3_3.bpl_11_p17.smt2,,ok,unsat,28.8,0,28.8,30.9
_gj2007.c.i_4_3_3.bpl_11_p18.smt2,,ok,unsat,490.8,0,490.8,63.4
_gj2007.c.i_4_3_3.bpl_11_p19.smt2,,ok,unsat,21.0,0,21.0,26.2
_gj2007.c.i_4_3_3.bpl_11_p2.smt2,,ok,unsat,133.1,0,133.0,42.3
_gj2007.c.i_4_3_3.bpl_11_p20.smt2,,ok,unsat,24.0,0,24.0,28.1
_gj2007.c.i_4_3_3.bpl_11_p21.smt2,,ok,unsat,11.8,0,11.7,26.6
_gj2007.c.i_4_3_3.bpl_11_p22.smt2,,ok,unsat,26.2,0,26.2,27.9
_gj2007.c.i_4_3_3.bpl_11_p23.smt2,,ok,unsat,2.1,0,2.0,20.6
_gj2007.c.i_4_3_3.bpl_11_p24.smt2,,to,unknown,1201.0,0,1201.0,127.6
_gj2007.c.i_4_3_3.bpl_11_p25.smt2,,to,unknown,1201.0,0,1201.0,120.6
_gj2007.c.i_4_3_3.bpl_11_p26.smt2,,to,unknown,1201.0,0,1201.0,122.6
_gj2007.c.i_4_3_3.bpl_11_p27.smt2,,to,unknown,1201.0,0,1201.0,113.9
_gj2007.c.i_4_3_3.bpl_11_p28.smt2,,ok,unsat,92.1,0,92.1,42.1
_gj2007.c.i_4_3_3.bpl_11_p29.smt2,,ok,unsat,56.7,0,56.6,34.5
_gj2007.c.i_4_3_3.bpl_11_p3.smt2,,ok,unsat,5.5,0,5.5,23.1
_gj2007.c.i_4_3_3.bpl_11_p30.smt2,,ok,unsat,79.7,0,79.7,37.4
_gj2007.c.i_4_3_3.bpl_11_p31.smt2,,ok,unsat,47.0,0,47.0,32.1
_gj2007.c.i_4_3_3.bpl_11_p4.smt2,,ok,unsat,11.0,0,11.0,24.3
_gj2007.c.i_4_3_3.bpl_11_p5.smt2,,ok,unsat,5.7,0,5.7,23.5
_gj2007.c.i_4_3_3.bpl_11_p6.smt2,,ok,unsat,13.3,0,13.3,24.0
_gj2007.c.i_4_3_3.bpl_11_p7.smt2,,ok,unsat,2.1,0,2.1,19.9
_gj2007.c.i_4_3_3.bpl_11_p8.smt2,,to,unknown,1201.0,0,1201.0,117.3
_gj2007.c.i_4_3_3.bpl_11_p9.smt2,,to,unknown,1201.0,0,1201.0,111.8
