benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_standard_copy7_ground.i_3_2_2.bpl_7_p0.smt2,,ok,unsat,1028.9,0,1028.8,175.7
_standard_copy7_ground.i_3_2_2.bpl_7_p1.smt2,,ok,unsat,897.2,0,897.0,166.7
_standard_copy7_ground.i_3_2_2.bpl_7_p10.smt2,,ok,unsat,10.1,0,10.1,29.1
_standard_copy7_ground.i_3_2_2.bpl_7_p11.smt2,,ok,unsat,8.9,0,8.9,28.8
_standard_copy7_ground.i_3_2_2.bpl_7_p12.smt2,,ok,unsat,15.1,0,15.0,33.0
_standard_copy7_ground.i_3_2_2.bpl_7_p13.smt2,,ok,unsat,9.1,0,9.0,27.5
_standard_copy7_ground.i_3_2_2.bpl_7_p14.smt2,,ok,unsat,7.3,0,7.3,29.0
_standard_copy7_ground.i_3_2_2.bpl_7_p15.smt2,,ok,unsat,5.7,0,5.4,25.5
_standard_copy7_ground.i_3_2_2.bpl_7_p16.smt2,,ok,unsat,954.0,0,953.9,176.9
_standard_copy7_ground.i_3_2_2.bpl_7_p17.smt2,,ok,unsat,1033.0,0,1032.9,180.2
_standard_copy7_ground.i_3_2_2.bpl_7_p18.smt2,,ok,unsat,13.1,0,13.1,28.0
_standard_copy7_ground.i_3_2_2.bpl_7_p19.smt2,,ok,unsat,14.9,0,14.6,31.5
_standard_copy7_ground.i_3_2_2.bpl_7_p2.smt2,,ok,unsat,13.6,0,13.6,28.2
_standard_copy7_ground.i_3_2_2.bpl_7_p20.smt2,,ok,unsat,835.1,0,835.1,158.9
_standard_copy7_ground.i_3_2_2.bpl_7_p21.smt2,,ok,unsat,833.4,0,833.3,158.2
_standard_copy7_ground.i_3_2_2.bpl_7_p22.smt2,,ok,unsat,19.6,0,19.3,33.5
_standard_copy7_ground.i_3_2_2.bpl_7_p23.smt2,,ok,unsat,11.0,0,10.9,30.5
_standard_copy7_ground.i_3_2_2.bpl_7_p24.smt2,,ok,unsat,6.0,0,5.6,25.9
_standard_copy7_ground.i_3_2_2.bpl_7_p25.smt2,,ok,unsat,6.8,0,6.8,27.4
_standard_copy7_ground.i_3_2_2.bpl_7_p26.smt2,,ok,unsat,6.8,0,6.8,29.6
_standard_copy7_ground.i_3_2_2.bpl_7_p27.smt2,,ok,unsat,7.3,0,7.3,29.1
_standard_copy7_ground.i_3_2_2.bpl_7_p28.smt2,,ok,unsat,8.8,0,8.5,26.9
_standard_copy7_ground.i_3_2_2.bpl_7_p29.smt2,,ok,unsat,9.1,0,9.0,28.7
_standard_copy7_ground.i_3_2_2.bpl_7_p3.smt2,,ok,unsat,14.2,0,14.1,29.9
_standard_copy7_ground.i_3_2_2.bpl_7_p30.smt2,,ok,unsat,8.4,0,8.0,28.2
_standard_copy7_ground.i_3_2_2.bpl_7_p31.smt2,,ok,unsat,8.8,0,8.8,28.6
_standard_copy7_ground.i_3_2_2.bpl_7_p4.smt2,,ok,unsat,824.2,0,824.1,144.8
_standard_copy7_ground.i_3_2_2.bpl_7_p5.smt2,,ok,unsat,1092.2,0,1092.1,186.8
_standard_copy7_ground.i_3_2_2.bpl_7_p6.smt2,,ok,unsat,11.9,0,11.9,29.0
_standard_copy7_ground.i_3_2_2.bpl_7_p7.smt2,,ok,unsat,13.4,0,13.1,30.5
_standard_copy7_ground.i_3_2_2.bpl_7_p8.smt2,,ok,unsat,6.2,0,6.1,29.1
_standard_copy7_ground.i_3_2_2.bpl_7_p9.smt2,,ok,unsat,7.4,0,7.4,29.1
