benchmark,config,status,result,time_real,exit_code,time_cpu,memory
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p0.smt2,,to,unknown,1201.0,0,1200.9,758.5
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p1.smt2,,ok,sat,1122.5,0,1122.4,823.6
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p10.smt2,,to,unknown,1201.0,0,1201.0,647.8
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p11.smt2,,ok,unsat,73.3,0,73.2,508.8
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p12.smt2,,ok,unsat,73.3,0,73.2,508.9
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p13.smt2,,ok,unsat,74.6,0,74.6,508.6
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p14.smt2,,ok,unsat,73.0,0,73.0,508.8
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p15.smt2,,ok,unsat,73.3,0,73.2,508.9
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p16.smt2,,ok,sat,732.1,0,732.0,758.9
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p17.smt2,,ok,sat,956.7,0,956.6,788.5
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p18.smt2,,ok,sat,936.4,0,936.3,821.0
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p19.smt2,,ok,unsat,74.0,0,73.9,509.0
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p2.smt2,,to,unknown,1201.0,0,1201.0,767.5
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p20.smt2,,ok,sat,891.8,0,891.7,705.1
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p21.smt2,,ok,sat,891.2,0,891.1,896.0
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p22.smt2,,ok,sat,846.4,0,846.3,843.2
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p23.smt2,,ok,unsat,73.6,0,73.6,508.2
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p24.smt2,,ok,sat,725.5,0,725.4,789.2
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p25.smt2,,ok,sat,737.5,0,737.4,767.2
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p26.smt2,,to,unknown,1201.0,0,1201.0,773.4
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p27.smt2,,ok,unsat,73.3,0,73.2,508.7
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p28.smt2,,ok,unsat,73.8,0,73.7,508.8
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p29.smt2,,ok,unsat,74.4,0,74.3,509.0
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p3.smt2,,ok,unsat,73.3,0,73.3,509.2
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p30.smt2,,ok,unsat,73.7,0,73.7,509.4
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p31.smt2,,ok,unsat,72.8,0,72.8,508.7
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p4.smt2,,ok,sat,692.2,0,692.2,772.5
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p5.smt2,,ok,sat,813.3,0,813.2,810.2
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p6.smt2,,ok,sat,630.4,0,630.3,772.3
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p7.smt2,,ok,unsat,72.8,0,72.8,508.4
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p8.smt2,,ok,sat,1108.9,0,1108.9,759.7
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p9.smt2,,ok,sat,597.6,0,597.5,761.4
