benchmark,config,status,result,time_real,exit_code,time_cpu,memory
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p0.smt2,,to,unknown,1201.0,0,1200.9,504.9
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p1.smt2,,ok,unsat,27.2,0,27.1,326.8
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p10.smt2,,to,unknown,1201.0,0,1200.9,458.9
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p11.smt2,,ok,unsat,27.0,0,26.9,326.9
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p12.smt2,,to,unknown,1201.0,0,1201.0,511.4
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p13.smt2,,ok,unsat,26.8,0,26.7,326.6
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p14.smt2,,ok,unsat,26.8,0,26.8,312.7
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p15.smt2,,ok,unsat,27.1,0,27.1,312.9
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p16.smt2,,ok,unsat,26.4,0,26.3,312.5
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p17.smt2,,ok,unsat,26.4,0,26.4,311.8
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p18.smt2,,ok,unsat,26.5,0,26.4,312.3
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p19.smt2,,ok,unsat,26.6,0,26.6,312.4
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p2.smt2,,to,unknown,1201.0,0,1200.9,457.1
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p20.smt2,,ok,unsat,26.6,0,26.5,312.9
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p21.smt2,,ok,unsat,26.6,0,26.6,312.3
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p22.smt2,,ok,unsat,26.6,0,26.5,311.8
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p23.smt2,,ok,unsat,26.7,0,26.6,311.6
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p24.smt2,,ok,unsat,26.6,0,26.5,312.3
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p25.smt2,,ok,unsat,26.8,0,26.7,312.4
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p26.smt2,,ok,unsat,26.3,0,26.3,311.9
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p27.smt2,,ok,unsat,26.6,0,26.5,311.6
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p28.smt2,,ok,unsat,26.7,0,26.6,312.4
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p29.smt2,,ok,unsat,27.5,0,27.4,312.0
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p3.smt2,,ok,unsat,26.6,0,26.6,327.0
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p30.smt2,,ok,unsat,27.9,0,27.9,312.4
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p31.smt2,,ok,unsat,26.3,0,26.3,312.6
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p4.smt2,,to,unknown,1201.0,0,1200.9,451.2
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p5.smt2,,ok,unsat,26.6,0,26.6,326.2
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p6.smt2,,ok,unsat,26.4,0,26.3,313.0
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p7.smt2,,ok,unsat,27.2,0,27.2,313.1
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p8.smt2,,to,unknown,1201.0,0,1201.0,454.9
firewire.t2.c_Iteration1_Lasso_3-pieceTemplate_p9.smt2,,ok,unsat,26.8,0,26.7,327.0
