benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p0.smt2,,ok,unsat,499.3,0,499.2,71.1
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p1.smt2,,ok,unsat,853.9,0,853.8,111.9
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p10.smt2,,ok,unsat,1152.8,0,1152.7,116.9
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p11.smt2,,ok,unsat,1030.0,0,1029.9,114.9
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p12.smt2,,ok,unsat,451.8,0,451.8,68.6
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p13.smt2,,ok,unsat,65.8,0,65.7,51.3
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p14.smt2,,ok,unsat,480.2,0,480.2,71.9
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p15.smt2,,ok,unsat,79.6,0,79.5,51.6
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p16.smt2,,ok,unsat,1.8,0,1.8,14.1
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p17.smt2,,ok,unsat,1.8,0,1.8,14.0
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p18.smt2,,ok,unsat,3.2,0,3.2,14.5
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p19.smt2,,ok,unsat,1.8,0,1.8,14.0
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p2.smt2,,ok,unsat,937.2,0,937.1,116.1
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p20.smt2,,ok,unsat,1.8,0,1.8,13.9
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p21.smt2,,ok,unsat,1.8,0,1.8,13.6
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p22.smt2,,ok,unsat,1.8,0,1.8,14.1
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p23.smt2,,ok,unsat,2.0,0,1.9,13.7
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p24.smt2,,ok,unsat,1.8,0,1.8,13.5
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p25.smt2,,ok,unsat,1.8,0,1.8,14.6
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p26.smt2,,ok,unsat,1.9,0,1.8,14.3
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p27.smt2,,ok,unsat,2.7,0,2.6,14.0
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p28.smt2,,ok,unsat,1.8,0,1.8,14.1
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p29.smt2,,ok,unsat,2.2,0,2.2,14.5
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p3.smt2,,ok,unsat,895.7,0,895.6,109.4
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p30.smt2,,ok,unsat,2.0,0,2.0,14.4
