benchmark,config,status,result,time_real,exit_code,time_cpu,memory
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p0.smt2,,to,unknown,1201.0,0,1199.9,980.9
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p1.smt2,,to,unknown,1201.0,0,1200.0,1028.9
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p10.smt2,,ok,unsat,59.1,0,58.9,480.0
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p11.smt2,,ok,unsat,60.4,0,60.2,479.6
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p12.smt2,,to,unknown,1201.0,0,1199.9,1023.2
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p13.smt2,,to,unknown,1201.0,0,1200.5,992.6
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p14.smt2,,ok,unsat,58.7,0,58.6,465.0
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p15.smt2,,ok,unsat,58.1,0,58.0,465.2
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p16.smt2,,to,unknown,1201.0,0,1200.4,989.6
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p17.smt2,,to,unknown,1201.0,0,1200.8,765.0
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p18.smt2,,ok,unsat,59.8,0,58.9,479.8
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p19.smt2,,ok,unsat,58.4,0,58.3,479.9
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p2.smt2,,ok,unsat,59.2,0,59.0,479.3
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p20.smt2,,to,unknown,1201.0,0,1200.9,989.2
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p21.smt2,,to,unknown,1201.0,0,1200.8,993.5
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p22.smt2,,ok,unsat,59.0,0,58.0,465.4
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p23.smt2,,ok,unsat,59.3,0,58.3,465.6
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p24.smt2,,ok,unsat,59.5,0,59.3,465.0
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p25.smt2,,ok,unsat,58.6,0,58.5,466.2
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p26.smt2,,ok,unsat,58.3,0,58.1,465.8
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p27.smt2,,ok,unsat,58.7,0,58.0,465.0
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p28.smt2,,ok,unsat,58.3,0,58.2,465.0
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p29.smt2,,ok,unsat,58.2,0,57.7,465.5
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p3.smt2,,ok,unsat,58.9,0,58.7,480.1
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p30.smt2,,ok,unsat,58.6,0,58.5,465.1
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p31.smt2,,ok,unsat,59.3,0,58.4,465.3
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p32.smt2,,ok,sat,931.2,0,930.3,1041.1
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p33.smt2,,to,unknown,1201.0,0,1200.0,996.8
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p34.smt2,,ok,unsat,59.6,0,59.4,479.6
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p35.smt2,,ok,unsat,59.6,0,58.7,479.4
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p36.smt2,,to,unknown,1201.0,0,1200.1,999.8
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p37.smt2,,to,unknown,1201.0,0,1199.8,998.7
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p38.smt2,,ok,unsat,58.4,0,58.3,464.9
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p39.smt2,,ok,unsat,58.3,0,58.0,465.0
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p4.smt2,,ok,sat,941.2,0,940.3,797.8
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p40.smt2,,to,unknown,1201.0,0,1199.9,990.2
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p41.smt2,,to,unknown,1201.0,0,1200.6,993.7
hongyi1.t2.c_Iteration9_Loop_6-phaseTemplate_p42.smt2,,ok,unsat,58.6,0,58.5,479.5
