benchmark,config,status,result,time_real,exit_code,time_cpu,memory
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p0.smt2,,to,unknown,1201.0,0,1200.9,898.7
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p1.smt2,,ok,unsat,68.5,0,68.4,650.8
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p10.smt2,,ok,unsat,68.6,0,68.5,652.3
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p11.smt2,,ok,unsat,67.5,0,67.5,623.1
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p12.smt2,,ok,unsat,67.9,0,67.8,623.1
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p13.smt2,,ok,unsat,67.4,0,67.3,623.1
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p14.smt2,,ok,unsat,67.6,0,67.5,623.7
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p15.smt2,,ok,unsat,68.4,0,68.3,623.1
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p16.smt2,,ok,unsat,67.3,0,67.2,620.8
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p17.smt2,,ok,unsat,67.6,0,67.5,620.8
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p18.smt2,,ok,unsat,67.9,0,67.8,621.2
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p19.smt2,,ok,unsat,68.6,0,68.5,621.4
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p2.smt2,,ok,unsat,68.2,0,68.1,651.3
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p20.smt2,,ok,unsat,68.2,0,68.1,621.4
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p21.smt2,,ok,unsat,68.1,0,68.0,621.2
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p22.smt2,,ok,unsat,67.8,0,67.7,621.6
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p23.smt2,,ok,unsat,68.2,0,68.1,621.4
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p24.smt2,,ok,unsat,67.4,0,67.3,621.5
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p25.smt2,,ok,unsat,68.7,0,68.6,621.0
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p26.smt2,,ok,unsat,67.5,0,67.4,620.7
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p27.smt2,,ok,unsat,67.7,0,67.7,620.6
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p28.smt2,,ok,unsat,67.3,0,67.2,620.6
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p29.smt2,,ok,unsat,68.0,0,67.9,621.3
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p3.smt2,,ok,unsat,67.7,0,67.7,623.7
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p30.smt2,,ok,unsat,67.8,0,67.6,621.5
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p31.smt2,,ok,unsat,67.3,0,67.2,621.3
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p32.smt2,,ok,unsat,70.8,0,70.7,650.0
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p33.smt2,,ok,unsat,68.7,0,68.6,651.5
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p34.smt2,,ok,unsat,68.9,0,68.8,651.9
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p35.smt2,,ok,unsat,67.7,0,67.7,623.4
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p36.smt2,,ok,unsat,68.9,0,68.8,652.5
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p37.smt2,,ok,unsat,68.8,0,68.7,651.6
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p38.smt2,,ok,unsat,68.7,0,68.6,651.7
simple-scaled200.bpl_Iteration1_Lasso_3-pieceTemplate_p39.smt2,,ok,unsat,68.3,0,68.2,624.2
