benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_const1.i_3_6_2.bpl_11_p0.smt2,,ok,unsat,3.7,0,3.0,16.6
_const1.i_3_6_2.bpl_11_p1.smt2,,ok,unsat,55.0,0,54.4,24.3
_const1.i_3_6_2.bpl_11_p10.smt2,,ok,unsat,85.0,0,84.9,27.7
_const1.i_3_6_2.bpl_11_p100.smt2,,ok,unsat,1.3,0,1.2,12.8
_const1.i_3_6_2.bpl_11_p101.smt2,,ok,unsat,10.3,0,9.7,17.3
_const1.i_3_6_2.bpl_11_p102.smt2,,ok,unsat,35.9,0,35.7,20.5
_const1.i_3_6_2.bpl_11_p103.smt2,,ok,unsat,9.1,0,8.5,17.1
_const1.i_3_6_2.bpl_11_p104.smt2,,ok,unsat,8.2,0,8.1,15.8
_const1.i_3_6_2.bpl_11_p105.smt2,,ok,unsat,3.0,0,2.3,17.6
_const1.i_3_6_2.bpl_11_p106.smt2,,ok,unsat,1.7,0,1.5,13.9
_const1.i_3_6_2.bpl_11_p107.smt2,,ok,unsat,2.3,0,1.6,13.8
_const1.i_3_6_2.bpl_11_p108.smt2,,ok,unsat,5.3,0,5.3,14.7
_const1.i_3_6_2.bpl_11_p109.smt2,,ok,unsat,5.9,0,5.4,15.4
_const1.i_3_6_2.bpl_11_p11.smt2,,ok,unsat,765.3,0,764.6,71.3
_const1.i_3_6_2.bpl_11_p110.smt2,,ok,unsat,4.0,0,3.9,14.6
_const1.i_3_6_2.bpl_11_p111.smt2,,ok,unsat,2.6,0,2.1,15.4
_const1.i_3_6_2.bpl_11_p112.smt2,,ok,unsat,477.8,0,477.5,49.5
_const1.i_3_6_2.bpl_11_p113.smt2,,ok,unsat,5.1,0,4.4,15.4
_const1.i_3_6_2.bpl_11_p114.smt2,,ok,unsat,1.8,0,1.8,14.2
_const1.i_3_6_2.bpl_11_p115.smt2,,ok,unsat,2.2,0,1.7,17.4
_const1.i_3_6_2.bpl_11_p116.smt2,,ok,unsat,1.9,0,1.6,15.1
_const1.i_3_6_2.bpl_11_p117.smt2,,ok,unsat,19.1,0,18.4,19.7
_const1.i_3_6_2.bpl_11_p118.smt2,,ok,unsat,2.5,0,2.5,14.3
_const1.i_3_6_2.bpl_11_p119.smt2,,ok,unsat,11.3,0,10.7,16.6
_const1.i_3_6_2.bpl_11_p12.smt2,,ok,unsat,1.0,0,1.0,12.7
_const1.i_3_6_2.bpl_11_p120.smt2,,ok,unsat,13.0,0,12.5,17.6
_const1.i_3_6_2.bpl_11_p121.smt2,,ok,unsat,5.1,0,5.1,14.4
_const1.i_3_6_2.bpl_11_p122.smt2,,ok,unsat,2.4,0,1.7,15.2
_const1.i_3_6_2.bpl_11_p123.smt2,,ok,unsat,1069.8,0,1069.5,79.8
_const1.i_3_6_2.bpl_11_p124.smt2,,ok,unsat,33.7,0,33.0,21.1
_const1.i_3_6_2.bpl_11_p125.smt2,,ok,unsat,5.9,0,5.9,14.9
_const1.i_3_6_2.bpl_11_p126.smt2,,ok,unsat,571.4,0,570.7,53.2
_const1.i_3_6_2.bpl_11_p127.smt2,,ok,unsat,92.6,0,92.3,28.5
_const1.i_3_6_2.bpl_11_p13.smt2,,ok,unsat,3.2,0,2.5,13.7
_const1.i_3_6_2.bpl_11_p14.smt2,,ok,unsat,11.3,0,11.1,17.3
_const1.i_3_6_2.bpl_11_p15.smt2,,ok,unsat,7.8,0,7.2,17.4
_const1.i_3_6_2.bpl_11_p16.smt2,,ok,unsat,792.4,0,792.3,65.7
_const1.i_3_6_2.bpl_11_p17.smt2,,ok,unsat,51.0,0,50.3,26.4
_const1.i_3_6_2.bpl_11_p18.smt2,,ok,unsat,2.9,0,2.6,15.4
_const1.i_3_6_2.bpl_11_p19.smt2,,ok,unsat,51.9,0,51.3,23.6
_const1.i_3_6_2.bpl_11_p2.smt2,,ok,unsat,87.8,0,87.2,29.2
_const1.i_3_6_2.bpl_11_p20.smt2,,ok,unsat,34.1,0,33.5,20.7
_const1.i_3_6_2.bpl_11_p21.smt2,,ok,unsat,2.2,0,2.1,13.4
