benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_simple1.i_3_6_2.bpl_11_p0.smt2,,ok,unsat,0.6,0,0.6,8.9
_simple1.i_3_6_2.bpl_11_p1.smt2,,ok,unsat,7.6,0,7.6,11.5
_simple1.i_3_6_2.bpl_11_p10.smt2,,ok,unsat,2.5,0,2.5,10.8
_simple1.i_3_6_2.bpl_11_p100.smt2,,ok,unsat,1.7,0,1.7,10.6
_simple1.i_3_6_2.bpl_11_p101.smt2,,ok,unsat,3.9,0,3.9,10.6
_simple1.i_3_6_2.bpl_11_p102.smt2,,ok,unsat,12.1,0,12.1,12.1
_simple1.i_3_6_2.bpl_11_p103.smt2,,ok,unsat,5.7,0,5.7,11.0
_simple1.i_3_6_2.bpl_11_p104.smt2,,ok,unsat,3.6,0,3.6,10.8
_simple1.i_3_6_2.bpl_11_p105.smt2,,ok,unsat,1.2,0,1.2,9.6
_simple1.i_3_6_2.bpl_11_p106.smt2,,ok,unsat,1.2,0,1.2,10.4
_simple1.i_3_6_2.bpl_11_p107.smt2,,ok,unsat,54.9,0,54.9,18.7
_simple1.i_3_6_2.bpl_11_p108.smt2,,ok,unsat,7.3,0,7.3,11.6
_simple1.i_3_6_2.bpl_11_p109.smt2,,ok,unsat,1.1,0,1.1,9.5
_simple1.i_3_6_2.bpl_11_p11.smt2,,ok,unsat,1.4,0,1.4,9.9
_simple1.i_3_6_2.bpl_11_p110.smt2,,ok,unsat,0.6,0,0.6,8.2
_simple1.i_3_6_2.bpl_11_p111.smt2,,ok,unsat,11.2,0,11.2,12.0
_simple1.i_3_6_2.bpl_11_p112.smt2,,ok,unsat,0.9,0,0.8,9.4
_simple1.i_3_6_2.bpl_11_p113.smt2,,ok,unsat,64.6,0,64.5,19.9
_simple1.i_3_6_2.bpl_11_p114.smt2,,ok,unsat,0.9,0,0.9,9.5
_simple1.i_3_6_2.bpl_11_p115.smt2,,ok,unsat,2.9,0,2.8,10.7
_simple1.i_3_6_2.bpl_11_p116.smt2,,ok,unsat,1.4,0,1.4,9.8
_simple1.i_3_6_2.bpl_11_p117.smt2,,ok,unsat,5.1,0,5.0,11.4
_simple1.i_3_6_2.bpl_11_p118.smt2,,ok,unsat,8.1,0,8.0,13.0
_simple1.i_3_6_2.bpl_11_p119.smt2,,ok,unsat,57.6,0,57.6,16.4
_simple1.i_3_6_2.bpl_11_p12.smt2,,ok,unsat,1.7,0,1.7,10.3
_simple1.i_3_6_2.bpl_11_p120.smt2,,ok,unsat,12.3,0,12.3,12.4
_simple1.i_3_6_2.bpl_11_p121.smt2,,ok,unsat,2.5,0,2.5,9.8
_simple1.i_3_6_2.bpl_11_p122.smt2,,ok,unsat,8.5,0,8.4,12.4
_simple1.i_3_6_2.bpl_11_p123.smt2,,ok,unsat,7.8,0,7.8,10.7
_simple1.i_3_6_2.bpl_11_p124.smt2,,ok,unsat,0.9,0,0.8,10.0
_simple1.i_3_6_2.bpl_11_p125.smt2,,ok,unsat,0.5,0,0.5,8.2
_simple1.i_3_6_2.bpl_11_p126.smt2,,ok,unsat,7.2,0,7.2,11.7
_simple1.i_3_6_2.bpl_11_p127.smt2,,ok,unsat,455.5,0,455.5,35.6
_simple1.i_3_6_2.bpl_11_p13.smt2,,ok,unsat,1.2,0,1.2,9.4
_simple1.i_3_6_2.bpl_11_p14.smt2,,ok,unsat,1.5,0,1.4,9.7
_simple1.i_3_6_2.bpl_11_p15.smt2,,ok,unsat,0.9,0,0.9,9.1
_simple1.i_3_6_2.bpl_11_p16.smt2,,ok,unsat,1.3,0,1.3,9.4
_simple1.i_3_6_2.bpl_11_p17.smt2,,ok,unsat,5.0,0,5.0,11.6
_simple1.i_3_6_2.bpl_11_p18.smt2,,ok,unsat,1.2,0,1.1,9.6
_simple1.i_3_6_2.bpl_11_p19.smt2,,ok,unsat,1.1,0,1.1,9.9
_simple1.i_3_6_2.bpl_11_p2.smt2,,ok,unsat,6.0,0,6.0,12.1
_simple1.i_3_6_2.bpl_11_p20.smt2,,ok,unsat,0.8,0,0.8,9.7
_simple1.i_3_6_2.bpl_11_p21.smt2,,ok,unsat,2.9,0,2.9,10.3
_simple1.i_3_6_2.bpl_11_p22.smt2,,ok,unsat,0.9,0,0.8,9.1
_simple1.i_3_6_2.bpl_11_p23.smt2,,ok,unsat,10.5,0,10.5,11.8
_simple1.i_3_6_2.bpl_11_p24.smt2,,ok,unsat,1.0,0,1.0,9.4
_simple1.i_3_6_2.bpl_11_p25.smt2,,ok,unsat,1.1,0,1.1,9.4
_simple1.i_3_6_2.bpl_11_p26.smt2,,ok,unsat,66.8,0,66.7,18.6
_simple1.i_3_6_2.bpl_11_p27.smt2,,ok,unsat,0.8,0,0.8,8.9
_simple1.i_3_6_2.bpl_11_p28.smt2,,ok,unsat,1.2,0,1.1,9.5
_simple1.i_3_6_2.bpl_11_p29.smt2,,ok,unsat,1.7,0,1.6,10.8
_simple1.i_3_6_2.bpl_11_p3.smt2,,ok,unsat,2.5,0,2.5,10.7
_simple1.i_3_6_2.bpl_11_p30.smt2,,ok,unsat,1.5,0,1.5,9.8
_simple1.i_3_6_2.bpl_11_p31.smt2,,ok,unsat,7.2,0,7.2,11.1
_simple1.i_3_6_2.bpl_11_p32.smt2,,ok,unsat,1.6,0,1.6,10.1
_simple1.i_3_6_2.bpl_11_p33.smt2,,ok,unsat,4.7,0,4.7,10.3
_simple1.i_3_6_2.bpl_11_p34.smt2,,ok,unsat,0.8,0,0.8,8.8
_simple1.i_3_6_2.bpl_11_p35.smt2,,ok,unsat,0.5,0,0.5,8.6
_simple1.i_3_6_2.bpl_11_p36.smt2,,ok,unsat,4.4,0,4.4,10.8
_simple1.i_3_6_2.bpl_11_p37.smt2,,ok,unsat,2.2,0,2.2,9.5
_simple1.i_3_6_2.bpl_11_p38.smt2,,ok,unsat,0.8,0,0.7,9.5
_simple1.i_3_6_2.bpl_11_p39.smt2,,ok,unsat,0.8,0,0.8,9.8
_simple1.i_3_6_2.bpl_11_p4.smt2,,ok,unsat,2.5,0,2.5,10.9
