benchmark,config,status,result,time_real,exit_code,time_cpu,memory
smtcomp_61_p0.smt2,,to,unknown,1201.0,0,1201.1,913.3
smtcomp_61_p1.smt2,,to,unknown,1201.0,0,1201.0,932.8
smtcomp_61_p10.smt2,,to,unknown,1201.0,0,1201.0,904.0
smtcomp_61_p100.smt2,,to,unknown,1201.0,0,1201.1,920.5
smtcomp_61_p101.smt2,,to,unknown,1201.0,0,1201.0,858.4
smtcomp_61_p102.smt2,,to,unknown,1201.0,0,1201.0,922.7
smtcomp_61_p103.smt2,,to,unknown,1201.0,0,1201.0,910.5
smtcomp_61_p104.smt2,,to,unknown,1201.0,0,1201.1,914.1
smtcomp_61_p105.smt2,,to,unknown,1201.0,0,1201.0,934.0
smtcomp_61_p106.smt2,,to,unknown,1201.0,0,1201.1,874.6
smtcomp_61_p107.smt2,,to,unknown,1201.0,0,1201.0,890.4
smtcomp_61_p108.smt2,,to,unknown,1201.0,0,1201.0,905.6
smtcomp_61_p109.smt2,,to,unknown,1201.0,0,1201.0,926.0
smtcomp_61_p11.smt2,,to,unknown,1201.0,0,1201.1,910.3
smtcomp_61_p110.smt2,,ok,sat,494.9,0,494.9,400.4
smtcomp_61_p111.smt2,,to,unknown,1201.0,0,1201.0,928.7
smtcomp_61_p112.smt2,,to,unknown,1201.0,0,1201.0,948.3
smtcomp_61_p113.smt2,,to,unknown,1201.0,0,1201.1,876.2
smtcomp_61_p114.smt2,,to,unknown,1201.0,0,1201.1,939.5
smtcomp_61_p115.smt2,,to,unknown,1201.0,0,1201.0,944.2
smtcomp_61_p116.smt2,,to,unknown,1201.0,0,1201.0,899.7
smtcomp_61_p117.smt2,,to,unknown,1201.0,0,1201.1,878.3
smtcomp_61_p118.smt2,,to,unknown,1201.0,0,1201.0,872.0
smtcomp_61_p119.smt2,,to,unknown,1201.0,0,1201.0,958.0
smtcomp_61_p12.smt2,,to,unknown,1201.0,0,1201.1,898.6
smtcomp_61_p120.smt2,,to,unknown,1201.0,0,1201.0,892.0
smtcomp_61_p121.smt2,,to,unknown,1201.0,0,1201.1,937.6
smtcomp_61_p122.smt2,,to,unknown,1201.0,0,1201.1,922.6
smtcomp_61_p123.smt2,,to,unknown,1201.0,0,1201.1,905.1
smtcomp_61_p124.smt2,,to,unknown,1201.0,0,1201.0,900.2
smtcomp_61_p125.smt2,,to,unknown,1201.0,0,1201.0,906.9
smtcomp_61_p126.smt2,,to,unknown,1201.0,0,1201.0,889.7
smtcomp_61_p127.smt2,,to,unknown,1201.0,0,1201.1,879.0
smtcomp_61_p13.smt2,,to,unknown,1201.0,0,1201.1,921.3
smtcomp_61_p14.smt2,,to,unknown,1201.0,0,1201.1,929.4
smtcomp_61_p15.smt2,,to,unknown,1201.0,0,1201.0,847.4
smtcomp_61_p16.smt2,,to,unknown,1201.0,0,1201.0,879.9
smtcomp_61_p17.smt2,,to,unknown,1201.0,0,1201.1,865.9
smtcomp_61_p18.smt2,,to,unknown,1201.0,0,1201.0,923.4
smtcomp_61_p19.smt2,,to,unknown,1201.0,0,1201.0,894.5
smtcomp_61_p2.smt2,,to,unknown,1201.0,0,1201.0,867.0
smtcomp_61_p20.smt2,,to,unknown,1201.0,0,1201.1,928.3
smtcomp_61_p21.smt2,,to,unknown,1201.0,0,1201.0,914.0
smtcomp_61_p22.smt2,,to,unknown,1201.0,0,1201.1,928.7
smtcomp_61_p23.smt2,,to,unknown,1201.0,0,1201.1,883.2
smtcomp_61_p24.smt2,,to,unknown,1201.0,0,1201.1,895.3
smtcomp_61_p25.smt2,,to,unknown,1201.0,0,1200.8,894.6
smtcomp_61_p26.smt2,,to,unknown,1201.0,0,1201.1,866.2
smtcomp_61_p27.smt2,,to,unknown,1201.0,0,1201.0,870.8
smtcomp_61_p28.smt2,,to,unknown,1201.0,0,1201.0,943.9
smtcomp_61_p29.smt2,,to,unknown,1201.0,0,1201.1,910.2
smtcomp_61_p3.smt2,,to,unknown,1201.0,0,1201.1,909.2
smtcomp_61_p30.smt2,,to,unknown,1201.0,0,1201.0,875.0
smtcomp_61_p31.smt2,,to,unknown,1201.0,0,1201.1,892.0
smtcomp_61_p32.smt2,,to,unknown,1201.0,0,1201.0,876.0
smtcomp_61_p33.smt2,,to,unknown,1201.0,0,1201.0,905.2
smtcomp_61_p34.smt2,,to,unknown,1201.0,0,1201.0,914.7
smtcomp_61_p35.smt2,,to,unknown,1201.0,0,1201.0,886.8
smtcomp_61_p36.smt2,,to,unknown,1201.0,0,1201.0,901.9
smtcomp_61_p37.smt2,,to,unknown,1201.0,0,1201.0,901.3
smtcomp_61_p38.smt2,,to,unknown,1201.0,0,1201.0,917.0
smtcomp_61_p39.smt2,,to,unknown,1201.0,0,1201.0,795.2
smtcomp_61_p4.smt2,,to,unknown,1201.0,0,1201.1,942.9
smtcomp_61_p40.smt2,,to,unknown,1201.0,0,1201.0,915.0
smtcomp_61_p41.smt2,,to,unknown,1201.0,0,1201.0,903.3
smtcomp_61_p42.smt2,,to,unknown,1201.0,0,1201.0,904.4
smtcomp_61_p43.smt2,,to,unknown,1201.0,0,1201.0,883.9
smtcomp_61_p44.smt2,,to,unknown,1201.0,0,1201.0,980.7
smtcomp_61_p45.smt2,,to,unknown,1201.0,0,1201.1,879.0
smtcomp_61_p46.smt2,,to,unknown,1201.0,0,1200.9,886.1
smtcomp_61_p47.smt2,,to,unknown,1201.0,0,1201.0,876.0
smtcomp_61_p48.smt2,,to,unknown,1201.0,0,1201.0,921.4
smtcomp_61_p49.smt2,,to,unknown,1201.0,0,1201.1,992.0
smtcomp_61_p5.smt2,,to,unknown,1201.0,0,1201.0,880.7
