benchmark,config,status,result,time_real,exit_code,time_cpu,memory
uart-40.base.cvc_p0.smt2,,ok,unsat,17.6,0,17.6,54.9
uart-40.base.cvc_p1.smt2,,ok,unsat,45.8,0,45.8,58.2
uart-40.base.cvc_p10.smt2,,ok,unsat,3.4,0,3.4,43.9
uart-40.base.cvc_p100.smt2,,ok,unsat,4.3,0,4.3,43.8
uart-40.base.cvc_p101.smt2,,ok,unsat,26.4,0,26.4,55.9
uart-40.base.cvc_p102.smt2,,ok,unsat,8.5,0,8.5,53.7
uart-40.base.cvc_p103.smt2,,ok,unsat,6.6,0,6.6,47.0
uart-40.base.cvc_p104.smt2,,ok,unsat,10.9,0,10.9,49.8
uart-40.base.cvc_p105.smt2,,ok,unsat,4.7,0,4.7,47.4
uart-40.base.cvc_p106.smt2,,ok,unsat,6.2,0,6.2,45.9
uart-40.base.cvc_p107.smt2,,ok,unsat,3.9,0,3.8,46.6
uart-40.base.cvc_p108.smt2,,ok,unsat,27.3,0,27.3,56.7
uart-40.base.cvc_p109.smt2,,ok,unsat,13.6,0,13.5,49.2
uart-40.base.cvc_p11.smt2,,ok,unsat,158.4,0,158.4,71.2
uart-40.base.cvc_p110.smt2,,ok,unsat,11.5,0,11.5,50.1
uart-40.base.cvc_p111.smt2,,ok,unsat,14.3,0,14.3,50.2
uart-40.base.cvc_p112.smt2,,ok,unsat,5.4,0,5.4,46.5
uart-40.base.cvc_p113.smt2,,ok,unsat,25.7,0,25.7,59.5
uart-40.base.cvc_p114.smt2,,ok,unsat,43.9,0,43.9,60.1
uart-40.base.cvc_p115.smt2,,ok,unsat,22.0,0,22.0,54.2
uart-40.base.cvc_p116.smt2,,ok,unsat,10.1,0,10.1,46.4
uart-40.base.cvc_p117.smt2,,ok,unsat,5.0,0,4.9,45.8
uart-40.base.cvc_p118.smt2,,ok,unsat,7.1,0,7.1,47.6
uart-40.base.cvc_p119.smt2,,ok,unsat,3.7,0,3.7,45.6
uart-40.base.cvc_p12.smt2,,ok,unsat,5.3,0,5.3,46.6
uart-40.base.cvc_p120.smt2,,ok,unsat,3.6,0,3.6,46.0
uart-40.base.cvc_p121.smt2,,ok,unsat,6.8,0,6.8,46.5
uart-40.base.cvc_p122.smt2,,ok,unsat,4.1,0,4.1,45.7
uart-40.base.cvc_p123.smt2,,ok,unsat,25.9,0,25.9,56.0
uart-40.base.cvc_p124.smt2,,ok,unsat,3.3,0,3.3,46.8
uart-40.base.cvc_p125.smt2,,ok,unsat,31.5,0,31.5,58.5
uart-40.base.cvc_p126.smt2,,ok,unsat,21.9,0,21.9,57.2
uart-40.base.cvc_p127.smt2,,ok,unsat,8.0,0,7.9,48.1
uart-40.base.cvc_p13.smt2,,ok,unsat,18.7,0,18.7,57.1
uart-40.base.cvc_p14.smt2,,ok,unsat,10.6,0,10.6,48.5
uart-40.base.cvc_p15.smt2,,ok,unsat,6.4,0,6.4,45.7
uart-40.base.cvc_p16.smt2,,ok,unsat,6.4,0,6.4,46.4
uart-40.base.cvc_p17.smt2,,ok,unsat,4.0,0,4.0,46.3
uart-40.base.cvc_p18.smt2,,ok,unsat,4.5,0,4.4,46.0
uart-40.base.cvc_p19.smt2,,ok,unsat,12.0,0,12.0,52.1
uart-40.base.cvc_p2.smt2,,ok,unsat,14.0,0,14.0,53.2
uart-40.base.cvc_p20.smt2,,ok,unsat,11.2,0,11.1,53.5
uart-40.base.cvc_p21.smt2,,ok,unsat,3.4,0,3.4,43.1
uart-40.base.cvc_p22.smt2,,ok,unsat,5.2,0,5.2,46.6
uart-40.base.cvc_p23.smt2,,ok,unsat,34.6,0,34.5,58.8
uart-40.base.cvc_p24.smt2,,ok,unsat,37.8,0,37.7,58.5
uart-40.base.cvc_p25.smt2,,ok,unsat,3.8,0,3.8,45.6
uart-40.base.cvc_p26.smt2,,ok,unsat,7.8,0,7.7,50.2
uart-40.base.cvc_p27.smt2,,ok,unsat,12.1,0,12.1,50.3
uart-40.base.cvc_p28.smt2,,ok,unsat,24.5,0,24.4,55.6
uart-40.base.cvc_p29.smt2,,ok,unsat,5.6,0,5.5,47.5
uart-40.base.cvc_p3.smt2,,ok,unsat,9.5,0,9.5,45.7
uart-40.base.cvc_p30.smt2,,ok,unsat,6.0,0,6.0,45.7
uart-40.base.cvc_p31.smt2,,ok,unsat,4.7,0,4.6,44.3
uart-40.base.cvc_p32.smt2,,ok,unsat,17.5,0,17.5,53.4
uart-40.base.cvc_p33.smt2,,ok,unsat,66.4,0,66.4,61.0
uart-40.base.cvc_p34.smt2,,ok,unsat,13.7,0,13.7,52.3
uart-40.base.cvc_p35.smt2,,ok,unsat,5.0,0,5.0,47.4
uart-40.base.cvc_p36.smt2,,ok,unsat,5.9,0,5.9,47.0
uart-40.base.cvc_p37.smt2,,ok,unsat,17.5,0,17.5,52.2
uart-40.base.cvc_p38.smt2,,ok,unsat,12.1,0,12.1,55.9
