benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_standard_two_index_06.i_3_2_2.bpl_11_p0.smt2,,ok,unsat,1.2,0,1.2,13.0
_standard_two_index_06.i_3_2_2.bpl_11_p1.smt2,,ok,unsat,1.2,0,1.1,12.9
_standard_two_index_06.i_3_2_2.bpl_11_p10.smt2,,ok,unsat,3.8,0,3.8,13.2
_standard_two_index_06.i_3_2_2.bpl_11_p11.smt2,,ok,unsat,1.6,0,1.5,14.0
_standard_two_index_06.i_3_2_2.bpl_11_p12.smt2,,ok,unsat,14.8,0,14.7,15.6
_standard_two_index_06.i_3_2_2.bpl_11_p13.smt2,,ok,unsat,1.4,0,1.3,12.8
_standard_two_index_06.i_3_2_2.bpl_11_p14.smt2,,ok,unsat,84.2,0,84.2,35.5
_standard_two_index_06.i_3_2_2.bpl_11_p15.smt2,,ok,unsat,1.0,0,1.0,12.3
_standard_two_index_06.i_3_2_2.bpl_11_p16.smt2,,ok,unsat,2.1,0,2.0,12.9
_standard_two_index_06.i_3_2_2.bpl_11_p17.smt2,,ok,unsat,2.1,0,2.0,13.5
_standard_two_index_06.i_3_2_2.bpl_11_p18.smt2,,ok,unsat,1.0,0,1.0,12.2
_standard_two_index_06.i_3_2_2.bpl_11_p19.smt2,,ok,unsat,0.8,0,0.7,11.8
_standard_two_index_06.i_3_2_2.bpl_11_p2.smt2,,ok,unsat,0.9,0,0.9,12.2
_standard_two_index_06.i_3_2_2.bpl_11_p20.smt2,,ok,unsat,113.0,0,113.0,36.2
_standard_two_index_06.i_3_2_2.bpl_11_p21.smt2,,ok,unsat,137.3,0,137.2,44.7
_standard_two_index_06.i_3_2_2.bpl_11_p22.smt2,,ok,unsat,87.4,0,87.3,35.7
_standard_two_index_06.i_3_2_2.bpl_11_p23.smt2,,ok,unsat,7.0,0,6.9,16.5
_standard_two_index_06.i_3_2_2.bpl_11_p24.smt2,,ok,unsat,2.2,0,2.1,13.3
_standard_two_index_06.i_3_2_2.bpl_11_p25.smt2,,ok,unsat,1.1,0,1.1,13.2
_standard_two_index_06.i_3_2_2.bpl_11_p26.smt2,,ok,unsat,576.4,0,576.4,90.1
_standard_two_index_06.i_3_2_2.bpl_11_p27.smt2,,ok,unsat,2.6,0,2.6,13.7
_standard_two_index_06.i_3_2_2.bpl_11_p28.smt2,,ok,unsat,1.4,0,1.3,12.7
_standard_two_index_06.i_3_2_2.bpl_11_p29.smt2,,ok,unsat,13.1,0,13.1,16.9
_standard_two_index_06.i_3_2_2.bpl_11_p3.smt2,,ok,unsat,4.1,0,4.1,12.8
_standard_two_index_06.i_3_2_2.bpl_11_p30.smt2,,ok,unsat,26.1,0,26.1,18.4
_standard_two_index_06.i_3_2_2.bpl_11_p31.smt2,,ok,unsat,26.6,0,26.6,19.8
_standard_two_index_06.i_3_2_2.bpl_11_p4.smt2,,ok,unsat,0.9,0,0.9,12.2
_standard_two_index_06.i_3_2_2.bpl_11_p5.smt2,,ok,unsat,4.8,0,4.8,14.0
_standard_two_index_06.i_3_2_2.bpl_11_p6.smt2,,ok,unsat,2.9,0,2.8,13.3
_standard_two_index_06.i_3_2_2.bpl_11_p7.smt2,,ok,unsat,1.6,0,1.5,12.8
_standard_two_index_06.i_3_2_2.bpl_11_p8.smt2,,ok,unsat,7.0,0,6.9,15.3
_standard_two_index_06.i_3_2_2.bpl_11_p9.smt2,,ok,unsat,49.7,0,49.6,29.2
