benchmark,config,status,result,time_real,exit_code,time_cpu,memory
danoint-65_p0.smt2,,ok,unsat,205.9,0,205.9,50.6
danoint-65_p1.smt2,,to,unknown,1201.0,0,1201.0,50.3
danoint-65_p10.smt2,,to,unknown,1201.0,0,1201.0,50.1
danoint-65_p11.smt2,,to,unknown,1201.0,0,1201.0,56.3
danoint-65_p12.smt2,,to,unknown,1201.0,0,1201.0,58.4
danoint-65_p13.smt2,,to,unknown,1201.0,0,1201.0,58.5
danoint-65_p14.smt2,,to,unknown,1201.0,0,1200.9,50.4
danoint-65_p15.smt2,,to,unknown,1201.0,0,1201.0,53.1
danoint-65_p16.smt2,,to,unknown,1201.0,0,1201.0,59.8
danoint-65_p17.smt2,,to,unknown,1201.0,0,1201.0,50.1
danoint-65_p18.smt2,,to,unknown,1201.0,0,1201.0,50.5
danoint-65_p19.smt2,,ok,unsat,203.8,0,203.8,49.9
danoint-65_p2.smt2,,ok,unsat,27.0,0,27.0,35.5
danoint-65_p20.smt2,,to,unknown,1201.0,0,1201.0,50.1
danoint-65_p21.smt2,,to,unknown,1201.0,0,1201.0,59.5
danoint-65_p22.smt2,,to,unknown,1201.0,0,1201.0,58.9
danoint-65_p23.smt2,,to,unknown,1201.0,0,1201.0,50.7
danoint-65_p24.smt2,,to,unknown,1201.0,0,1201.0,59.1
danoint-65_p25.smt2,,ok,unsat,126.9,0,126.9,34.9
danoint-65_p26.smt2,,ok,unsat,207.1,0,207.1,50.2
danoint-65_p27.smt2,,ok,unsat,80.2,0,80.2,50.3
danoint-65_p28.smt2,,ok,unsat,80.9,0,80.9,34.2
danoint-65_p29.smt2,,to,unknown,1201.0,0,1201.0,105.3
danoint-65_p3.smt2,,to,unknown,1201.0,0,1201.0,59.5
danoint-65_p30.smt2,,to,unknown,1201.0,0,1200.9,59.6
danoint-65_p31.smt2,,to,unknown,1201.0,0,1201.0,58.5
danoint-65_p4.smt2,,ok,unsat,206.2,0,206.2,50.2
danoint-65_p5.smt2,,to,unknown,1201.0,0,1201.0,58.7
danoint-65_p6.smt2,,to,unknown,1201.0,0,1201.0,58.5
danoint-65_p7.smt2,,ok,unsat,207.0,0,206.9,50.7
danoint-65_p8.smt2,,to,unknown,1201.0,0,1201.0,81.9
danoint-65_p9.smt2,,ok,unsat,205.5,0,205.5,50.1
