benchmark,config,status,result,time_real,exit_code,time_cpu,memory
vpm2-13.75_p0.smt2,,to,unknown,1201.0,0,1200.8,295.9
vpm2-13.75_p1.smt2,,to,unknown,1201.0,0,1201.0,308.3
vpm2-13.75_p10.smt2,,ok,unsat,0.9,0,0.9,15.9
vpm2-13.75_p11.smt2,,to,unknown,1201.0,0,1200.7,263.4
vpm2-13.75_p12.smt2,,to,unknown,1201.0,0,1201.0,244.0
vpm2-13.75_p13.smt2,,to,unknown,1201.0,0,1201.0,376.9
vpm2-13.75_p14.smt2,,to,unknown,1201.0,0,1201.0,278.5
vpm2-13.75_p15.smt2,,to,unknown,1201.0,0,1200.8,251.1
vpm2-13.75_p16.smt2,,to,unknown,1201.0,0,1201.0,330.2
vpm2-13.75_p17.smt2,,to,unknown,1201.0,0,1201.0,243.8
vpm2-13.75_p18.smt2,,to,unknown,1201.0,0,1201.0,226.6
vpm2-13.75_p19.smt2,,to,unknown,1201.0,0,1200.8,349.9
vpm2-13.75_p2.smt2,,to,unknown,1201.0,0,1201.0,320.8
vpm2-13.75_p20.smt2,,to,unknown,1201.0,0,1200.8,278.7
vpm2-13.75_p21.smt2,,to,unknown,1201.0,0,1201.0,288.4
vpm2-13.75_p22.smt2,,to,unknown,1201.0,0,1201.0,273.5
vpm2-13.75_p23.smt2,,to,unknown,1201.0,0,1201.0,243.5
vpm2-13.75_p24.smt2,,to,unknown,1201.0,0,1200.8,316.5
vpm2-13.75_p25.smt2,,to,unknown,1201.0,0,1201.0,240.5
vpm2-13.75_p26.smt2,,to,unknown,1201.0,0,1201.0,263.7
vpm2-13.75_p27.smt2,,to,unknown,1201.0,0,1201.0,248.6
vpm2-13.75_p28.smt2,,to,unknown,1201.0,0,1200.8,248.0
vpm2-13.75_p29.smt2,,to,unknown,1201.0,0,1201.0,290.6
vpm2-13.75_p3.smt2,,to,unknown,1201.0,0,1200.8,268.9
vpm2-13.75_p30.smt2,,to,unknown,1201.0,0,1200.8,314.6
vpm2-13.75_p31.smt2,,to,unknown,1201.0,0,1201.0,284.9
vpm2-13.75_p4.smt2,,to,unknown,1201.0,0,1201.0,320.7
vpm2-13.75_p5.smt2,,ok,unsat,0.8,0,0.8,15.5
vpm2-13.75_p6.smt2,,ok,unsat,88.6,0,88.4,28.2
vpm2-13.75_p7.smt2,,to,unknown,1201.0,0,1200.4,285.6
vpm2-13.75_p8.smt2,,to,unknown,1201.0,0,1200.9,316.5
vpm2-13.75_p9.smt2,,to,unknown,1201.0,0,1201.0,323.2
