benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p0.smt2,,ok,unsat,5.5,0,4.5,39.6
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p1.smt2,,ok,unsat,4.6,0,3.6,40.1
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p10.smt2,,ok,unsat,4.9,0,4.8,37.8
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p11.smt2,,ok,unsat,3.9,0,3.4,36.0
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p12.smt2,,ok,unsat,3.9,0,3.5,37.9
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p13.smt2,,ok,unsat,3.6,0,3.1,35.5
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p14.smt2,,ok,unsat,3.7,0,3.3,35.7
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p15.smt2,,ok,unsat,4.1,0,3.5,36.5
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p16.smt2,,ok,unsat,5.3,0,4.9,37.7
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p17.smt2,,ok,unsat,4.3,0,3.8,36.3
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p18.smt2,,ok,unsat,5.5,0,5.3,38.1
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p19.smt2,,ok,unsat,3.6,0,3.0,35.5
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p2.smt2,,ok,unsat,7.0,0,6.5,38.1
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p20.smt2,,ok,unsat,4.2,0,3.5,36.1
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p21.smt2,,ok,unsat,4.3,0,4.0,37.1
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p22.smt2,,ok,unsat,5.0,0,4.0,40.7
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p23.smt2,,ok,unsat,6.4,0,6.0,43.4
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p24.smt2,,ok,unsat,4.0,0,3.5,36.8
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p25.smt2,,to,unknown,1201.0,0,1200.7,130.7
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p26.smt2,,ok,unsat,4.1,0,3.5,38.2
