benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_standard_init9_ground.i_3_2_2.bpl_7_p0.smt2,,ok,unsat,1199.3,0,1199.2,212.3
_standard_init9_ground.i_3_2_2.bpl_7_p1.smt2,,to,unknown,1201.0,0,1200.2,220.1
_standard_init9_ground.i_3_2_2.bpl_7_p10.smt2,,ok,unsat,1161.1,0,1160.3,211.5
_standard_init9_ground.i_3_2_2.bpl_7_p11.smt2,,ok,unsat,1167.4,0,1166.6,211.2
_standard_init9_ground.i_3_2_2.bpl_7_p12.smt2,,ok,unsat,1196.8,0,1196.7,206.8
_standard_init9_ground.i_3_2_2.bpl_7_p13.smt2,,to,unknown,1201.0,0,1200.2,207.6
_standard_init9_ground.i_3_2_2.bpl_7_p14.smt2,,ok,unsat,1183.6,0,1182.8,206.3
_standard_init9_ground.i_3_2_2.bpl_7_p15.smt2,,ok,unsat,1043.7,0,1042.9,234.5
_standard_init9_ground.i_3_2_2.bpl_7_p16.smt2,,ok,unsat,968.7,0,968.6,187.1
_standard_init9_ground.i_3_2_2.bpl_7_p17.smt2,,ok,unsat,1048.0,0,1047.2,198.0
_standard_init9_ground.i_3_2_2.bpl_7_p18.smt2,,ok,unsat,1095.3,0,1094.6,201.5
_standard_init9_ground.i_3_2_2.bpl_7_p19.smt2,,ok,unsat,1082.6,0,1081.8,194.5
_standard_init9_ground.i_3_2_2.bpl_7_p2.smt2,,ok,unsat,1189.3,0,1188.5,205.0
_standard_init9_ground.i_3_2_2.bpl_7_p20.smt2,,ok,unsat,1053.0,0,1052.2,206.1
_standard_init9_ground.i_3_2_2.bpl_7_p21.smt2,,ok,unsat,1090.2,0,1089.5,198.6
_standard_init9_ground.i_3_2_2.bpl_7_p22.smt2,,to,unknown,1201.0,0,1200.2,209.9
_standard_init9_ground.i_3_2_2.bpl_7_p23.smt2,,to,unknown,1201.0,0,1200.9,217.7
_standard_init9_ground.i_3_2_2.bpl_7_p24.smt2,,to,unknown,1201.0,0,1200.3,209.5
_standard_init9_ground.i_3_2_2.bpl_7_p25.smt2,,ok,unsat,1165.6,0,1164.8,204.5
_standard_init9_ground.i_3_2_2.bpl_7_p26.smt2,,ok,unsat,1180.1,0,1179.3,202.9
_standard_init9_ground.i_3_2_2.bpl_7_p27.smt2,,ok,unsat,1081.1,0,1081.0,199.0
_standard_init9_ground.i_3_2_2.bpl_7_p28.smt2,,ok,unsat,1045.2,0,1044.4,196.4
_standard_init9_ground.i_3_2_2.bpl_7_p29.smt2,,to,unknown,1201.0,0,1200.2,212.0
_standard_init9_ground.i_3_2_2.bpl_7_p3.smt2,,ok,unsat,1101.4,0,1100.6,196.2
_standard_init9_ground.i_3_2_2.bpl_7_p30.smt2,,ok,unsat,1121.5,0,1120.7,207.4
_standard_init9_ground.i_3_2_2.bpl_7_p31.smt2,,to,unknown,1201.0,0,1200.3,206.3
_standard_init9_ground.i_3_2_2.bpl_7_p32.smt2,,ok,unsat,1166.0,0,1165.2,204.5
_standard_init9_ground.i_3_2_2.bpl_7_p33.smt2,,ok,unsat,1167.1,0,1167.0,210.9
_standard_init9_ground.i_3_2_2.bpl_7_p34.smt2,,ok,unsat,992.7,0,991.9,190.2
_standard_init9_ground.i_3_2_2.bpl_7_p35.smt2,,ok,unsat,1095.7,0,1094.9,232.0
_standard_init9_ground.i_3_2_2.bpl_7_p36.smt2,,to,unknown,1201.0,0,1200.9,204.9
_standard_init9_ground.i_3_2_2.bpl_7_p37.smt2,,to,unknown,1201.0,0,1200.9,207.5
_standard_init9_ground.i_3_2_2.bpl_7_p38.smt2,,ok,unsat,1093.1,0,1092.3,208.3
_standard_init9_ground.i_3_2_2.bpl_7_p39.smt2,,to,unknown,1201.0,0,1200.3,210.9
_standard_init9_ground.i_3_2_2.bpl_7_p4.smt2,,ok,unsat,1131.9,0,1131.8,201.3
_standard_init9_ground.i_3_2_2.bpl_7_p40.smt2,,to,unknown,1201.0,0,1200.2,210.9
_standard_init9_ground.i_3_2_2.bpl_7_p41.smt2,,ok,unsat,1191.5,0,1191.4,214.5
_standard_init9_ground.i_3_2_2.bpl_7_p42.smt2,,ok,unsat,1195.7,0,1194.9,216.7
_standard_init9_ground.i_3_2_2.bpl_7_p43.smt2,,to,unknown,1201.0,0,1200.3,208.5
_standard_init9_ground.i_3_2_2.bpl_7_p44.smt2,,to,unknown,1201.0,0,1200.3,207.3
_standard_init9_ground.i_3_2_2.bpl_7_p45.smt2,,to,unknown,1201.0,0,1201.0,209.2
_standard_init9_ground.i_3_2_2.bpl_7_p46.smt2,,to,unknown,1201.0,0,1200.2,214.3
_standard_init9_ground.i_3_2_2.bpl_7_p47.smt2,,ok,unsat,1174.9,0,1174.1,208.5
_standard_init9_ground.i_3_2_2.bpl_7_p48.smt2,,ok,unsat,1182.6,0,1181.8,249.9
_standard_init9_ground.i_3_2_2.bpl_7_p49.smt2,,ok,unsat,1098.9,0,1098.9,200.3
_standard_init9_ground.i_3_2_2.bpl_7_p5.smt2,,ok,unsat,1159.3,0,1158.5,209.3
_standard_init9_ground.i_3_2_2.bpl_7_p50.smt2,,ok,unsat,1136.8,0,1136.0,208.8
_standard_init9_ground.i_3_2_2.bpl_7_p51.smt2,,ok,unsat,1128.4,0,1128.4,200.8
_standard_init9_ground.i_3_2_2.bpl_7_p52.smt2,,ok,unsat,1124.3,0,1123.5,199.8
_standard_init9_ground.i_3_2_2.bpl_7_p53.smt2,,ok,unsat,1091.2,0,1090.5,198.4
_standard_init9_ground.i_3_2_2.bpl_7_p54.smt2,,to,unknown,1201.0,0,1200.9,208.6
_standard_init9_ground.i_3_2_2.bpl_7_p55.smt2,,ok,unsat,1086.9,0,1086.9,202.7
_standard_init9_ground.i_3_2_2.bpl_7_p56.smt2,,ok,unsat,1172.0,0,1171.2,207.6
_standard_init9_ground.i_3_2_2.bpl_7_p57.smt2,,to,unknown,1201.0,0,1200.3,208.3
_standard_init9_ground.i_3_2_2.bpl_7_p58.smt2,,to,unknown,1201.0,0,1200.3,203.1
_standard_init9_ground.i_3_2_2.bpl_7_p59.smt2,,to,unknown,1201.0,0,1200.9,209.9
_standard_init9_ground.i_3_2_2.bpl_7_p6.smt2,,to,unknown,1201.0,0,1200.3,208.8
_standard_init9_ground.i_3_2_2.bpl_7_p60.smt2,,ok,unsat,1109.4,0,1109.3,196.4
_standard_init9_ground.i_3_2_2.bpl_7_p61.smt2,,ok,unsat,1191.0,0,1190.2,253.8
_standard_init9_ground.i_3_2_2.bpl_7_p62.smt2,,to,unknown,1201.0,0,1200.3,219.3
_standard_init9_ground.i_3_2_2.bpl_7_p63.smt2,,to,unknown,1201.0,0,1200.2,214.7
_standard_init9_ground.i_3_2_2.bpl_7_p7.smt2,,ok,unsat,1149.7,0,1148.9,205.4
_standard_init9_ground.i_3_2_2.bpl_7_p8.smt2,,ok,unsat,1085.4,0,1085.4,200.4
