benchmark,config,status,result,time_real,exit_code,time_cpu,memory
constraint-199552_p0.smt2,,to,unknown,1201.0,0,1200.6,65.7
constraint-199552_p1.smt2,,to,unknown,1201.0,0,1200.6,60.1
constraint-199552_p10.smt2,,to,unknown,1201.0,0,1200.7,59.9
constraint-199552_p11.smt2,,to,unknown,1201.0,0,1200.8,63.6
constraint-199552_p12.smt2,,to,unknown,1201.0,0,1200.8,60.1
constraint-199552_p13.smt2,,ok,unsat,467.2,0,466.9,48.0
constraint-199552_p14.smt2,,to,unknown,1201.0,0,1200.7,52.9
constraint-199552_p15.smt2,,to,unknown,1201.0,0,1200.7,69.7
constraint-199552_p16.smt2,,ok,unsat,567.5,0,567.2,50.2
constraint-199552_p17.smt2,,to,unknown,1201.0,0,1200.6,58.3
constraint-199552_p18.smt2,,ok,sat,524.9,0,524.6,53.3
constraint-199552_p19.smt2,,to,unknown,1201.0,0,1200.7,68.7
constraint-199552_p2.smt2,,ok,unsat,610.4,0,610.1,51.7
constraint-199552_p20.smt2,,ok,unsat,1082.7,0,1082.3,60.4
constraint-199552_p21.smt2,,to,unknown,1201.0,0,1200.7,59.6
constraint-199552_p22.smt2,,to,unknown,1201.0,0,1200.6,57.7
constraint-199552_p23.smt2,,to,unknown,1201.0,0,1200.6,64.6
constraint-199552_p24.smt2,,to,unknown,1201.0,0,1200.7,59.6
constraint-199552_p25.smt2,,ok,unsat,619.9,0,619.6,53.6
constraint-199552_p26.smt2,,to,unknown,1201.0,0,1200.7,60.5
constraint-199552_p27.smt2,,to,unknown,1201.0,0,1200.7,82.0
constraint-199552_p28.smt2,,to,unknown,1201.0,0,1200.7,67.4
constraint-199552_p29.smt2,,to,unknown,1201.0,0,1200.7,55.3
constraint-199552_p3.smt2,,to,unknown,1201.0,0,1200.7,69.7
constraint-199552_p30.smt2,,to,unknown,1201.0,0,1200.7,60.4
constraint-199552_p31.smt2,,to,unknown,1201.0,0,1200.7,59.5
constraint-199552_p32.smt2,,to,unknown,1201.0,0,1200.7,65.1
constraint-199552_p33.smt2,,to,unknown,1201.0,0,1200.7,63.1
constraint-199552_p34.smt2,,ok,sat,463.7,0,463.4,51.5
constraint-199552_p35.smt2,,to,unknown,1201.0,0,1200.6,70.5
constraint-199552_p36.smt2,,to,unknown,1201.0,0,1200.7,56.9
constraint-199552_p37.smt2,,ok,unsat,1161.4,0,1161.0,63.2
constraint-199552_p38.smt2,,to,unknown,1201.0,0,1200.7,68.4
constraint-199552_p39.smt2,,to,unknown,1201.0,0,1200.8,59.8
constraint-199552_p4.smt2,,to,unknown,1201.0,0,1200.6,65.7
constraint-199552_p40.smt2,,to,unknown,1201.0,0,1200.6,57.2
constraint-199552_p41.smt2,,to,unknown,1201.0,0,1200.8,68.1
constraint-199552_p42.smt2,,to,unknown,1201.0,0,1200.7,74.8
constraint-199552_p43.smt2,,to,unknown,1201.0,0,1200.7,59.1
constraint-199552_p44.smt2,,to,unknown,1201.0,0,1200.6,67.4
constraint-199552_p45.smt2,,to,unknown,1201.0,0,1200.6,61.2
constraint-199552_p46.smt2,,to,unknown,1201.0,0,1200.6,63.8
constraint-199552_p47.smt2,,to,unknown,1201.0,0,1200.7,63.7
constraint-199552_p48.smt2,,to,unknown,1201.0,0,1200.6,58.3
constraint-199552_p49.smt2,,to,unknown,1201.0,0,1200.7,65.0
constraint-199552_p5.smt2,,to,unknown,1201.0,0,1200.6,64.1
constraint-199552_p50.smt2,,ok,unsat,468.5,0,468.1,50.1
constraint-199552_p51.smt2,,to,unknown,1201.0,0,1200.6,63.0
constraint-199552_p52.smt2,,to,unknown,1201.0,0,1200.7,63.5
constraint-199552_p53.smt2,,ok,unsat,653.5,0,653.2,52.8
constraint-199552_p54.smt2,,to,unknown,1201.0,0,1200.6,72.9
constraint-199552_p55.smt2,,to,unknown,1201.0,0,1200.7,68.5
constraint-199552_p56.smt2,,to,unknown,1201.0,0,1200.7,61.1
constraint-199552_p57.smt2,,to,unknown,1201.0,0,1200.8,60.6
constraint-199552_p58.smt2,,ok,sat,941.0,0,940.6,75.4
constraint-199552_p59.smt2,,ok,unsat,515.9,0,515.6,51.3
constraint-199552_p6.smt2,,to,unknown,1201.0,0,1200.7,71.9
constraint-199552_p60.smt2,,to,unknown,1201.0,0,1200.7,59.4
constraint-199552_p61.smt2,,to,unknown,1201.0,0,1200.7,70.2
constraint-199552_p62.smt2,,ok,unsat,600.6,0,600.3,52.5
constraint-199552_p63.smt2,,to,unknown,1201.0,0,1200.8,63.5
constraint-199552_p7.smt2,,to,unknown,1201.0,0,1200.7,68.1
constraint-199552_p8.smt2,,to,unknown,1201.0,0,1200.6,62.3
constraint-199552_p9.smt2,,to,unknown,1201.0,0,1200.6,58.6
