benchmark,config,status,result,time_real,exit_code,time_cpu,memory
fixnet-7000_p0.smt2,,ok,sat,719.7,0,719.2,141.7
fixnet-7000_p1.smt2,,to,unknown,1201.0,0,1200.6,229.9
fixnet-7000_p10.smt2,,to,unknown,1201.0,0,1201.0,182.3
fixnet-7000_p11.smt2,,to,unknown,1201.0,0,1200.5,383.8
fixnet-7000_p12.smt2,,to,unknown,1201.0,0,1200.5,221.7
fixnet-7000_p13.smt2,,to,unknown,1201.0,0,1200.5,257.2
fixnet-7000_p14.smt2,,to,unknown,1201.0,0,1201.0,376.0
fixnet-7000_p15.smt2,,to,unknown,1201.0,0,1200.5,361.1
fixnet-7000_p16.smt2,,to,unknown,1201.0,0,1200.4,295.9
fixnet-7000_p17.smt2,,to,unknown,1201.0,0,1200.6,307.5
fixnet-7000_p18.smt2,,to,unknown,1201.0,0,1200.6,223.4
fixnet-7000_p19.smt2,,to,unknown,1201.0,0,1200.5,325.7
fixnet-7000_p2.smt2,,to,unknown,1201.0,0,1200.5,377.0
fixnet-7000_p20.smt2,,to,unknown,1201.0,0,1200.5,354.1
fixnet-7000_p21.smt2,,to,unknown,1201.0,0,1201.0,391.4
fixnet-7000_p22.smt2,,ok,sat,852.1,0,851.6,221.6
fixnet-7000_p23.smt2,,to,unknown,1201.0,0,1200.5,439.1
fixnet-7000_p24.smt2,,to,unknown,1201.0,0,1200.6,356.6
fixnet-7000_p25.smt2,,to,unknown,1201.0,0,1201.0,203.3
fixnet-7000_p26.smt2,,ok,sat,471.7,0,471.2,109.5
fixnet-7000_p27.smt2,,to,unknown,1201.0,0,1200.3,183.8
fixnet-7000_p28.smt2,,to,unknown,1201.0,0,1200.6,465.1
fixnet-7000_p29.smt2,,to,unknown,1201.0,0,1200.5,318.2
fixnet-7000_p3.smt2,,to,unknown,1201.0,0,1200.8,295.3
fixnet-7000_p30.smt2,,to,unknown,1201.0,0,1200.5,454.9
fixnet-7000_p31.smt2,,ok,sat,1149.5,0,1149.0,401.9
fixnet-7000_p32.smt2,,to,unknown,1201.0,0,1200.6,318.7
fixnet-7000_p33.smt2,,to,unknown,1201.0,0,1200.6,341.0
fixnet-7000_p34.smt2,,to,unknown,1201.0,0,1200.5,238.4
fixnet-7000_p35.smt2,,to,unknown,1201.0,0,1201.0,255.6
fixnet-7000_p36.smt2,,to,unknown,1201.0,0,1200.5,228.2
fixnet-7000_p37.smt2,,to,unknown,1201.0,0,1200.5,211.0
fixnet-7000_p38.smt2,,to,unknown,1201.0,0,1200.5,368.4
fixnet-7000_p39.smt2,,to,unknown,1201.0,0,1201.0,234.0
fixnet-7000_p4.smt2,,ok,sat,881.6,0,881.0,227.6
fixnet-7000_p40.smt2,,ok,sat,297.1,0,296.6,77.1
fixnet-7000_p41.smt2,,to,unknown,1201.0,0,1200.5,511.5
fixnet-7000_p42.smt2,,ok,sat,890.4,0,889.9,244.8
fixnet-7000_p43.smt2,,to,unknown,1201.0,0,1201.0,521.8
fixnet-7000_p44.smt2,,to,unknown,1201.0,0,1200.5,270.2
fixnet-7000_p45.smt2,,to,unknown,1201.0,0,1200.5,310.4
fixnet-7000_p46.smt2,,to,unknown,1201.0,0,1200.5,403.7
fixnet-7000_p47.smt2,,to,unknown,1201.0,0,1201.0,360.3
fixnet-7000_p48.smt2,,to,unknown,1201.0,0,1200.5,231.7
fixnet-7000_p49.smt2,,to,unknown,1201.0,0,1200.5,241.3
fixnet-7000_p5.smt2,,to,unknown,1201.0,0,1200.5,505.6
fixnet-7000_p50.smt2,,to,unknown,1201.0,0,1200.6,317.7
fixnet-7000_p51.smt2,,to,unknown,1201.0,0,1200.6,405.7
fixnet-7000_p52.smt2,,to,unknown,1201.0,0,1200.5,250.4
fixnet-7000_p53.smt2,,to,unknown,1201.0,0,1200.5,371.9
fixnet-7000_p54.smt2,,to,unknown,1201.0,0,1200.5,319.8
fixnet-7000_p55.smt2,,ok,sat,989.5,0,989.0,315.7
fixnet-7000_p56.smt2,,ok,sat,447.0,0,446.5,147.4
fixnet-7000_p57.smt2,,to,unknown,1201.0,0,1201.0,408.5
fixnet-7000_p58.smt2,,to,unknown,1201.0,0,1200.5,468.6
fixnet-7000_p59.smt2,,to,unknown,1201.0,0,1200.5,267.9
fixnet-7000_p6.smt2,,to,unknown,1201.0,0,1200.5,212.7
fixnet-7000_p60.smt2,,to,unknown,1201.0,0,1200.6,295.1
fixnet-7000_p61.smt2,,to,unknown,1201.0,0,1200.5,359.6
fixnet-7000_p62.smt2,,to,unknown,1201.0,0,1200.5,463.3
fixnet-7000_p63.smt2,,to,unknown,1201.0,0,1200.5,194.2
fixnet-7000_p7.smt2,,to,unknown,1201.0,0,1201.0,278.9
fixnet-7000_p8.smt2,,to,unknown,1201.0,0,1200.5,230.6
fixnet-7000_p9.smt2,,to,unknown,1201.0,0,1200.5,251.4
