benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_const1.i_3_6_2.bpl_11_p0.smt2,,ok,unsat,20.6,0,20.6,17.7
_const1.i_3_6_2.bpl_11_p1.smt2,,ok,unsat,66.6,0,66.6,24.7
_const1.i_3_6_2.bpl_11_p10.smt2,,ok,unsat,2.7,0,2.7,14.1
_const1.i_3_6_2.bpl_11_p100.smt2,,ok,unsat,158.4,0,158.4,32.4
_const1.i_3_6_2.bpl_11_p101.smt2,,ok,unsat,51.4,0,51.4,22.3
_const1.i_3_6_2.bpl_11_p102.smt2,,ok,unsat,52.6,0,52.6,24.5
_const1.i_3_6_2.bpl_11_p103.smt2,,ok,unsat,79.9,0,79.8,27.1
_const1.i_3_6_2.bpl_11_p104.smt2,,ok,unsat,27.0,0,27.0,19.6
_const1.i_3_6_2.bpl_11_p105.smt2,,ok,unsat,87.4,0,87.4,24.5
_const1.i_3_6_2.bpl_11_p106.smt2,,ok,unsat,43.1,0,43.1,19.8
_const1.i_3_6_2.bpl_11_p107.smt2,,ok,unsat,4.5,0,4.5,14.1
_const1.i_3_6_2.bpl_11_p108.smt2,,ok,unsat,48.1,0,48.1,20.5
_const1.i_3_6_2.bpl_11_p109.smt2,,ok,unsat,51.2,0,51.2,21.6
_const1.i_3_6_2.bpl_11_p11.smt2,,ok,unsat,181.0,0,181.0,34.0
_const1.i_3_6_2.bpl_11_p110.smt2,,ok,unsat,2.8,0,2.8,13.8
_const1.i_3_6_2.bpl_11_p111.smt2,,to,unknown,1201.0,0,1201.0,84.9
_const1.i_3_6_2.bpl_11_p112.smt2,,ok,unsat,4.1,0,4.0,13.9
_const1.i_3_6_2.bpl_11_p113.smt2,,ok,unsat,45.9,0,45.9,21.5
_const1.i_3_6_2.bpl_11_p114.smt2,,to,unknown,1201.0,0,1201.0,93.6
_const1.i_3_6_2.bpl_11_p115.smt2,,ok,unsat,43.3,0,43.3,21.3
_const1.i_3_6_2.bpl_11_p116.smt2,,ok,unsat,15.5,0,15.5,16.1
_const1.i_3_6_2.bpl_11_p117.smt2,,ok,unsat,104.4,0,104.4,27.2
_const1.i_3_6_2.bpl_11_p118.smt2,,ok,unsat,3.8,0,3.8,14.7
_const1.i_3_6_2.bpl_11_p119.smt2,,ok,unsat,30.6,0,30.6,18.4
_const1.i_3_6_2.bpl_11_p12.smt2,,ok,unsat,2.2,0,2.1,13.4
_const1.i_3_6_2.bpl_11_p120.smt2,,ok,unsat,615.7,0,615.7,55.4
_const1.i_3_6_2.bpl_11_p121.smt2,,ok,unsat,29.8,0,29.7,19.3
_const1.i_3_6_2.bpl_11_p122.smt2,,ok,unsat,2.8,0,2.8,14.2
_const1.i_3_6_2.bpl_11_p123.smt2,,ok,unsat,3.3,0,3.2,13.8
_const1.i_3_6_2.bpl_11_p124.smt2,,ok,unsat,56.5,0,56.5,20.2
_const1.i_3_6_2.bpl_11_p125.smt2,,ok,unsat,113.2,0,113.2,28.9
_const1.i_3_6_2.bpl_11_p126.smt2,,ok,unsat,24.8,0,24.8,18.6
_const1.i_3_6_2.bpl_11_p127.smt2,,ok,unsat,36.8,0,36.8,18.8
_const1.i_3_6_2.bpl_11_p13.smt2,,ok,unsat,33.0,0,33.0,19.5
_const1.i_3_6_2.bpl_11_p14.smt2,,ok,unsat,45.6,0,45.6,20.4
_const1.i_3_6_2.bpl_11_p15.smt2,,ok,unsat,5.3,0,5.3,14.5
_const1.i_3_6_2.bpl_11_p16.smt2,,ok,unsat,1.7,0,1.7,13.7
_const1.i_3_6_2.bpl_11_p17.smt2,,ok,unsat,29.3,0,29.3,17.5
