benchmark,config,status,result,time_real,exit_code,time_cpu,memory
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p0.smt2,,to,unknown,1201.0,0,1201.0,998.6
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p1.smt2,,to,unknown,1201.0,0,1201.0,1279.1
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p10.smt2,,to,unknown,1201.0,0,1201.0,1000.5
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p100.smt2,,to,unknown,1201.0,0,1200.9,967.6
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p101.smt2,,to,unknown,1201.0,0,1201.0,1008.9
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p102.smt2,,to,unknown,1201.0,0,1201.0,884.6
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p103.smt2,,to,unknown,1201.0,0,1201.0,1014.5
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p104.smt2,,to,unknown,1201.0,0,1201.0,840.6
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p105.smt2,,to,unknown,1201.0,0,1200.9,1003.3
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p106.smt2,,to,unknown,1201.0,0,1201.0,968.3
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p107.smt2,,ok,sat,825.6,0,825.5,1303.3
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p108.smt2,,to,unknown,1201.0,0,1201.0,963.4
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p109.smt2,,ok,sat,1191.8,0,1191.7,1343.5
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p11.smt2,,to,unknown,1201.0,0,1201.0,962.6
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p110.smt2,,to,unknown,1201.0,0,1201.0,988.7
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p111.smt2,,to,unknown,1201.0,0,1201.0,980.7
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p112.smt2,,to,unknown,1201.0,0,1201.0,1036.5
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p113.smt2,,to,unknown,1201.0,0,1201.0,1269.3
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p114.smt2,,to,unknown,1201.0,0,1201.0,1304.2
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p115.smt2,,to,unknown,1201.0,0,1201.0,976.8
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p116.smt2,,to,unknown,1201.0,0,1201.0,1043.5
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p117.smt2,,to,unknown,1201.0,0,1201.0,1043.0
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p118.smt2,,to,unknown,1201.0,0,1201.0,1004.2
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p119.smt2,,to,unknown,1201.0,0,1201.0,1306.8
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p12.smt2,,to,unknown,1201.0,0,1201.0,903.1
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p120.smt2,,to,unknown,1201.0,0,1201.0,1255.9
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p121.smt2,,to,unknown,1201.0,0,1201.0,1292.9
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p122.smt2,,ok,sat,893.1,0,893.0,1298.8
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p123.smt2,,ok,sat,793.9,0,793.9,1311.3
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p124.smt2,,to,unknown,1201.0,0,1201.0,1049.6
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p125.smt2,,to,unknown,1201.0,0,1201.0,1115.4
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p126.smt2,,to,unknown,1201.0,0,1201.0,1295.1
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p127.smt2,,to,unknown,1201.0,0,1201.0,1000.3
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p13.smt2,,ok,sat,1050.6,0,1050.5,1091.8
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p14.smt2,,to,unknown,1201.0,0,1201.0,972.7
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p15.smt2,,ok,sat,1025.1,0,1025.0,1298.0
bound-scaled600.bpl_Iteration1_Loop_4-pieceTemplate_p16.smt2,,to,unknown,1201.0,0,1201.0,999.1
