benchmark,config,status,result,time_real,exit_code,time_cpu,memory
constraint-199552_p0.smt2,,to,unknown,1201.0,0,1200.9,58.4
constraint-199552_p1.smt2,,ok,unsat,585.9,0,585.9,58.3
constraint-199552_p10.smt2,,to,unknown,1201.0,0,1200.9,53.3
constraint-199552_p100.smt2,,ok,unsat,9.2,0,9.2,33.0
constraint-199552_p101.smt2,,to,unknown,1201.0,0,1200.9,54.9
constraint-199552_p102.smt2,,ok,unsat,89.4,0,89.4,45.2
constraint-199552_p103.smt2,,to,unknown,1201.0,0,1200.9,63.8
constraint-199552_p104.smt2,,ok,unsat,403.6,0,403.6,51.7
constraint-199552_p105.smt2,,to,unknown,1201.0,0,1201.0,53.8
constraint-199552_p106.smt2,,ok,unsat,348.3,0,348.3,46.4
constraint-199552_p107.smt2,,to,unknown,1201.0,0,1201.0,58.2
constraint-199552_p108.smt2,,to,unknown,1201.0,0,1201.0,66.5
constraint-199552_p109.smt2,,to,unknown,1201.0,0,1201.0,66.4
constraint-199552_p11.smt2,,ok,unsat,618.4,0,618.4,52.6
constraint-199552_p110.smt2,,ok,sat,999.0,0,999.0,60.4
constraint-199552_p111.smt2,,to,unknown,1201.0,0,1201.0,71.6
constraint-199552_p112.smt2,,to,unknown,1201.0,0,1200.9,53.1
constraint-199552_p113.smt2,,to,unknown,1201.0,0,1201.0,64.7
constraint-199552_p114.smt2,,to,unknown,1201.0,0,1201.0,67.9
constraint-199552_p115.smt2,,ok,unsat,440.0,0,440.0,48.5
constraint-199552_p116.smt2,,ok,unsat,11.5,0,11.5,36.7
constraint-199552_p117.smt2,,to,unknown,1201.0,0,1201.0,59.4
constraint-199552_p118.smt2,,ok,sat,592.8,0,592.8,51.3
constraint-199552_p119.smt2,,ok,unsat,602.1,0,602.1,48.2
constraint-199552_p12.smt2,,to,unknown,1201.0,0,1201.0,59.2
constraint-199552_p120.smt2,,ok,unsat,147.4,0,147.4,44.4
constraint-199552_p121.smt2,,to,unknown,1201.0,0,1201.0,71.8
constraint-199552_p122.smt2,,ok,unsat,174.0,0,174.0,43.4
constraint-199552_p123.smt2,,ok,unsat,814.7,0,814.7,54.5
constraint-199552_p124.smt2,,ok,sat,229.8,0,229.8,62.5
constraint-199552_p125.smt2,,ok,unsat,10.4,0,10.3,32.5
constraint-199552_p126.smt2,,to,unknown,1201.0,0,1201.0,60.5
constraint-199552_p127.smt2,,ok,unsat,913.3,0,913.2,53.4
constraint-199552_p13.smt2,,to,unknown,1201.0,0,1201.0,63.0
constraint-199552_p14.smt2,,ok,unsat,63.2,0,63.2,46.3
constraint-199552_p15.smt2,,ok,sat,312.5,0,312.5,46.2
constraint-199552_p16.smt2,,to,unknown,1201.0,0,1200.9,63.0
constraint-199552_p17.smt2,,ok,unsat,1098.2,0,1098.2,59.6
constraint-199552_p18.smt2,,ok,unsat,69.0,0,69.0,42.9
constraint-199552_p19.smt2,,to,unknown,1201.0,0,1201.0,61.7
constraint-199552_p2.smt2,,ok,unsat,49.4,0,49.4,42.5
constraint-199552_p20.smt2,,to,unknown,1201.0,0,1201.0,54.8
constraint-199552_p21.smt2,,ok,sat,52.2,0,52.2,45.4
constraint-199552_p22.smt2,,to,unknown,1201.0,0,1201.0,63.2
constraint-199552_p23.smt2,,ok,sat,330.8,0,330.7,43.9
constraint-199552_p24.smt2,,ok,unsat,658.2,0,658.2,51.9
constraint-199552_p25.smt2,,ok,unsat,796.7,0,796.7,53.4
constraint-199552_p26.smt2,,ok,unsat,25.7,0,25.7,47.5
constraint-199552_p27.smt2,,ok,sat,129.3,0,129.3,48.1
constraint-199552_p28.smt2,,to,unknown,1201.0,0,1201.0,59.4
constraint-199552_p29.smt2,,ok,unsat,9.5,0,9.5,37.0
constraint-199552_p3.smt2,,ok,unsat,601.2,0,601.2,46.4
constraint-199552_p30.smt2,,to,unknown,1201.0,0,1201.0,55.6
constraint-199552_p31.smt2,,to,unknown,1201.0,0,1200.9,68.5
constraint-199552_p32.smt2,,ok,unsat,626.9,0,626.9,49.6
constraint-199552_p33.smt2,,to,unknown,1201.0,0,1200.9,64.1
constraint-199552_p34.smt2,,to,unknown,1201.0,0,1200.9,74.6
constraint-199552_p35.smt2,,ok,unsat,105.4,0,105.4,45.5
constraint-199552_p36.smt2,,ok,sat,524.4,0,524.3,48.9
constraint-199552_p37.smt2,,to,unknown,1201.0,0,1201.0,67.5
constraint-199552_p38.smt2,,ok,unsat,150.9,0,150.9,43.5
constraint-199552_p39.smt2,,ok,unsat,445.8,0,445.8,52.4
constraint-199552_p4.smt2,,ok,unsat,463.4,0,463.3,46.7
