benchmark,config,status,result,time_real,exit_code,time_cpu,memory
fixnet-3983_p0.smt2,,ok,unsat,1022.8,0,1022.7,351.7
fixnet-3983_p1.smt2,,to,unknown,1201.0,0,1201.0,497.9
fixnet-3983_p10.smt2,,to,unknown,1201.0,0,1201.0,287.9
fixnet-3983_p11.smt2,,to,unknown,1201.0,0,1201.0,561.1
fixnet-3983_p12.smt2,,to,unknown,1201.0,0,1201.0,316.0
fixnet-3983_p13.smt2,,to,unknown,1201.0,0,1201.0,496.0
fixnet-3983_p14.smt2,,to,unknown,1201.0,0,1201.0,239.5
fixnet-3983_p15.smt2,,to,unknown,1201.0,0,1201.0,369.1
fixnet-3983_p2.smt2,,to,unknown,1201.0,0,1200.8,321.9
fixnet-3983_p3.smt2,,to,unknown,1201.0,0,1201.0,695.7
fixnet-3983_p4.smt2,,to,unknown,1201.0,0,1201.0,343.1
fixnet-3983_p5.smt2,,to,unknown,1201.0,0,1201.0,472.0
fixnet-3983_p6.smt2,,to,unknown,1201.0,0,1201.0,306.4
fixnet-3983_p7.smt2,,to,unknown,1201.0,0,1201.0,300.4
fixnet-3983_p8.smt2,,to,unknown,1201.0,0,1201.0,405.6
fixnet-3983_p9.smt2,,to,unknown,1201.0,0,1201.0,595.1
