benchmark,config,status,result,time_real,exit_code,time_cpu,memory
pp08a-7350_p0.smt2,,to,unknown,1201.0,0,1201.0,105.5
pp08a-7350_p1.smt2,,to,unknown,1201.0,0,1201.0,88.6
pp08a-7350_p10.smt2,,to,unknown,1201.0,0,1201.0,107.4
pp08a-7350_p11.smt2,,to,unknown,1201.0,0,1201.0,95.7
pp08a-7350_p12.smt2,,to,unknown,1201.0,0,1200.7,103.3
pp08a-7350_p13.smt2,,to,unknown,1201.0,0,1201.0,93.2
pp08a-7350_p14.smt2,,to,unknown,1201.0,0,1201.0,100.8
pp08a-7350_p15.smt2,,to,unknown,1201.0,0,1200.9,92.5
pp08a-7350_p2.smt2,,to,unknown,1201.0,0,1201.0,115.2
pp08a-7350_p3.smt2,,to,unknown,1201.0,0,1200.7,103.4
pp08a-7350_p4.smt2,,to,unknown,1201.0,0,1201.0,89.8
pp08a-7350_p5.smt2,,to,unknown,1201.0,0,1201.0,115.4
pp08a-7350_p6.smt2,,to,unknown,1201.0,0,1201.0,107.2
pp08a-7350_p7.smt2,,to,unknown,1201.0,0,1200.7,121.0
pp08a-7350_p8.smt2,,to,unknown,1201.0,0,1201.0,106.7
pp08a-7350_p9.smt2,,to,unknown,1201.0,0,1201.0,102.9
