benchmark,config,status,result,time_real,exit_code,time_cpu,memory
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p0.smt2,,to,unknown,1201.0,0,1198.6,877.2
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p1.smt2,,ok,sat,915.5,0,912.9,786.5
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p10.smt2,,to,unknown,1201.0,0,1198.2,748.7
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p11.smt2,,ok,sat,1164.4,0,1162.0,767.5
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p12.smt2,,to,unknown,1201.0,0,1190.1,733.5
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p13.smt2,,ok,sat,1165.6,0,1163.1,765.5
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p14.smt2,,ok,sat,1029.4,0,1027.1,769.1
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p15.smt2,,ok,sat,1076.5,0,1074.1,758.3
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p2.smt2,,ok,sat,1162.1,0,1159.4,855.7
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p3.smt2,,ok,sat,1040.4,0,1037.7,883.5
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p4.smt2,,ok,sat,1108.7,0,1106.3,751.3
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p5.smt2,,ok,sat,931.9,0,920.8,759.4
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p6.smt2,,ok,sat,952.6,0,949.7,764.6
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p7.smt2,,ok,sat,962.2,0,959.6,788.8
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p8.smt2,,ok,sat,994.9,0,992.4,761.8
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p9.smt2,,ok,sat,1036.7,0,1025.5,762.4
