benchmark,config,status,result,time_real,exit_code,time_cpu,memory
smtcomp_263_p0.smt2,,to,unknown,1201.0,0,1201.0,991.5
smtcomp_263_p1.smt2,,to,unknown,1201.0,0,1201.1,901.5
smtcomp_263_p10.smt2,,to,unknown,1201.0,0,1201.0,800.6
smtcomp_263_p11.smt2,,to,unknown,1201.0,0,1201.1,966.1
smtcomp_263_p12.smt2,,to,unknown,1201.0,0,1201.0,865.2
smtcomp_263_p13.smt2,,to,unknown,1201.0,0,1201.0,834.9
smtcomp_263_p14.smt2,,to,unknown,1201.0,0,1201.0,928.2
smtcomp_263_p15.smt2,,to,unknown,1201.0,0,1201.0,960.4
smtcomp_263_p2.smt2,,to,unknown,1201.0,0,1201.0,944.2
smtcomp_263_p3.smt2,,to,unknown,1201.0,0,1200.9,983.9
smtcomp_263_p4.smt2,,to,unknown,1201.0,0,1201.0,992.9
smtcomp_263_p5.smt2,,to,unknown,1201.0,0,1201.1,892.0
smtcomp_263_p6.smt2,,to,unknown,1201.0,0,1201.0,887.9
smtcomp_263_p7.smt2,,to,unknown,1201.0,0,1201.1,1040.0
smtcomp_263_p8.smt2,,to,unknown,1201.0,0,1201.0,878.2
smtcomp_263_p9.smt2,,to,unknown,1201.0,0,1201.1,918.9
