benchmark,config,status,result,time_real,exit_code,time_cpu,memory
danoint-66_p0.smt2,,to,unknown,1201.0,0,1200.9,59.4
danoint-66_p1.smt2,,to,unknown,1201.0,0,1201.0,59.3
danoint-66_p10.smt2,,to,unknown,1201.0,0,1201.0,59.0
danoint-66_p11.smt2,,to,unknown,1201.0,0,1201.0,58.2
danoint-66_p12.smt2,,to,unknown,1201.0,0,1201.0,59.2
danoint-66_p13.smt2,,to,unknown,1201.0,0,1201.0,58.5
danoint-66_p14.smt2,,to,unknown,1201.0,0,1201.0,101.6
danoint-66_p15.smt2,,to,unknown,1201.0,0,1201.0,58.5
danoint-66_p16.smt2,,to,unknown,1201.0,0,1201.0,58.6
danoint-66_p17.smt2,,to,unknown,1201.0,0,1201.0,59.3
danoint-66_p18.smt2,,to,unknown,1201.0,0,1201.0,58.2
danoint-66_p19.smt2,,to,unknown,1201.0,0,1201.0,59.6
danoint-66_p2.smt2,,to,unknown,1201.0,0,1201.0,59.2
danoint-66_p20.smt2,,to,unknown,1201.0,0,1201.0,49.9
danoint-66_p21.smt2,,to,unknown,1201.0,0,1201.0,59.1
danoint-66_p22.smt2,,to,unknown,1201.0,0,1201.0,58.5
danoint-66_p23.smt2,,to,unknown,1201.0,0,1201.0,58.7
danoint-66_p24.smt2,,to,unknown,1201.0,0,1201.0,50.5
danoint-66_p25.smt2,,to,unknown,1201.0,0,1201.0,49.8
danoint-66_p26.smt2,,to,unknown,1201.0,0,1201.0,59.2
danoint-66_p27.smt2,,to,unknown,1201.0,0,1201.0,59.0
danoint-66_p28.smt2,,to,unknown,1201.0,0,1201.0,58.6
danoint-66_p29.smt2,,to,unknown,1201.0,0,1201.0,59.4
danoint-66_p3.smt2,,to,unknown,1201.0,0,1201.0,61.3
danoint-66_p30.smt2,,to,unknown,1201.0,0,1201.0,57.9
danoint-66_p31.smt2,,to,unknown,1201.0,0,1200.9,59.2
danoint-66_p4.smt2,,to,unknown,1201.0,0,1201.0,58.6
danoint-66_p5.smt2,,to,unknown,1201.0,0,1201.0,57.2
danoint-66_p6.smt2,,to,unknown,1201.0,0,1201.0,58.6
danoint-66_p7.smt2,,to,unknown,1201.0,0,1200.9,52.3
danoint-66_p8.smt2,,to,unknown,1201.0,0,1201.0,59.4
danoint-66_p9.smt2,,to,unknown,1201.0,0,1200.9,50.8
