benchmark,config,status,result,time_real,exit_code,time_cpu,memory
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p0.smt2,,ok,sat,755.3,0,754.7,514.5
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p1.smt2,,ok,sat,966.9,0,966.8,548.5
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p10.smt2,,ok,sat,822.1,0,821.5,509.1
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p11.smt2,,ok,sat,488.8,0,488.8,379.6
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p12.smt2,,ok,sat,831.3,0,830.7,533.1
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p13.smt2,,to,unknown,1201.0,0,1200.6,496.8
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p14.smt2,,ok,sat,911.8,0,911.2,540.7
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p15.smt2,,ok,sat,1087.8,0,1087.7,488.1
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p16.smt2,,ok,sat,1010.2,0,1009.8,488.5
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p17.smt2,,ok,sat,1035.3,0,1034.9,535.2
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p18.smt2,,ok,sat,979.0,0,978.9,502.2
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p19.smt2,,ok,sat,555.3,0,555.2,391.9
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p2.smt2,,ok,sat,1003.0,0,1002.4,512.2
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p20.smt2,,ok,sat,1049.5,0,1049.5,510.8
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p21.smt2,,ok,sat,1037.8,0,1037.1,512.8
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p22.smt2,,to,unknown,1201.0,0,1200.4,542.2
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p23.smt2,,to,unknown,1201.0,0,1200.5,487.7
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p24.smt2,,ok,sat,976.7,0,976.6,490.3
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p25.smt2,,ok,sat,888.0,0,887.4,533.2
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p26.smt2,,ok,sat,1084.5,0,1084.1,531.2
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p27.smt2,,to,unknown,1201.0,0,1200.5,494.8
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p28.smt2,,ok,sat,729.1,0,729.0,414.5
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p29.smt2,,ok,sat,825.0,0,824.9,493.7
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p3.smt2,,ok,sat,858.1,0,857.8,514.3
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p30.smt2,,to,unknown,1201.0,0,1201.0,498.4
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p31.smt2,,to,unknown,1201.0,0,1201.0,509.3
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p4.smt2,,ok,sat,857.7,0,857.6,500.9
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p5.smt2,,ok,sat,699.9,0,699.9,410.3
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p6.smt2,,ok,sat,959.2,0,958.6,508.4
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p7.smt2,,to,unknown,1201.0,0,1200.6,485.5
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p8.smt2,,ok,sat,1052.3,0,1051.7,428.6
sas2.t2.c_Iteration5_Lasso_7-phaseTemplate_p9.smt2,,to,unknown,1201.0,0,1201.0,494.5
