benchmark,config,status,result,time_real,exit_code,time_cpu,memory
sc-40.base.cvc_p0.smt2,,ok,unsat,398.6,0,398.6,63.3
sc-40.base.cvc_p1.smt2,,ok,unsat,179.1,0,179.1,60.5
sc-40.base.cvc_p10.smt2,,ok,unsat,436.6,0,436.6,58.8
sc-40.base.cvc_p11.smt2,,ok,unsat,379.2,0,379.1,55.9
sc-40.base.cvc_p12.smt2,,ok,unsat,515.8,0,515.8,72.4
sc-40.base.cvc_p13.smt2,,ok,unsat,481.9,0,481.9,59.2
sc-40.base.cvc_p14.smt2,,ok,unsat,176.3,0,176.2,60.1
sc-40.base.cvc_p15.smt2,,ok,unsat,435.2,0,435.2,62.2
sc-40.base.cvc_p16.smt2,,ok,unsat,174.1,0,174.1,56.3
sc-40.base.cvc_p17.smt2,,ok,unsat,171.2,0,171.1,56.0
sc-40.base.cvc_p18.smt2,,ok,unsat,378.2,0,378.2,65.7
sc-40.base.cvc_p19.smt2,,ok,unsat,435.1,0,435.1,61.6
sc-40.base.cvc_p2.smt2,,ok,unsat,197.7,0,197.6,55.5
sc-40.base.cvc_p20.smt2,,ok,unsat,376.3,0,376.3,57.4
sc-40.base.cvc_p21.smt2,,ok,unsat,405.1,0,405.0,62.9
sc-40.base.cvc_p22.smt2,,ok,unsat,359.5,0,359.5,59.0
sc-40.base.cvc_p23.smt2,,ok,unsat,179.9,0,179.9,57.1
sc-40.base.cvc_p24.smt2,,ok,unsat,382.7,0,382.6,55.2
sc-40.base.cvc_p25.smt2,,ok,unsat,171.9,0,171.9,57.6
sc-40.base.cvc_p26.smt2,,ok,unsat,368.5,0,368.5,59.0
sc-40.base.cvc_p27.smt2,,ok,unsat,192.7,0,192.6,55.4
sc-40.base.cvc_p28.smt2,,ok,unsat,448.5,0,448.4,72.3
sc-40.base.cvc_p29.smt2,,ok,unsat,419.1,0,419.1,66.8
sc-40.base.cvc_p3.smt2,,ok,unsat,176.1,0,176.0,57.2
sc-40.base.cvc_p30.smt2,,ok,unsat,176.3,0,176.3,56.8
sc-40.base.cvc_p31.smt2,,ok,unsat,443.3,0,443.2,68.4
sc-40.base.cvc_p4.smt2,,ok,unsat,407.3,0,407.2,69.6
sc-40.base.cvc_p5.smt2,,ok,unsat,415.6,0,415.5,62.3
sc-40.base.cvc_p6.smt2,,ok,unsat,175.0,0,175.0,57.7
sc-40.base.cvc_p7.smt2,,ok,unsat,417.1,0,417.0,69.5
sc-40.base.cvc_p8.smt2,,ok,unsat,374.3,0,374.3,56.8
sc-40.base.cvc_p9.smt2,,ok,unsat,170.4,0,170.4,56.6
