benchmark,config,status,result,time_real,exit_code,time_cpu,memory
uart-39.base.cvc_p0.smt2,,ok,unsat,39.7,0,39.7,56.4
uart-39.base.cvc_p1.smt2,,ok,unsat,521.0,0,520.3,80.7
uart-39.base.cvc_p10.smt2,,ok,unsat,6.0,0,5.4,54.2
uart-39.base.cvc_p11.smt2,,ok,unsat,108.2,0,107.5,65.0
uart-39.base.cvc_p12.smt2,,ok,unsat,5.3,0,5.2,52.7
uart-39.base.cvc_p13.smt2,,ok,unsat,44.6,0,44.6,58.4
uart-39.base.cvc_p14.smt2,,ok,unsat,166.7,0,166.1,70.4
uart-39.base.cvc_p15.smt2,,ok,unsat,48.0,0,47.4,59.0
uart-39.base.cvc_p16.smt2,,ok,unsat,581.5,0,581.5,85.5
uart-39.base.cvc_p17.smt2,,ok,unsat,187.0,0,187.0,70.5
uart-39.base.cvc_p18.smt2,,ok,unsat,59.4,0,58.8,62.7
uart-39.base.cvc_p19.smt2,,ok,unsat,4.3,0,3.7,47.4
uart-39.base.cvc_p2.smt2,,ok,unsat,153.7,0,153.1,70.2
uart-39.base.cvc_p20.smt2,,ok,unsat,70.6,0,69.9,60.6
uart-39.base.cvc_p21.smt2,,ok,unsat,66.0,0,65.4,63.6
uart-39.base.cvc_p22.smt2,,ok,unsat,44.0,0,43.4,61.0
uart-39.base.cvc_p23.smt2,,ok,unsat,539.4,0,539.4,76.8
uart-39.base.cvc_p24.smt2,,ok,unsat,50.3,0,49.6,60.0
uart-39.base.cvc_p25.smt2,,ok,unsat,2.9,0,2.4,46.1
uart-39.base.cvc_p26.smt2,,ok,unsat,46.3,0,46.2,58.1
uart-39.base.cvc_p27.smt2,,ok,unsat,437.9,0,437.8,75.3
uart-39.base.cvc_p28.smt2,,ok,unsat,42.1,0,41.5,58.9
uart-39.base.cvc_p29.smt2,,ok,unsat,3.0,0,2.4,48.1
uart-39.base.cvc_p3.smt2,,ok,unsat,468.2,0,467.5,82.3
uart-39.base.cvc_p30.smt2,,ok,unsat,421.9,0,421.2,77.0
uart-39.base.cvc_p31.smt2,,ok,unsat,143.3,0,142.7,69.0
uart-39.base.cvc_p4.smt2,,ok,unsat,3.4,0,3.4,46.4
uart-39.base.cvc_p5.smt2,,ok,unsat,2.8,0,2.2,44.4
uart-39.base.cvc_p6.smt2,,ok,unsat,528.7,0,528.0,79.3
uart-39.base.cvc_p7.smt2,,ok,unsat,4.6,0,4.0,47.7
uart-39.base.cvc_p8.smt2,,ok,unsat,50.9,0,50.9,60.9
uart-39.base.cvc_p9.smt2,,ok,unsat,395.7,0,395.7,71.7
