benchmark,config,status,result,time_real,exit_code,time_cpu,memory
NEQ048_size9_p0.smt2,,ok,unsat,8.3,0,8.2,18.5
NEQ048_size9_p1.smt2,,ok,unsat,0.9,0,0.8,17.3
NEQ048_size9_p10.smt2,,ok,unsat,38.2,0,38.2,21.6
NEQ048_size9_p11.smt2,,ok,unsat,43.3,0,43.3,21.0
NEQ048_size9_p12.smt2,,ok,unsat,8.1,0,8.1,17.9
NEQ048_size9_p13.smt2,,ok,unsat,43.6,0,43.6,23.1
NEQ048_size9_p14.smt2,,ok,unsat,63.9,0,63.9,28.7
NEQ048_size9_p15.smt2,,ok,unsat,39.7,0,39.7,22.6
NEQ048_size9_p16.smt2,,ok,unsat,0.9,0,0.9,17.5
NEQ048_size9_p17.smt2,,ok,unsat,95.6,0,95.6,35.3
NEQ048_size9_p18.smt2,,ok,unsat,57.9,0,57.8,34.1
NEQ048_size9_p19.smt2,,ok,unsat,49.2,0,49.2,22.2
NEQ048_size9_p2.smt2,,ok,unsat,65.9,0,65.9,24.1
NEQ048_size9_p20.smt2,,ok,unsat,30.6,0,30.6,20.9
NEQ048_size9_p21.smt2,,ok,unsat,57.4,0,57.4,26.1
NEQ048_size9_p22.smt2,,ok,unsat,79.5,0,79.5,39.8
NEQ048_size9_p23.smt2,,ok,unsat,38.2,0,38.2,20.7
NEQ048_size9_p24.smt2,,ok,unsat,39.1,0,39.1,22.2
NEQ048_size9_p25.smt2,,ok,unsat,21.5,0,21.5,20.8
NEQ048_size9_p26.smt2,,ok,unsat,31.4,0,31.4,20.3
NEQ048_size9_p27.smt2,,ok,unsat,55.4,0,55.4,23.5
NEQ048_size9_p28.smt2,,ok,unsat,65.3,0,65.3,22.0
NEQ048_size9_p29.smt2,,ok,unsat,51.1,0,51.0,25.3
NEQ048_size9_p3.smt2,,ok,unsat,38.5,0,38.5,23.1
NEQ048_size9_p30.smt2,,ok,unsat,0.9,0,0.8,16.6
NEQ048_size9_p31.smt2,,ok,unsat,45.6,0,45.6,24.9
NEQ048_size9_p32.smt2,,ok,unsat,37.5,0,37.5,19.9
NEQ048_size9_p33.smt2,,ok,unsat,61.5,0,61.4,22.7
NEQ048_size9_p34.smt2,,ok,unsat,43.3,0,43.2,21.7
NEQ048_size9_p35.smt2,,ok,unsat,28.6,0,28.6,19.9
NEQ048_size9_p36.smt2,,ok,unsat,55.9,0,55.9,24.3
NEQ048_size9_p37.smt2,,ok,unsat,67.0,0,67.0,26.4
NEQ048_size9_p38.smt2,,ok,unsat,66.2,0,66.2,23.6
NEQ048_size9_p39.smt2,,ok,unsat,34.2,0,34.2,23.1
NEQ048_size9_p4.smt2,,ok,unsat,0.8,0,0.8,16.3
NEQ048_size9_p40.smt2,,ok,unsat,148.8,0,148.8,49.4
NEQ048_size9_p41.smt2,,ok,unsat,58.0,0,58.0,22.5
NEQ048_size9_p42.smt2,,ok,unsat,33.7,0,33.6,20.4
NEQ048_size9_p43.smt2,,ok,unsat,10.6,0,10.6,19.5
NEQ048_size9_p44.smt2,,ok,unsat,44.1,0,44.1,20.8
NEQ048_size9_p45.smt2,,ok,unsat,0.8,0,0.8,16.5
NEQ048_size9_p46.smt2,,ok,unsat,60.8,0,60.8,24.5
NEQ048_size9_p47.smt2,,ok,unsat,137.6,0,137.6,47.0
NEQ048_size9_p48.smt2,,ok,unsat,35.6,0,35.5,22.2
NEQ048_size9_p49.smt2,,ok,unsat,19.6,0,19.6,18.7
NEQ048_size9_p5.smt2,,ok,unsat,41.9,0,41.9,21.3
NEQ048_size9_p50.smt2,,ok,unsat,71.4,0,71.4,25.2
NEQ048_size9_p51.smt2,,ok,unsat,38.4,0,38.4,23.7
NEQ048_size9_p52.smt2,,ok,unsat,30.6,0,30.6,20.7
NEQ048_size9_p53.smt2,,ok,unsat,80.2,0,80.2,24.0
NEQ048_size9_p54.smt2,,ok,unsat,38.0,0,38.0,22.1
NEQ048_size9_p55.smt2,,ok,unsat,51.0,0,50.9,24.0
NEQ048_size9_p56.smt2,,ok,unsat,0.9,0,0.8,17.3
NEQ048_size9_p57.smt2,,ok,unsat,0.8,0,0.8,16.7
NEQ048_size9_p58.smt2,,ok,unsat,116.2,0,116.2,46.3
NEQ048_size9_p59.smt2,,ok,unsat,33.5,0,33.5,20.4
NEQ048_size9_p6.smt2,,ok,unsat,47.3,0,47.3,23.2
NEQ048_size9_p60.smt2,,ok,unsat,54.3,0,54.3,22.7
NEQ048_size9_p61.smt2,,ok,unsat,32.2,0,32.2,20.7
NEQ048_size9_p62.smt2,,ok,unsat,48.8,0,48.7,27.2
NEQ048_size9_p63.smt2,,ok,unsat,35.5,0,35.5,22.4
NEQ048_size9_p7.smt2,,ok,unsat,14.1,0,14.1,18.4
NEQ048_size9_p8.smt2,,ok,unsat,32.5,0,32.5,20.7
NEQ048_size9_p9.smt2,,ok,unsat,45.1,0,45.1,23.6
