benchmark,config,status,result,time_real,exit_code,time_cpu,memory
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p0.smt2,,to,unknown,1201.0,0,1201.0,450.5
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p1.smt2,,to,unknown,1201.0,0,1201.0,487.7
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p10.smt2,,to,unknown,1201.0,0,1201.0,461.5
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p11.smt2,,to,unknown,1201.0,0,1201.0,440.0
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p12.smt2,,to,unknown,1201.0,0,1201.0,541.2
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p13.smt2,,to,unknown,1201.0,0,1200.8,431.2
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p14.smt2,,to,unknown,1201.0,0,1201.0,438.3
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p15.smt2,,to,unknown,1201.0,0,1201.0,450.5
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p16.smt2,,to,unknown,1201.0,0,1201.0,457.1
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p17.smt2,,to,unknown,1201.0,0,1201.0,453.2
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p18.smt2,,to,unknown,1201.0,0,1200.9,423.0
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p19.smt2,,to,unknown,1201.0,0,1200.9,430.2
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p2.smt2,,to,unknown,1201.0,0,1201.0,446.0
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p20.smt2,,to,unknown,1201.0,0,1201.0,427.4
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p21.smt2,,to,unknown,1201.0,0,1200.9,453.5
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p22.smt2,,to,unknown,1201.0,0,1201.0,437.8
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p23.smt2,,to,unknown,1201.0,0,1201.0,607.4
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p24.smt2,,to,unknown,1201.0,0,1201.0,462.2
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p25.smt2,,to,unknown,1201.0,0,1201.0,443.2
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p26.smt2,,to,unknown,1201.0,0,1201.0,418.8
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p27.smt2,,to,unknown,1201.0,0,1201.0,453.5
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p28.smt2,,to,unknown,1201.0,0,1201.0,468.3
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p29.smt2,,to,unknown,1201.0,0,1201.0,459.0
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p3.smt2,,to,unknown,1201.0,0,1201.0,451.8
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p30.smt2,,to,unknown,1201.0,0,1201.0,482.8
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p31.smt2,,to,unknown,1201.0,0,1201.0,433.6
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p32.smt2,,to,unknown,1201.0,0,1201.0,471.0
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p33.smt2,,to,unknown,1201.0,0,1200.9,431.6
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p34.smt2,,to,unknown,1201.0,0,1201.0,435.7
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p35.smt2,,to,unknown,1201.0,0,1201.0,474.5
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p36.smt2,,to,unknown,1201.0,0,1201.0,443.1
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p37.smt2,,to,unknown,1201.0,0,1200.9,443.5
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p38.smt2,,to,unknown,1201.0,0,1201.0,594.2
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p39.smt2,,to,unknown,1201.0,0,1201.0,560.6
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p4.smt2,,to,unknown,1201.0,0,1200.9,412.3
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p40.smt2,,to,unknown,1201.0,0,1201.0,465.8
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p41.smt2,,to,unknown,1201.0,0,1201.0,450.2
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p42.smt2,,to,unknown,1201.0,0,1200.9,452.9
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p43.smt2,,to,unknown,1201.0,0,1201.0,558.0
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p44.smt2,,to,unknown,1201.0,0,1201.0,410.1
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p45.smt2,,to,unknown,1201.0,0,1201.0,461.0
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p46.smt2,,to,unknown,1201.0,0,1201.0,464.0
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p47.smt2,,ok,sat,1124.8,0,1124.7,480.5
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p48.smt2,,to,unknown,1201.0,0,1201.0,433.1
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p49.smt2,,to,unknown,1201.0,0,1201.0,429.7
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p5.smt2,,to,unknown,1201.0,0,1201.0,412.9
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p50.smt2,,to,unknown,1201.0,0,1201.0,575.4
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p51.smt2,,to,unknown,1201.0,0,1201.0,463.4
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p52.smt2,,to,unknown,1201.0,0,1201.0,474.6
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p53.smt2,,to,unknown,1201.0,0,1201.0,440.1
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p54.smt2,,to,unknown,1201.0,0,1201.0,450.5
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p55.smt2,,to,unknown,1201.0,0,1200.9,428.7
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p56.smt2,,to,unknown,1201.0,0,1201.0,436.1
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p57.smt2,,to,unknown,1201.0,0,1201.0,453.9
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p58.smt2,,to,unknown,1201.0,0,1200.9,446.3
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p59.smt2,,to,unknown,1201.0,0,1200.9,455.9
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p6.smt2,,to,unknown,1201.0,0,1201.0,501.8
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p60.smt2,,to,unknown,1201.0,0,1200.9,469.6
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p61.smt2,,to,unknown,1201.0,0,1201.0,442.3
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p62.smt2,,to,unknown,1201.0,0,1200.9,450.4
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p63.smt2,,to,unknown,1201.0,0,1201.0,426.7
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p7.smt2,,to,unknown,1201.0,0,1200.9,428.2
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p8.smt2,,to,unknown,1201.0,0,1201.0,442.3
firewire.t2.c_Iteration1_Lasso_6-phaseTemplate_p9.smt2,,to,unknown,1201.0,0,1200.8,439.9
