benchmark,config,status,result,time_real,exit_code,time_cpu,memory
NEQ048_size9_p0.smt2,,ok,unsat,0.4,0,0.4,16.3
NEQ048_size9_p1.smt2,,ok,unsat,100.9,0,100.9,34.3
NEQ048_size9_p10.smt2,,ok,unsat,103.5,0,103.5,33.9
NEQ048_size9_p100.smt2,,ok,unsat,168.7,0,168.7,54.7
NEQ048_size9_p101.smt2,,ok,unsat,165.7,0,165.7,53.8
NEQ048_size9_p102.smt2,,ok,unsat,380.7,0,380.7,106.2
NEQ048_size9_p103.smt2,,ok,unsat,10.4,0,10.4,21.2
NEQ048_size9_p104.smt2,,ok,unsat,0.4,0,0.4,16.4
NEQ048_size9_p105.smt2,,ok,unsat,0.5,0,0.5,17.5
NEQ048_size9_p106.smt2,,ok,unsat,109.5,0,109.5,39.7
NEQ048_size9_p107.smt2,,ok,unsat,0.4,0,0.4,16.8
NEQ048_size9_p108.smt2,,ok,unsat,35.7,0,35.7,26.1
NEQ048_size9_p109.smt2,,ok,unsat,83.6,0,83.6,29.5
NEQ048_size9_p11.smt2,,ok,unsat,59.6,0,59.6,29.1
NEQ048_size9_p110.smt2,,ok,unsat,0.3,0,0.3,16.1
NEQ048_size9_p111.smt2,,ok,unsat,157.6,0,157.6,36.9
NEQ048_size9_p112.smt2,,ok,unsat,15.2,0,15.2,19.7
NEQ048_size9_p113.smt2,,ok,unsat,83.0,0,83.0,31.9
NEQ048_size9_p114.smt2,,ok,unsat,0.3,0,0.3,16.3
NEQ048_size9_p115.smt2,,ok,unsat,36.8,0,36.8,34.1
NEQ048_size9_p116.smt2,,ok,unsat,280.2,0,280.2,85.8
NEQ048_size9_p117.smt2,,ok,unsat,150.8,0,150.8,36.4
NEQ048_size9_p118.smt2,,ok,unsat,115.1,0,115.1,32.1
NEQ048_size9_p119.smt2,,ok,unsat,70.0,0,69.9,25.9
NEQ048_size9_p12.smt2,,ok,unsat,20.0,0,20.0,21.8
NEQ048_size9_p120.smt2,,ok,unsat,117.1,0,117.0,33.2
NEQ048_size9_p121.smt2,,ok,unsat,4.3,0,4.2,20.3
NEQ048_size9_p122.smt2,,ok,unsat,35.4,0,35.4,24.0
NEQ048_size9_p123.smt2,,ok,unsat,138.8,0,138.8,47.9
NEQ048_size9_p124.smt2,,ok,unsat,0.4,0,0.3,16.1
NEQ048_size9_p125.smt2,,ok,unsat,136.8,0,136.8,55.3
NEQ048_size9_p126.smt2,,ok,unsat,0.5,0,0.5,17.0
NEQ048_size9_p127.smt2,,ok,unsat,210.7,0,210.7,68.0
NEQ048_size9_p13.smt2,,ok,unsat,0.3,0,0.3,16.7
NEQ048_size9_p14.smt2,,ok,unsat,25.6,0,25.5,24.7
NEQ048_size9_p15.smt2,,ok,unsat,0.4,0,0.4,16.1
NEQ048_size9_p16.smt2,,ok,unsat,64.0,0,64.0,28.8
NEQ048_size9_p17.smt2,,ok,unsat,0.4,0,0.4,16.9
NEQ048_size9_p18.smt2,,ok,unsat,18.7,0,18.7,24.0
NEQ048_size9_p19.smt2,,ok,unsat,106.0,0,106.0,57.8
NEQ048_size9_p2.smt2,,ok,unsat,359.5,0,359.5,79.6
NEQ048_size9_p20.smt2,,ok,unsat,187.0,0,187.0,78.2
NEQ048_size9_p21.smt2,,ok,unsat,565.0,0,565.0,130.5
NEQ048_size9_p22.smt2,,ok,unsat,52.7,0,52.7,29.9
NEQ048_size9_p23.smt2,,ok,unsat,23.6,0,23.6,23.3
NEQ048_size9_p24.smt2,,ok,unsat,480.0,0,480.0,88.5
NEQ048_size9_p25.smt2,,ok,unsat,275.5,0,275.5,69.7
NEQ048_size9_p26.smt2,,ok,unsat,0.3,0,0.3,16.3
NEQ048_size9_p27.smt2,,ok,unsat,14.2,0,14.2,21.0
NEQ048_size9_p28.smt2,,ok,unsat,254.2,0,254.2,87.6
NEQ048_size9_p29.smt2,,ok,unsat,19.0,0,18.9,21.2
NEQ048_size9_p3.smt2,,ok,unsat,5.0,0,5.0,18.9
NEQ048_size9_p30.smt2,,ok,unsat,48.9,0,48.8,34.2
NEQ048_size9_p31.smt2,,ok,unsat,9.7,0,9.7,20.5
NEQ048_size9_p32.smt2,,ok,unsat,43.5,0,43.5,23.5
NEQ048_size9_p33.smt2,,ok,unsat,7.2,0,7.2,19.6
NEQ048_size9_p34.smt2,,ok,unsat,162.3,0,162.3,38.4
NEQ048_size9_p35.smt2,,ok,unsat,310.3,0,310.3,64.1
NEQ048_size9_p36.smt2,,ok,unsat,248.1,0,248.1,51.6
NEQ048_size9_p37.smt2,,ok,unsat,109.0,0,109.0,46.2
NEQ048_size9_p38.smt2,,ok,unsat,43.3,0,43.3,28.4
NEQ048_size9_p39.smt2,,ok,unsat,133.5,0,133.5,46.8
NEQ048_size9_p4.smt2,,ok,unsat,41.8,0,41.8,26.6
NEQ048_size9_p40.smt2,,ok,unsat,345.2,0,345.2,98.4
NEQ048_size9_p41.smt2,,ok,unsat,0.3,0,0.3,16.1
NEQ048_size9_p42.smt2,,ok,unsat,135.1,0,135.1,44.8
NEQ048_size9_p43.smt2,,ok,unsat,41.9,0,41.9,26.2
NEQ048_size9_p44.smt2,,ok,unsat,0.5,0,0.5,16.7
NEQ048_size9_p45.smt2,,ok,unsat,224.7,0,224.7,58.1
NEQ048_size9_p46.smt2,,ok,unsat,0.5,0,0.5,16.3
NEQ048_size9_p47.smt2,,ok,unsat,149.4,0,149.4,42.9
NEQ048_size9_p48.smt2,,ok,unsat,0.6,0,0.6,16.5
NEQ048_size9_p49.smt2,,ok,unsat,213.8,0,213.8,93.0
NEQ048_size9_p5.smt2,,ok,unsat,53.4,0,53.4,26.5
NEQ048_size9_p50.smt2,,ok,unsat,0.4,0,0.4,16.8
NEQ048_size9_p51.smt2,,ok,unsat,231.7,0,231.7,53.2
NEQ048_size9_p52.smt2,,ok,unsat,419.8,0,419.8,88.0
NEQ048_size9_p53.smt2,,ok,unsat,0.4,0,0.4,16.1
NEQ048_size9_p54.smt2,,ok,unsat,42.3,0,42.2,34.6
NEQ048_size9_p55.smt2,,ok,unsat,176.1,0,176.1,47.3
NEQ048_size9_p56.smt2,,ok,unsat,115.4,0,115.4,39.3
NEQ048_size9_p57.smt2,,ok,unsat,24.7,0,24.7,24.4
NEQ048_size9_p58.smt2,,ok,unsat,246.3,0,246.3,48.1
NEQ048_size9_p59.smt2,,ok,unsat,55.2,0,55.2,26.9
NEQ048_size9_p6.smt2,,ok,unsat,391.5,0,391.4,99.7
NEQ048_size9_p60.smt2,,ok,unsat,9.1,0,9.0,20.3
NEQ048_size9_p61.smt2,,ok,unsat,0.3,0,0.3,16.1
NEQ048_size9_p62.smt2,,ok,unsat,21.0,0,21.0,21.4
NEQ048_size9_p63.smt2,,ok,unsat,0.4,0,0.4,16.5
NEQ048_size9_p64.smt2,,ok,unsat,0.5,0,0.4,17.7
NEQ048_size9_p65.smt2,,ok,unsat,31.7,0,31.7,26.9
NEQ048_size9_p66.smt2,,ok,unsat,538.6,0,538.6,96.6
NEQ048_size9_p67.smt2,,ok,unsat,164.1,0,164.1,58.8
NEQ048_size9_p68.smt2,,ok,unsat,293.2,0,293.2,114.5
NEQ048_size9_p69.smt2,,ok,unsat,65.9,0,65.9,36.8
NEQ048_size9_p7.smt2,,ok,unsat,0.4,0,0.4,16.9
NEQ048_size9_p70.smt2,,ok,unsat,2.8,0,2.8,18.1
NEQ048_size9_p71.smt2,,ok,unsat,0.6,0,0.5,16.5
NEQ048_size9_p72.smt2,,ok,unsat,81.8,0,81.8,26.8
NEQ048_size9_p73.smt2,,ok,unsat,46.0,0,46.0,34.2
NEQ048_size9_p74.smt2,,ok,unsat,11.7,0,11.7,20.4
NEQ048_size9_p75.smt2,,ok,unsat,187.2,0,187.2,39.5
NEQ048_size9_p76.smt2,,ok,unsat,0.6,0,0.6,16.9
NEQ048_size9_p77.smt2,,ok,unsat,163.6,0,163.6,61.8
NEQ048_size9_p78.smt2,,ok,unsat,0.5,0,0.4,16.8
NEQ048_size9_p79.smt2,,ok,unsat,158.9,0,158.9,58.0
NEQ048_size9_p8.smt2,,ok,unsat,120.6,0,120.6,36.8
NEQ048_size9_p80.smt2,,ok,unsat,284.0,0,284.0,58.0
NEQ048_size9_p81.smt2,,ok,unsat,0.4,0,0.4,16.6
NEQ048_size9_p82.smt2,,ok,unsat,16.9,0,16.9,23.8
NEQ048_size9_p83.smt2,,ok,unsat,189.1,0,189.1,77.7
NEQ048_size9_p84.smt2,,ok,unsat,21.2,0,21.2,21.8
NEQ048_size9_p85.smt2,,ok,unsat,521.3,0,521.2,75.2
NEQ048_size9_p86.smt2,,ok,unsat,316.9,0,316.9,59.9
NEQ048_size9_p87.smt2,,ok,unsat,44.5,0,44.5,25.0
NEQ048_size9_p88.smt2,,ok,unsat,0.4,0,0.4,16.7
NEQ048_size9_p89.smt2,,ok,unsat,0.5,0,0.5,16.2
NEQ048_size9_p9.smt2,,ok,unsat,14.0,0,14.0,20.7
