benchmark,config,status,result,time_real,exit_code,time_cpu,memory
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p0.smt2,,ok,sat,1079.1,0,1079.0,770.1
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p1.smt2,,to,unknown,1201.0,0,1200.7,650.7
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p10.smt2,,ok,sat,713.5,0,713.5,770.3
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p100.smt2,,ok,sat,614.9,0,614.8,764.2
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p101.smt2,,to,unknown,1201.0,0,1200.9,762.8
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p102.smt2,,ok,sat,1123.2,0,1123.1,770.0
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p103.smt2,,ok,sat,1113.5,0,1113.4,809.7
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p104.smt2,,to,unknown,1201.0,0,1200.9,753.5
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p105.smt2,,to,unknown,1201.0,0,1200.9,763.4
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p106.smt2,,to,unknown,1201.0,0,1200.7,763.6
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p107.smt2,,to,unknown,1201.0,0,1200.9,753.0
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p108.smt2,,to,unknown,1201.0,0,1200.9,763.3
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p109.smt2,,ok,sat,1183.6,0,1183.2,782.0
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p11.smt2,,to,unknown,1201.0,0,1201.0,755.4
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p110.smt2,,ok,sat,1073.6,0,1073.3,868.0
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p111.smt2,,ok,sat,997.0,0,996.9,826.6
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p112.smt2,,ok,sat,861.1,0,860.9,766.2
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p113.smt2,,to,unknown,1201.0,0,1200.9,633.3
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p114.smt2,,ok,sat,1142.4,0,1142.3,780.2
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p115.smt2,,ok,sat,541.8,0,541.7,796.2
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p116.smt2,,to,unknown,1201.0,0,1201.0,752.5
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p117.smt2,,to,unknown,1201.0,0,1200.9,776.3
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p118.smt2,,to,unknown,1201.0,0,1201.0,761.6
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p119.smt2,,to,unknown,1201.0,0,1201.0,757.8
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p12.smt2,,to,unknown,1201.0,0,1200.9,766.6
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p120.smt2,,to,unknown,1201.0,0,1201.0,750.0
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p121.smt2,,to,unknown,1201.0,0,1200.9,765.2
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p122.smt2,,to,unknown,1201.0,0,1201.0,756.6
