benchmark,config,status,result,time_real,exit_code,time_cpu,memory
danoint-166_p0.smt2,,to,unknown,1201.0,0,1201.0,52.5
danoint-166_p1.smt2,,ok,unsat,202.5,0,202.4,51.4
danoint-166_p10.smt2,,ok,unsat,1.4,0,1.3,19.9
danoint-166_p100.smt2,,to,unknown,1201.0,0,1200.9,51.6
danoint-166_p101.smt2,,to,unknown,1201.0,0,1201.0,59.5
danoint-166_p102.smt2,,ok,unsat,1.5,0,1.5,21.0
danoint-166_p103.smt2,,to,unknown,1201.0,0,1201.0,51.7
danoint-166_p104.smt2,,ok,unsat,175.8,0,175.8,52.0
danoint-166_p105.smt2,,ok,unsat,763.2,0,763.2,52.1
danoint-166_p106.smt2,,to,unknown,1201.0,0,1201.0,51.4
danoint-166_p107.smt2,,to,unknown,1201.0,0,1201.0,58.6
danoint-166_p108.smt2,,ok,unsat,1.4,0,1.3,22.1
danoint-166_p109.smt2,,ok,unsat,1.3,0,1.3,19.1
danoint-166_p11.smt2,,to,unknown,1201.0,0,1201.0,59.6
danoint-166_p110.smt2,,to,unknown,1201.0,0,1201.0,59.5
danoint-166_p111.smt2,,to,unknown,1201.0,0,1201.0,51.7
danoint-166_p112.smt2,,to,unknown,1201.0,0,1201.0,58.8
danoint-166_p113.smt2,,ok,sat,721.9,0,721.8,52.2
danoint-166_p114.smt2,,to,unknown,1201.0,0,1201.0,51.2
danoint-166_p115.smt2,,to,unknown,1201.0,0,1201.0,59.2
danoint-166_p116.smt2,,ok,unsat,229.0,0,229.0,50.9
danoint-166_p117.smt2,,to,unknown,1201.0,0,1200.9,58.5
danoint-166_p118.smt2,,ok,sat,481.8,0,481.7,52.4
danoint-166_p119.smt2,,ok,unsat,12.9,0,12.8,36.9
danoint-166_p12.smt2,,ok,unsat,18.0,0,17.9,36.2
danoint-166_p120.smt2,,to,unknown,1201.0,0,1201.0,59.3
danoint-166_p121.smt2,,ok,unsat,203.0,0,203.0,51.7
danoint-166_p122.smt2,,ok,sat,819.3,0,819.3,57.8
danoint-166_p123.smt2,,to,unknown,1201.0,0,1201.0,51.8
danoint-166_p124.smt2,,ok,unsat,203.9,0,203.8,52.0
danoint-166_p125.smt2,,ok,sat,1022.9,0,1022.9,51.5
danoint-166_p126.smt2,,ok,unsat,1.3,0,1.3,20.0
danoint-166_p127.smt2,,ok,unsat,1.3,0,1.3,21.0
danoint-166_p13.smt2,,to,unknown,1201.0,0,1201.0,60.8
danoint-166_p14.smt2,,to,unknown,1201.0,0,1200.9,58.5
danoint-166_p15.smt2,,ok,unsat,1.3,0,1.3,20.4
danoint-166_p16.smt2,,ok,unsat,191.0,0,190.9,51.8
danoint-166_p17.smt2,,ok,unsat,37.2,0,37.1,37.7
danoint-166_p18.smt2,,ok,unsat,292.5,0,292.5,51.0
danoint-166_p19.smt2,,to,unknown,1201.0,0,1201.0,50.9
danoint-166_p2.smt2,,to,unknown,1201.0,0,1200.9,52.1
danoint-166_p20.smt2,,to,unknown,1201.0,0,1201.0,59.2
danoint-166_p21.smt2,,ok,unsat,22.7,0,22.6,37.5
danoint-166_p22.smt2,,ok,unsat,15.9,0,15.8,36.1
danoint-166_p23.smt2,,ok,sat,486.2,0,486.2,51.6
danoint-166_p24.smt2,,ok,unsat,451.7,0,451.5,50.7
danoint-166_p25.smt2,,to,unknown,1201.0,0,1200.9,59.4
danoint-166_p26.smt2,,to,unknown,1201.0,0,1201.0,58.3
danoint-166_p27.smt2,,to,unknown,1201.0,0,1201.0,92.8
danoint-166_p28.smt2,,ok,unsat,202.4,0,202.3,51.7
danoint-166_p29.smt2,,ok,unsat,573.5,0,573.5,50.9
danoint-166_p3.smt2,,ok,unsat,1.3,0,1.3,19.6
danoint-166_p30.smt2,,ok,sat,595.2,0,595.1,52.1
danoint-166_p31.smt2,,ok,unsat,1.3,0,1.3,20.4
danoint-166_p32.smt2,,ok,unsat,116.7,0,116.6,51.7
danoint-166_p33.smt2,,ok,unsat,16.6,0,16.6,37.1
danoint-166_p34.smt2,,ok,unsat,224.7,0,224.5,58.4
danoint-166_p35.smt2,,to,unknown,1201.0,0,1201.0,57.7
danoint-166_p36.smt2,,to,unknown,1201.0,0,1200.8,58.8
danoint-166_p37.smt2,,ok,sat,879.6,0,879.6,51.6
danoint-166_p38.smt2,,ok,unsat,5.5,0,5.5,28.7
danoint-166_p39.smt2,,ok,unsat,203.6,0,203.0,52.8
danoint-166_p4.smt2,,ok,sat,327.6,0,327.5,51.6
danoint-166_p40.smt2,,ok,unsat,42.1,0,42.0,39.0
danoint-166_p41.smt2,,to,unknown,1201.0,0,1201.0,59.4
danoint-166_p42.smt2,,to,unknown,1201.0,0,1200.9,58.8
danoint-166_p43.smt2,,to,unknown,1201.0,0,1201.0,59.1
danoint-166_p44.smt2,,ok,unsat,190.6,0,190.5,51.7
danoint-166_p45.smt2,,to,unknown,1201.0,0,1201.0,57.8
danoint-166_p46.smt2,,to,unknown,1201.0,0,1200.9,51.6
danoint-166_p47.smt2,,ok,unsat,52.4,0,52.4,52.3
danoint-166_p48.smt2,,to,unknown,1201.0,0,1201.0,51.8
danoint-166_p49.smt2,,to,unknown,1201.0,0,1201.0,50.1
danoint-166_p5.smt2,,to,unknown,1201.0,0,1201.0,51.3
danoint-166_p50.smt2,,to,unknown,1201.0,0,1200.9,59.8
danoint-166_p51.smt2,,ok,unsat,448.6,0,448.6,51.7
danoint-166_p52.smt2,,ok,unsat,202.2,0,202.2,51.4
danoint-166_p53.smt2,,to,unknown,1201.0,0,1201.0,59.1
