benchmark,config,status,result,time_real,exit_code,time_cpu,memory
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p0.smt2,,ok,sat,394.9,0,394.7,126.5
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p1.smt2,,ok,unsat,15.5,0,15.4,89.5
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p10.smt2,,ok,unsat,14.7,0,14.6,90.9
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p100.smt2,,ok,sat,341.1,0,341.1,115.7
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p101.smt2,,ok,unsat,6.3,0,6.2,76.2
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p102.smt2,,ok,sat,544.2,0,544.1,129.2
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p103.smt2,,ok,unsat,324.5,0,324.4,116.9
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p104.smt2,,ok,unsat,5.9,0,5.8,79.6
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p105.smt2,,ok,unsat,5.6,0,5.6,73.7
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p106.smt2,,ok,unsat,5.9,0,5.8,74.8
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p107.smt2,,ok,unsat,12.1,0,12.1,89.9
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p108.smt2,,ok,unsat,81.4,0,81.4,106.3
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p109.smt2,,ok,sat,803.6,0,803.5,146.8
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p11.smt2,,ok,sat,529.2,0,529.1,126.7
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p110.smt2,,ok,sat,905.4,0,905.3,143.4
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p111.smt2,,ok,unsat,651.0,0,650.9,123.1
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p112.smt2,,ok,unsat,118.1,0,117.9,109.4
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p113.smt2,,ok,sat,669.3,0,669.1,134.1
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p114.smt2,,ok,unsat,189.8,0,189.7,109.5
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p115.smt2,,ok,sat,692.3,0,692.3,150.2
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p116.smt2,,ok,unsat,5.6,0,5.5,73.0
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p117.smt2,,ok,sat,888.7,0,888.6,139.2
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p118.smt2,,ok,sat,416.4,0,416.3,118.9
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p119.smt2,,ok,unsat,51.8,0,51.7,110.4
eric.t2.c_Iteration1_Lasso_3-pieceTemplate_p12.smt2,,ok,unsat,5.9,0,5.8,75.0
