benchmark,config,status,result,time_real,exit_code,time_cpu,memory
fixnet-3983_p0.smt2,,to,unknown,1201.0,0,1201.0,232.8
fixnet-3983_p1.smt2,,to,unknown,1201.0,0,1201.0,357.5
fixnet-3983_p10.smt2,,to,unknown,1201.0,0,1200.8,537.7
fixnet-3983_p100.smt2,,to,unknown,1201.0,0,1200.9,299.1
fixnet-3983_p101.smt2,,to,unknown,1201.0,0,1201.0,237.1
fixnet-3983_p102.smt2,,ok,unsat,520.9,0,520.9,129.7
fixnet-3983_p103.smt2,,ok,unsat,85.0,0,84.9,37.4
fixnet-3983_p104.smt2,,to,unknown,1201.0,0,1200.9,439.5
fixnet-3983_p105.smt2,,ok,unsat,215.2,0,215.2,49.4
fixnet-3983_p106.smt2,,ok,unsat,219.1,0,219.1,46.5
fixnet-3983_p107.smt2,,ok,unsat,218.3,0,218.2,49.0
fixnet-3983_p108.smt2,,ok,unsat,325.9,0,325.9,59.1
fixnet-3983_p109.smt2,,to,unknown,1201.0,0,1201.0,285.9
fixnet-3983_p11.smt2,,ok,unsat,367.3,0,367.3,69.2
fixnet-3983_p110.smt2,,ok,unsat,3.3,0,3.3,30.3
fixnet-3983_p111.smt2,,ok,unsat,603.5,0,603.4,104.3
fixnet-3983_p112.smt2,,to,unknown,1201.0,0,1201.0,322.3
fixnet-3983_p113.smt2,,ok,unsat,355.4,0,355.4,77.3
fixnet-3983_p114.smt2,,to,unknown,1201.0,0,1201.0,272.1
fixnet-3983_p115.smt2,,ok,unsat,748.4,0,748.3,208.0
fixnet-3983_p116.smt2,,ok,unsat,749.0,0,748.9,213.7
fixnet-3983_p117.smt2,,to,unknown,1201.0,0,1201.0,438.8
fixnet-3983_p118.smt2,,ok,unsat,1.8,0,1.7,27.3
fixnet-3983_p119.smt2,,ok,unsat,222.0,0,221.9,52.2
fixnet-3983_p12.smt2,,ok,unsat,1.7,0,1.7,26.5
fixnet-3983_p120.smt2,,ok,unsat,340.9,0,340.8,69.9
fixnet-3983_p121.smt2,,ok,unsat,66.7,0,66.7,36.1
fixnet-3983_p122.smt2,,to,unknown,1201.0,0,1201.0,229.4
fixnet-3983_p123.smt2,,to,unknown,1201.0,0,1201.0,227.0
fixnet-3983_p124.smt2,,ok,unsat,352.3,0,352.3,70.5
fixnet-3983_p125.smt2,,to,unknown,1201.0,0,1201.0,397.8
fixnet-3983_p126.smt2,,ok,unsat,705.5,0,705.5,198.5
fixnet-3983_p127.smt2,,to,unknown,1201.0,0,1200.9,450.6
fixnet-3983_p13.smt2,,ok,unsat,316.5,0,316.5,68.9
fixnet-3983_p14.smt2,,ok,unsat,3.7,0,3.6,30.7
