benchmark,config,status,result,time_real,exit_code,time_cpu,memory
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p0.smt2,,ok,sat,889.5,0,889.4,148.5
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p1.smt2,,ok,unsat,4.5,0,4.4,57.1
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p10.smt2,,ok,unsat,4.4,0,4.3,51.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p100.smt2,,ok,unsat,5.3,0,5.3,57.9
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p101.smt2,,ok,unsat,6.1,0,5.8,67.5
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p102.smt2,,to,unknown,1201.0,0,1201.0,136.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p103.smt2,,ok,unsat,54.6,0,54.6,83.6
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p104.smt2,,ok,unsat,56.0,0,55.9,82.7
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p105.smt2,,ok,unsat,13.9,0,13.8,68.6
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p106.smt2,,ok,sat,803.6,0,803.5,128.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p107.smt2,,ok,unsat,4.4,0,4.3,51.9
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p108.smt2,,to,unknown,1201.0,0,1200.9,135.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p109.smt2,,ok,unsat,8.5,0,8.4,68.6
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p11.smt2,,ok,unsat,4.7,0,4.6,56.5
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p110.smt2,,ok,unsat,5.6,0,5.4,56.7
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p111.smt2,,ok,sat,667.7,0,667.5,119.2
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p112.smt2,,ok,unsat,5.6,0,5.5,65.9
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p113.smt2,,ok,unsat,5.3,0,5.3,57.9
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p114.smt2,,ok,unsat,4.4,0,4.3,51.1
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p115.smt2,,ok,sat,172.1,0,172.0,87.7
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p116.smt2,,ok,unsat,39.8,0,39.8,83.7
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p117.smt2,,ok,sat,834.8,0,834.8,126.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p118.smt2,,ok,unsat,4.8,0,4.8,56.6
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p119.smt2,,to,unknown,1201.0,0,1200.9,126.9
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p12.smt2,,ok,unsat,5.6,0,5.5,58.7
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p120.smt2,,to,unknown,1201.0,0,1200.9,143.0
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p121.smt2,,ok,unsat,5.0,0,4.9,56.3
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p122.smt2,,ok,unsat,4.4,0,4.3,50.1
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p123.smt2,,ok,unsat,14.7,0,14.7,82.9
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p124.smt2,,ok,unsat,4.3,0,4.2,50.4
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p125.smt2,,to,unknown,1201.0,0,1201.0,134.6
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p126.smt2,,ok,unsat,5.0,0,5.0,58.5
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p127.smt2,,ok,sat,894.4,0,894.3,149.8
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p13.smt2,,ok,unsat,11.7,0,11.6,66.3
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p14.smt2,,ok,sat,1063.2,0,1063.1,142.0
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p15.smt2,,ok,unsat,4.6,0,4.4,50.0
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p16.smt2,,ok,unsat,5.4,0,5.4,67.1
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p17.smt2,,to,unknown,1201.0,0,1200.9,131.6
fun4.t2.c_Iteration1_Lasso_4-pieceTemplate_p18.smt2,,to,unknown,1201.0,0,1200.9,127.7
