benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_sanfoundry_10_ground.i_6_3_3.bpl_13_p0.smt2,,ok,unsat,805.5,0,805.4,211.4
_sanfoundry_10_ground.i_6_3_3.bpl_13_p1.smt2,,to,unknown,1201.0,0,1200.9,257.5
_sanfoundry_10_ground.i_6_3_3.bpl_13_p10.smt2,,to,unknown,1201.0,0,1200.8,245.5
_sanfoundry_10_ground.i_6_3_3.bpl_13_p11.smt2,,ok,unsat,950.7,0,950.5,224.4
_sanfoundry_10_ground.i_6_3_3.bpl_13_p12.smt2,,to,unknown,1201.0,0,1200.9,238.3
_sanfoundry_10_ground.i_6_3_3.bpl_13_p13.smt2,,to,unknown,1201.0,0,1200.9,249.2
_sanfoundry_10_ground.i_6_3_3.bpl_13_p14.smt2,,ok,unsat,544.2,0,544.0,187.0
_sanfoundry_10_ground.i_6_3_3.bpl_13_p15.smt2,,to,unknown,1201.0,0,1200.9,245.0
_sanfoundry_10_ground.i_6_3_3.bpl_13_p2.smt2,,to,unknown,1201.0,0,1200.8,249.2
_sanfoundry_10_ground.i_6_3_3.bpl_13_p3.smt2,,ok,unsat,10.5,0,10.3,106.5
_sanfoundry_10_ground.i_6_3_3.bpl_13_p4.smt2,,ok,unsat,873.0,0,872.9,210.9
_sanfoundry_10_ground.i_6_3_3.bpl_13_p5.smt2,,to,unknown,1201.0,0,1200.9,250.4
_sanfoundry_10_ground.i_6_3_3.bpl_13_p6.smt2,,ok,unsat,10.5,0,10.4,106.5
_sanfoundry_10_ground.i_6_3_3.bpl_13_p7.smt2,,ok,unsat,18.9,0,18.8,119.3
_sanfoundry_10_ground.i_6_3_3.bpl_13_p8.smt2,,ok,unsat,958.3,0,958.2,209.8
_sanfoundry_10_ground.i_6_3_3.bpl_13_p9.smt2,,ok,unsat,1053.8,0,1053.7,218.6
