benchmark,config,status,result,time_real,exit_code,time_cpu,memory
sas2.t2.c_Iteration7_Loop_4-pieceTemplate_p0.smt2,,ok,unsat,998.1,0,998.0,571.6
sas2.t2.c_Iteration7_Loop_4-pieceTemplate_p1.smt2,,ok,unsat,104.0,0,103.4,482.6
sas2.t2.c_Iteration7_Loop_4-pieceTemplate_p10.smt2,,ok,unsat,116.2,0,116.0,524.1
sas2.t2.c_Iteration7_Loop_4-pieceTemplate_p11.smt2,,ok,unsat,1032.5,0,1032.4,617.9
sas2.t2.c_Iteration7_Loop_4-pieceTemplate_p12.smt2,,ok,unsat,108.6,0,108.4,491.4
sas2.t2.c_Iteration7_Loop_4-pieceTemplate_p13.smt2,,ok,unsat,523.9,0,523.8,533.1
sas2.t2.c_Iteration7_Loop_4-pieceTemplate_p14.smt2,,ok,unsat,323.7,0,323.5,598.1
sas2.t2.c_Iteration7_Loop_4-pieceTemplate_p15.smt2,,ok,unsat,105.4,0,105.1,485.0
sas2.t2.c_Iteration7_Loop_4-pieceTemplate_p2.smt2,,ok,unsat,560.2,0,560.0,536.5
sas2.t2.c_Iteration7_Loop_4-pieceTemplate_p3.smt2,,ok,unsat,166.4,0,166.3,598.2
sas2.t2.c_Iteration7_Loop_4-pieceTemplate_p4.smt2,,ok,unsat,126.7,0,126.6,523.7
sas2.t2.c_Iteration7_Loop_4-pieceTemplate_p5.smt2,,ok,unsat,118.1,0,117.8,525.6
sas2.t2.c_Iteration7_Loop_4-pieceTemplate_p6.smt2,,ok,unsat,549.2,0,549.1,602.4
sas2.t2.c_Iteration7_Loop_4-pieceTemplate_p7.smt2,,ok,unsat,996.5,0,996.4,592.9
sas2.t2.c_Iteration7_Loop_4-pieceTemplate_p8.smt2,,ok,unsat,669.4,0,669.3,591.7
sas2.t2.c_Iteration7_Loop_4-pieceTemplate_p9.smt2,,ok,unsat,562.5,0,562.3,594.4
