benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_simple4.i_3_4_2.bpl_11_p0.smt2,,ok,unsat,3.1,0,3.1,11.4
_simple4.i_3_4_2.bpl_11_p1.smt2,,ok,unsat,100.8,0,100.7,29.9
_simple4.i_3_4_2.bpl_11_p10.smt2,,ok,unsat,181.2,0,181.1,40.1
_simple4.i_3_4_2.bpl_11_p11.smt2,,ok,unsat,6.0,0,6.0,11.7
_simple4.i_3_4_2.bpl_11_p12.smt2,,ok,unsat,44.4,0,44.4,21.1
_simple4.i_3_4_2.bpl_11_p13.smt2,,ok,unsat,0.6,0,0.6,9.0
_simple4.i_3_4_2.bpl_11_p14.smt2,,ok,unsat,1.2,0,1.1,10.8
_simple4.i_3_4_2.bpl_11_p15.smt2,,ok,unsat,61.5,0,61.4,23.8
_simple4.i_3_4_2.bpl_11_p16.smt2,,ok,unsat,46.6,0,46.6,20.9
_simple4.i_3_4_2.bpl_11_p17.smt2,,ok,unsat,0.6,0,0.5,8.2
_simple4.i_3_4_2.bpl_11_p18.smt2,,ok,unsat,19.2,0,19.1,16.3
_simple4.i_3_4_2.bpl_11_p19.smt2,,ok,unsat,0.9,0,0.5,9.6
_simple4.i_3_4_2.bpl_11_p2.smt2,,ok,unsat,0.6,0,0.5,9.0
_simple4.i_3_4_2.bpl_11_p20.smt2,,ok,unsat,13.1,0,13.0,14.1
_simple4.i_3_4_2.bpl_11_p21.smt2,,ok,unsat,1.2,0,1.1,11.5
_simple4.i_3_4_2.bpl_11_p22.smt2,,ok,unsat,3.8,0,3.7,10.7
_simple4.i_3_4_2.bpl_11_p23.smt2,,ok,unsat,693.7,0,693.6,75.6
_simple4.i_3_4_2.bpl_11_p24.smt2,,ok,unsat,0.9,0,0.8,10.1
_simple4.i_3_4_2.bpl_11_p25.smt2,,ok,unsat,5.3,0,5.2,12.2
_simple4.i_3_4_2.bpl_11_p26.smt2,,ok,unsat,31.6,0,31.5,17.5
_simple4.i_3_4_2.bpl_11_p27.smt2,,ok,unsat,72.6,0,72.5,26.4
_simple4.i_3_4_2.bpl_11_p28.smt2,,ok,unsat,13.5,0,13.2,15.1
_simple4.i_3_4_2.bpl_11_p29.smt2,,ok,unsat,49.8,0,49.8,18.8
_simple4.i_3_4_2.bpl_11_p3.smt2,,ok,unsat,12.1,0,12.0,13.3
_simple4.i_3_4_2.bpl_11_p30.smt2,,ok,unsat,50.7,0,50.5,21.2
_simple4.i_3_4_2.bpl_11_p31.smt2,,ok,unsat,53.3,0,53.1,21.4
_simple4.i_3_4_2.bpl_11_p4.smt2,,ok,unsat,423.3,0,423.0,46.1
_simple4.i_3_4_2.bpl_11_p5.smt2,,ok,unsat,3.9,0,3.9,12.1
_simple4.i_3_4_2.bpl_11_p6.smt2,,ok,unsat,26.2,0,26.1,17.2
_simple4.i_3_4_2.bpl_11_p7.smt2,,ok,unsat,0.6,0,0.6,8.6
_simple4.i_3_4_2.bpl_11_p8.smt2,,ok,unsat,0.7,0,0.6,10.1
_simple4.i_3_4_2.bpl_11_p9.smt2,,ok,unsat,19.1,0,18.9,14.9
