benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p0.smt2,,ok,unsat,364.3,0,364.2,59.6
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p1.smt2,,ok,unsat,5.9,0,5.8,39.3
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p10.smt2,,ok,unsat,536.9,0,536.3,72.5
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p11.smt2,,ok,unsat,195.8,0,195.1,62.6
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p12.smt2,,ok,unsat,8.1,0,7.7,41.1
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p13.smt2,,ok,unsat,24.1,0,24.0,42.5
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p14.smt2,,ok,unsat,8.5,0,8.3,39.5
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p15.smt2,,ok,unsat,38.1,0,37.6,45.6
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p16.smt2,,ok,unsat,18.0,0,17.9,42.7
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p17.smt2,,ok,unsat,141.9,0,141.8,54.5
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p18.smt2,,ok,unsat,22.4,0,22.3,44.5
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p19.smt2,,ok,unsat,941.6,0,941.4,106.7
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p2.smt2,,ok,unsat,95.0,0,94.7,52.8
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p20.smt2,,ok,unsat,31.2,0,30.5,48.8
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p21.smt2,,ok,unsat,92.0,0,91.9,51.6
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p22.smt2,,ok,unsat,462.5,0,462.4,67.0
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p23.smt2,,ok,unsat,6.7,0,6.6,39.3
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p24.smt2,,ok,unsat,99.9,0,99.5,51.7
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p25.smt2,,ok,unsat,102.9,0,102.8,57.6
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p26.smt2,,ok,unsat,122.4,0,122.4,55.3
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p27.smt2,,ok,unsat,19.2,0,19.2,44.1
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p28.smt2,,ok,unsat,176.5,0,176.2,62.6
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p29.smt2,,ok,unsat,622.3,0,622.2,76.7
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p3.smt2,,ok,unsat,14.9,0,14.8,42.5
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p30.smt2,,ok,unsat,8.3,0,8.1,39.8
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p31.smt2,,ok,unsat,5.4,0,5.2,38.0
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p4.smt2,,ok,unsat,7.1,0,7.0,39.9
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p5.smt2,,ok,unsat,5.8,0,5.7,38.5
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p6.smt2,,ok,unsat,6.5,0,6.4,38.4
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p7.smt2,,to,unknown,1201.0,0,1200.7,119.8
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p8.smt2,,ok,unsat,806.4,0,806.3,86.6
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p9.smt2,,ok,unsat,10.1,0,10.0,40.1
