benchmark,config,status,result,time_real,exit_code,time_cpu,memory
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p0.smt2,,ok,unsat,98.5,0,98.2,1254.9
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p1.smt2,,ok,unsat,98.4,0,97.5,1256.7
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p10.smt2,,ok,unsat,94.9,0,94.7,1245.1
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p11.smt2,,ok,unsat,101.2,0,100.9,1257.2
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p12.smt2,,to,unknown,1201.0,0,1200.4,1273.2
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p13.smt2,,to,unknown,1201.0,0,1200.6,1280.0
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p14.smt2,,ok,unsat,98.5,0,98.1,1256.3
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p15.smt2,,ok,unsat,99.7,0,99.0,1257.7
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p16.smt2,,ok,unsat,100.3,0,99.9,1255.4
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p17.smt2,,ok,unsat,95.6,0,95.4,1245.5
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p18.smt2,,ok,unsat,95.3,0,95.0,1245.3
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p19.smt2,,ok,unsat,99.9,0,99.6,1255.4
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p2.smt2,,ok,unsat,98.9,0,98.4,1255.3
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p20.smt2,,ok,unsat,94.3,0,94.1,1244.9
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p21.smt2,,ok,unsat,95.6,0,94.9,1246.7
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p22.smt2,,ok,unsat,105.2,0,104.8,1262.4
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p23.smt2,,ok,unsat,100.1,0,99.1,1256.6
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p24.smt2,,ok,unsat,100.1,0,99.9,1257.4
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p25.smt2,,to,unknown,1201.0,0,1200.7,1273.9
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p26.smt2,,ok,unsat,99.7,0,99.2,1256.3
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p27.smt2,,ok,unsat,99.7,0,99.2,1255.7
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p28.smt2,,to,unknown,1201.0,0,1200.9,1273.9
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p29.smt2,,ok,unsat,97.7,0,97.4,1256.0
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p3.smt2,,ok,unsat,95.4,0,95.0,1242.7
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p30.smt2,,ok,unsat,96.7,0,96.5,1246.2
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p31.smt2,,ok,unsat,94.5,0,94.3,1245.7
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p4.smt2,,ok,unsat,99.2,0,98.9,1256.3
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p5.smt2,,ok,unsat,94.9,0,94.6,1245.0
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p6.smt2,,ok,unsat,97.6,0,97.4,1246.0
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p7.smt2,,ok,unsat,99.2,0,98.7,1255.9
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p8.smt2,,ok,unsat,98.1,0,97.9,1255.8
aviad_true-termination.c_Iteration1_Loop_4-lexTemplate_p9.smt2,,ok,unsat,93.9,0,93.4,1182.2
