benchmark,config,status,result,time_real,exit_code,time_cpu,memory
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p0.smt2,,to,unknown,1201.0,0,1200.9,436.3
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p1.smt2,,to,unknown,1201.0,0,1200.9,403.1
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p10.smt2,,to,unknown,1201.0,0,1200.7,437.5
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p11.smt2,,to,unknown,1201.0,0,1200.9,508.4
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p12.smt2,,to,unknown,1201.0,0,1200.5,433.2
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p13.smt2,,to,unknown,1201.0,0,1201.0,478.4
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p14.smt2,,to,unknown,1201.0,0,1200.7,437.6
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p15.smt2,,to,unknown,1201.0,0,1200.9,447.8
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p16.smt2,,to,unknown,1201.0,0,1200.9,459.6
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p17.smt2,,to,unknown,1201.0,0,1200.9,445.8
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p18.smt2,,to,unknown,1201.0,0,1200.9,439.7
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p19.smt2,,to,unknown,1201.0,0,1201.0,431.1
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p2.smt2,,to,unknown,1201.0,0,1200.9,448.9
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p20.smt2,,to,unknown,1201.0,0,1200.9,426.3
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p21.smt2,,to,unknown,1201.0,0,1201.0,455.9
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p22.smt2,,to,unknown,1201.0,0,1200.9,456.3
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p23.smt2,,to,unknown,1201.0,0,1200.9,567.0
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p24.smt2,,to,unknown,1201.0,0,1200.8,450.4
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p25.smt2,,to,unknown,1201.0,0,1200.9,468.6
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p26.smt2,,to,unknown,1201.0,0,1200.9,440.5
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p27.smt2,,ok,sat,1075.4,0,1075.1,443.2
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p28.smt2,,to,unknown,1201.0,0,1200.9,445.5
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p29.smt2,,to,unknown,1201.0,0,1200.9,460.8
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p3.smt2,,to,unknown,1201.0,0,1200.9,464.4
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p30.smt2,,to,unknown,1201.0,0,1200.9,445.9
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p31.smt2,,to,unknown,1201.0,0,1201.0,454.2
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p4.smt2,,to,unknown,1201.0,0,1200.9,450.1
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p5.smt2,,to,unknown,1201.0,0,1200.9,427.8
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p6.smt2,,to,unknown,1201.0,0,1200.9,449.4
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p7.smt2,,to,unknown,1201.0,0,1200.9,456.8
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p8.smt2,,to,unknown,1201.0,0,1200.9,603.9
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p9.smt2,,to,unknown,1201.0,0,1200.8,568.6
