benchmark,config,status,result,time_real,exit_code,time_cpu,memory
simple_startup_15nodes.abstract.induct_p0.smt2,,ok,unsat,790.5,0,790.4,275.8
simple_startup_15nodes.abstract.induct_p1.smt2,,ok,unsat,2.5,0,2.5,51.3
simple_startup_15nodes.abstract.induct_p10.smt2,,ok,unsat,2.7,0,2.7,53.9
simple_startup_15nodes.abstract.induct_p11.smt2,,ok,unsat,2.9,0,2.8,54.0
simple_startup_15nodes.abstract.induct_p12.smt2,,ok,unsat,2.3,0,2.2,48.4
simple_startup_15nodes.abstract.induct_p13.smt2,,ok,unsat,2.7,0,2.6,52.0
simple_startup_15nodes.abstract.induct_p14.smt2,,ok,unsat,15.0,0,14.9,62.0
simple_startup_15nodes.abstract.induct_p15.smt2,,ok,unsat,2.4,0,2.3,49.5
simple_startup_15nodes.abstract.induct_p16.smt2,,ok,unsat,3.1,0,2.8,54.0
simple_startup_15nodes.abstract.induct_p17.smt2,,ok,unsat,2.7,0,2.5,52.1
simple_startup_15nodes.abstract.induct_p18.smt2,,ok,unsat,2.9,0,2.7,53.5
simple_startup_15nodes.abstract.induct_p19.smt2,,ok,unsat,3.8,0,3.7,57.5
simple_startup_15nodes.abstract.induct_p2.smt2,,ok,unsat,2.9,0,2.7,52.9
simple_startup_15nodes.abstract.induct_p20.smt2,,ok,unsat,2.8,0,2.8,55.8
simple_startup_15nodes.abstract.induct_p21.smt2,,ok,unsat,5.3,0,5.2,60.1
simple_startup_15nodes.abstract.induct_p22.smt2,,ok,unsat,3.2,0,2.9,54.6
simple_startup_15nodes.abstract.induct_p23.smt2,,ok,unsat,2.8,0,2.6,52.5
simple_startup_15nodes.abstract.induct_p24.smt2,,ok,unsat,2.6,0,2.6,53.0
simple_startup_15nodes.abstract.induct_p25.smt2,,ok,unsat,5.5,0,5.2,64.6
simple_startup_15nodes.abstract.induct_p26.smt2,,ok,unsat,2.8,0,2.7,52.4
simple_startup_15nodes.abstract.induct_p27.smt2,,ok,unsat,2.4,0,2.3,48.1
simple_startup_15nodes.abstract.induct_p28.smt2,,ok,unsat,2.8,0,2.7,53.6
simple_startup_15nodes.abstract.induct_p29.smt2,,ok,unsat,15.1,0,15.0,61.5
simple_startup_15nodes.abstract.induct_p3.smt2,,ok,unsat,4.9,0,4.8,62.0
simple_startup_15nodes.abstract.induct_p30.smt2,,ok,unsat,2.3,0,2.3,48.5
simple_startup_15nodes.abstract.induct_p31.smt2,,ok,unsat,35.9,0,35.9,77.9
simple_startup_15nodes.abstract.induct_p4.smt2,,ok,unsat,3.0,0,2.9,54.0
simple_startup_15nodes.abstract.induct_p5.smt2,,ok,unsat,2.4,0,2.3,49.3
simple_startup_15nodes.abstract.induct_p6.smt2,,ok,unsat,2.5,0,2.3,48.5
simple_startup_15nodes.abstract.induct_p7.smt2,,ok,unsat,2.7,0,2.5,52.4
simple_startup_15nodes.abstract.induct_p8.smt2,,ok,unsat,29.3,0,29.1,87.8
simple_startup_15nodes.abstract.induct_p9.smt2,,ok,unsat,2.7,0,2.6,52.5
