benchmark,config,status,result,time_real,exit_code,time_cpu,memory
0150-labyrinth-16-0_p0.smt2,,to,unknown,1201.0,0,1200.7,1731.1
0150-labyrinth-16-0_p1.smt2,,ok,sat,874.7,0,874.3,1574.8
0150-labyrinth-16-0_p10.smt2,,to,unknown,1201.0,0,1199.8,1787.2
0150-labyrinth-16-0_p11.smt2,,ok,sat,433.8,0,433.4,1459.5
0150-labyrinth-16-0_p12.smt2,,to,unknown,1201.0,0,1200.7,1640.5
0150-labyrinth-16-0_p13.smt2,,to,unknown,1201.0,0,1200.4,1733.6
0150-labyrinth-16-0_p14.smt2,,to,unknown,1201.0,0,1200.7,1714.3
0150-labyrinth-16-0_p15.smt2,,ok,sat,654.9,0,654.5,1540.7
0150-labyrinth-16-0_p16.smt2,,ok,sat,781.1,0,780.7,1556.3
0150-labyrinth-16-0_p17.smt2,,to,unknown,1201.0,0,1200.7,1815.2
0150-labyrinth-16-0_p18.smt2,,to,unknown,1201.0,0,1200.7,1637.9
0150-labyrinth-16-0_p19.smt2,,ok,sat,1003.9,0,1003.4,1650.6
0150-labyrinth-16-0_p2.smt2,,to,unknown,1201.0,0,1200.2,1708.0
0150-labyrinth-16-0_p20.smt2,,to,unknown,1201.0,0,1200.8,1799.6
0150-labyrinth-16-0_p21.smt2,,to,unknown,1201.0,0,1200.7,1717.3
0150-labyrinth-16-0_p22.smt2,,ok,sat,773.7,0,773.3,1548.2
0150-labyrinth-16-0_p23.smt2,,to,unknown,1201.0,0,1200.8,1731.6
0150-labyrinth-16-0_p24.smt2,,ok,sat,721.3,0,720.8,1538.5
0150-labyrinth-16-0_p25.smt2,,to,unknown,1201.0,0,1200.5,1623.2
0150-labyrinth-16-0_p26.smt2,,to,unknown,1201.0,0,1200.1,1770.1
0150-labyrinth-16-0_p27.smt2,,ok,sat,1181.8,0,1181.3,1865.2
0150-labyrinth-16-0_p28.smt2,,to,unknown,1201.0,0,1200.0,1731.0
0150-labyrinth-16-0_p29.smt2,,ok,sat,778.1,0,777.7,1569.4
0150-labyrinth-16-0_p3.smt2,,to,unknown,1201.0,0,1200.5,1657.7
0150-labyrinth-16-0_p30.smt2,,to,unknown,1201.0,0,1200.5,1883.7
0150-labyrinth-16-0_p31.smt2,,ok,sat,791.5,0,791.0,1551.1
0150-labyrinth-16-0_p32.smt2,,ok,sat,405.0,0,404.4,1454.9
0150-labyrinth-16-0_p33.smt2,,to,unknown,1201.0,0,1200.4,1723.3
0150-labyrinth-16-0_p34.smt2,,ok,sat,573.3,0,572.8,1482.2
0150-labyrinth-16-0_p35.smt2,,to,unknown,1201.0,0,1200.5,1789.3
0150-labyrinth-16-0_p36.smt2,,ok,sat,946.8,0,946.3,1620.5
0150-labyrinth-16-0_p37.smt2,,to,unknown,1201.0,0,1200.7,1735.7
0150-labyrinth-16-0_p38.smt2,,to,unknown,1201.0,0,1200.0,1779.8
0150-labyrinth-16-0_p39.smt2,,to,unknown,1201.0,0,1200.7,1680.8
0150-labyrinth-16-0_p4.smt2,,to,unknown,1201.0,0,1200.7,1722.3
0150-labyrinth-16-0_p40.smt2,,ok,sat,510.4,0,510.0,1477.8
0150-labyrinth-16-0_p41.smt2,,ok,sat,557.0,0,556.4,1479.3
0150-labyrinth-16-0_p42.smt2,,ok,sat,508.8,0,507.9,1480.0
0150-labyrinth-16-0_p43.smt2,,to,unknown,1201.0,0,1200.7,1778.2
0150-labyrinth-16-0_p44.smt2,,ok,sat,600.5,0,600.0,1513.0
0150-labyrinth-16-0_p45.smt2,,ok,sat,905.4,0,905.0,1628.3
0150-labyrinth-16-0_p46.smt2,,to,unknown,1201.0,0,1200.6,1737.9
0150-labyrinth-16-0_p47.smt2,,ok,sat,689.1,0,687.9,1577.0
0150-labyrinth-16-0_p48.smt2,,to,unknown,1201.0,0,1200.6,1883.7
0150-labyrinth-16-0_p49.smt2,,ok,sat,662.1,0,661.5,1505.6
0150-labyrinth-16-0_p5.smt2,,ok,sat,766.8,0,765.6,1585.9
0150-labyrinth-16-0_p50.smt2,,ok,sat,651.4,0,650.6,1547.2
0150-labyrinth-16-0_p51.smt2,,ok,sat,587.6,0,586.8,1514.8
0150-labyrinth-16-0_p52.smt2,,ok,sat,626.8,0,626.4,1493.7
0150-labyrinth-16-0_p53.smt2,,to,unknown,1201.0,0,1200.7,1855.5
0150-labyrinth-16-0_p54.smt2,,to,unknown,1201.0,0,1200.7,1782.6
0150-labyrinth-16-0_p55.smt2,,ok,sat,783.2,0,782.8,1566.4
0150-labyrinth-16-0_p56.smt2,,to,unknown,1201.0,0,1200.6,1743.0
0150-labyrinth-16-0_p57.smt2,,ok,sat,761.2,0,760.7,1565.4
0150-labyrinth-16-0_p58.smt2,,ok,sat,460.5,0,459.8,1457.8
0150-labyrinth-16-0_p59.smt2,,ok,sat,1017.8,0,1017.4,1732.2
0150-labyrinth-16-0_p6.smt2,,ok,sat,1170.5,0,1170.0,1774.5
0150-labyrinth-16-0_p60.smt2,,ok,sat,712.3,0,711.8,1566.9
0150-labyrinth-16-0_p61.smt2,,ok,sat,574.6,0,574.0,1482.9
0150-labyrinth-16-0_p62.smt2,,ok,sat,1140.8,0,1140.1,1983.9
0150-labyrinth-16-0_p63.smt2,,ok,sat,562.4,0,561.6,1483.0
0150-labyrinth-16-0_p7.smt2,,to,unknown,1201.0,0,1200.5,1848.9
0150-labyrinth-16-0_p8.smt2,,to,unknown,1201.0,0,1200.5,1818.2
0150-labyrinth-16-0_p9.smt2,,ok,sat,1181.0,0,1180.5,1933.3
