benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_const1.i_3_6_2.bpl_11_p0.smt2,,ok,unsat,10.3,0,10.3,15.9
_const1.i_3_6_2.bpl_11_p1.smt2,,ok,unsat,149.1,0,149.0,31.1
_const1.i_3_6_2.bpl_11_p10.smt2,,ok,unsat,164.3,0,164.3,34.0
_const1.i_3_6_2.bpl_11_p11.smt2,,ok,unsat,94.6,0,94.6,28.2
_const1.i_3_6_2.bpl_11_p12.smt2,,ok,unsat,10.9,0,10.8,16.9
_const1.i_3_6_2.bpl_11_p13.smt2,,ok,unsat,2.1,0,2.1,13.5
_const1.i_3_6_2.bpl_11_p14.smt2,,ok,unsat,12.7,0,12.7,14.6
_const1.i_3_6_2.bpl_11_p15.smt2,,ok,unsat,8.0,0,7.9,15.5
_const1.i_3_6_2.bpl_11_p16.smt2,,ok,unsat,99.4,0,99.4,29.2
_const1.i_3_6_2.bpl_11_p17.smt2,,ok,unsat,64.5,0,64.4,25.5
_const1.i_3_6_2.bpl_11_p18.smt2,,ok,unsat,197.3,0,197.3,38.5
_const1.i_3_6_2.bpl_11_p19.smt2,,ok,unsat,4.4,0,4.3,14.1
_const1.i_3_6_2.bpl_11_p2.smt2,,to,unknown,1201.0,0,1201.0,107.9
_const1.i_3_6_2.bpl_11_p20.smt2,,to,unknown,1201.0,0,1201.0,113.5
_const1.i_3_6_2.bpl_11_p21.smt2,,ok,unsat,10.3,0,10.3,16.1
_const1.i_3_6_2.bpl_11_p22.smt2,,ok,unsat,37.6,0,37.6,17.8
_const1.i_3_6_2.bpl_11_p23.smt2,,ok,unsat,112.8,0,112.8,28.0
_const1.i_3_6_2.bpl_11_p24.smt2,,ok,unsat,485.0,0,485.0,47.7
_const1.i_3_6_2.bpl_11_p25.smt2,,ok,unsat,61.1,0,61.1,23.9
_const1.i_3_6_2.bpl_11_p26.smt2,,ok,unsat,7.7,0,7.6,15.3
_const1.i_3_6_2.bpl_11_p27.smt2,,ok,unsat,13.0,0,13.0,15.8
_const1.i_3_6_2.bpl_11_p28.smt2,,ok,unsat,637.0,0,636.9,56.7
_const1.i_3_6_2.bpl_11_p29.smt2,,ok,unsat,17.0,0,16.9,17.1
_const1.i_3_6_2.bpl_11_p3.smt2,,to,unknown,1201.0,0,1200.9,101.9
_const1.i_3_6_2.bpl_11_p30.smt2,,ok,unsat,471.4,0,471.3,35.8
_const1.i_3_6_2.bpl_11_p31.smt2,,ok,unsat,124.6,0,124.6,30.5
_const1.i_3_6_2.bpl_11_p32.smt2,,ok,unsat,19.9,0,19.9,16.7
_const1.i_3_6_2.bpl_11_p33.smt2,,ok,unsat,111.1,0,111.1,27.7
_const1.i_3_6_2.bpl_11_p34.smt2,,ok,unsat,91.4,0,91.3,27.3
_const1.i_3_6_2.bpl_11_p35.smt2,,ok,unsat,189.0,0,188.9,39.2
_const1.i_3_6_2.bpl_11_p36.smt2,,ok,unsat,80.7,0,80.7,29.1
_const1.i_3_6_2.bpl_11_p37.smt2,,ok,unsat,38.9,0,38.8,22.2
_const1.i_3_6_2.bpl_11_p38.smt2,,ok,unsat,0.8,0,0.8,13.0
_const1.i_3_6_2.bpl_11_p39.smt2,,ok,unsat,119.9,0,119.9,28.2
_const1.i_3_6_2.bpl_11_p4.smt2,,ok,unsat,15.1,0,15.0,17.1
_const1.i_3_6_2.bpl_11_p40.smt2,,ok,unsat,37.5,0,37.4,20.4
_const1.i_3_6_2.bpl_11_p41.smt2,,ok,unsat,602.4,0,602.3,58.0
_const1.i_3_6_2.bpl_11_p42.smt2,,ok,unsat,23.2,0,23.1,17.4
_const1.i_3_6_2.bpl_11_p43.smt2,,ok,unsat,44.1,0,44.1,20.0
_const1.i_3_6_2.bpl_11_p44.smt2,,ok,unsat,17.4,0,17.3,17.0
_const1.i_3_6_2.bpl_11_p45.smt2,,ok,unsat,1.5,0,1.4,14.6
_const1.i_3_6_2.bpl_11_p46.smt2,,ok,unsat,824.4,0,824.4,79.1
_const1.i_3_6_2.bpl_11_p47.smt2,,ok,unsat,58.9,0,58.8,20.0
_const1.i_3_6_2.bpl_11_p48.smt2,,ok,unsat,82.6,0,82.5,25.1
_const1.i_3_6_2.bpl_11_p49.smt2,,ok,unsat,2.2,0,2.1,14.0
_const1.i_3_6_2.bpl_11_p5.smt2,,ok,unsat,39.7,0,39.6,21.2
_const1.i_3_6_2.bpl_11_p50.smt2,,ok,unsat,470.4,0,470.3,42.7
_const1.i_3_6_2.bpl_11_p51.smt2,,ok,unsat,0.7,0,0.7,12.4
_const1.i_3_6_2.bpl_11_p52.smt2,,ok,unsat,4.4,0,4.3,14.6
_const1.i_3_6_2.bpl_11_p53.smt2,,ok,unsat,39.5,0,39.4,21.8
_const1.i_3_6_2.bpl_11_p54.smt2,,ok,unsat,20.6,0,20.6,17.5
_const1.i_3_6_2.bpl_11_p55.smt2,,ok,unsat,407.2,0,407.1,42.8
_const1.i_3_6_2.bpl_11_p56.smt2,,ok,unsat,28.3,0,28.3,19.1
_const1.i_3_6_2.bpl_11_p57.smt2,,ok,unsat,429.1,0,429.0,37.5
_const1.i_3_6_2.bpl_11_p58.smt2,,ok,unsat,79.7,0,79.7,26.5
_const1.i_3_6_2.bpl_11_p59.smt2,,ok,unsat,521.9,0,521.8,42.0
_const1.i_3_6_2.bpl_11_p6.smt2,,ok,unsat,0.7,0,0.6,11.9
_const1.i_3_6_2.bpl_11_p60.smt2,,ok,unsat,38.3,0,38.3,19.0
