benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_standard_strcpy_original.i_3_3_2.bpl_11_p0.smt2,,ok,unsat,625.9,0,625.8,45.8
_standard_strcpy_original.i_3_3_2.bpl_11_p1.smt2,,ok,unsat,3.1,0,3.1,13.9
_standard_strcpy_original.i_3_3_2.bpl_11_p10.smt2,,ok,unsat,0.8,0,0.8,12.5
_standard_strcpy_original.i_3_3_2.bpl_11_p11.smt2,,ok,unsat,2.3,0,2.3,13.3
_standard_strcpy_original.i_3_3_2.bpl_11_p12.smt2,,ok,unsat,8.1,0,8.0,15.6
_standard_strcpy_original.i_3_3_2.bpl_11_p13.smt2,,ok,unsat,0.7,0,0.7,12.0
_standard_strcpy_original.i_3_3_2.bpl_11_p14.smt2,,ok,unsat,45.0,0,44.9,19.0
_standard_strcpy_original.i_3_3_2.bpl_11_p15.smt2,,ok,unsat,9.0,0,9.0,16.0
_standard_strcpy_original.i_3_3_2.bpl_11_p16.smt2,,ok,unsat,0.9,0,0.9,12.9
_standard_strcpy_original.i_3_3_2.bpl_11_p17.smt2,,ok,unsat,1.2,0,1.1,13.5
_standard_strcpy_original.i_3_3_2.bpl_11_p18.smt2,,ok,unsat,0.7,0,0.7,11.9
_standard_strcpy_original.i_3_3_2.bpl_11_p19.smt2,,ok,unsat,4.4,0,4.4,14.3
_standard_strcpy_original.i_3_3_2.bpl_11_p2.smt2,,ok,unsat,9.6,0,9.6,15.5
_standard_strcpy_original.i_3_3_2.bpl_11_p20.smt2,,ok,unsat,0.7,0,0.7,12.2
_standard_strcpy_original.i_3_3_2.bpl_11_p21.smt2,,ok,unsat,31.4,0,31.4,18.8
_standard_strcpy_original.i_3_3_2.bpl_11_p22.smt2,,ok,unsat,1.5,0,1.5,14.5
_standard_strcpy_original.i_3_3_2.bpl_11_p23.smt2,,ok,unsat,32.7,0,32.7,19.0
_standard_strcpy_original.i_3_3_2.bpl_11_p24.smt2,,ok,unsat,0.9,0,0.9,12.9
_standard_strcpy_original.i_3_3_2.bpl_11_p25.smt2,,ok,unsat,716.3,0,716.2,49.5
_standard_strcpy_original.i_3_3_2.bpl_11_p26.smt2,,ok,unsat,3.5,0,3.4,13.8
_standard_strcpy_original.i_3_3_2.bpl_11_p27.smt2,,ok,unsat,1.3,0,1.2,13.4
_standard_strcpy_original.i_3_3_2.bpl_11_p28.smt2,,ok,unsat,1.7,0,1.7,13.5
