benchmark,config,status,result,time_real,exit_code,time_cpu,memory
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p0.smt2,,ok,sat,935.9,0,935.5,886.6
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p1.smt2,,ok,sat,1152.4,0,1152.1,910.4
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p10.smt2,,to,unknown,1201.0,0,1200.8,875.8
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p11.smt2,,ok,sat,968.6,0,967.6,878.9
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p12.smt2,,to,unknown,1201.0,0,1200.9,899.1
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p13.smt2,,ok,sat,886.1,0,885.8,879.2
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p14.smt2,,ok,sat,1077.6,0,1077.3,1015.7
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p15.smt2,,ok,sat,1103.2,0,1102.9,907.4
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p16.smt2,,ok,sat,986.7,0,986.3,897.5
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p17.smt2,,ok,sat,1056.3,0,1056.1,1015.0
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p18.smt2,,ok,sat,908.8,0,908.5,864.0
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p19.smt2,,to,unknown,1201.0,0,1200.9,895.9
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p2.smt2,,ok,sat,1069.1,0,1068.9,925.3
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p20.smt2,,ok,sat,981.5,0,981.3,919.2
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p21.smt2,,ok,sat,1105.5,0,1105.3,912.6
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p22.smt2,,ok,sat,1046.7,0,1046.3,907.3
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p23.smt2,,ok,sat,1146.2,0,1146.1,927.3
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p24.smt2,,ok,sat,852.5,0,852.3,879.5
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p25.smt2,,ok,sat,962.9,0,962.6,1005.9
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p26.smt2,,ok,sat,941.6,0,941.3,876.0
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p27.smt2,,ok,sat,868.4,0,868.0,890.8
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p28.smt2,,ok,sat,1031.9,0,1031.6,1012.1
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p29.smt2,,ok,sat,1071.4,0,1071.2,873.0
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p3.smt2,,ok,sat,958.5,0,958.3,871.5
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p30.smt2,,ok,sat,919.8,0,919.6,1011.0
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p31.smt2,,ok,sat,977.4,0,976.5,902.6
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p32.smt2,,ok,sat,1065.6,0,1065.3,894.5
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p33.smt2,,to,unknown,1201.0,0,1200.8,981.0
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p34.smt2,,ok,sat,1026.1,0,1025.9,898.7
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p35.smt2,,ok,sat,1166.9,0,1165.6,911.1
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p36.smt2,,ok,sat,1022.3,0,1022.0,890.0
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p37.smt2,,ok,sat,1191.4,0,1190.8,1035.1
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p38.smt2,,ok,sat,1072.3,0,1071.9,906.9
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p39.smt2,,ok,sat,1003.6,0,1003.1,1014.0
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p4.smt2,,ok,sat,939.7,0,939.5,905.8
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p40.smt2,,ok,sat,1062.4,0,1062.0,907.8
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p41.smt2,,ok,sat,873.7,0,873.5,885.7
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p42.smt2,,ok,sat,1019.7,0,1019.4,896.6
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p43.smt2,,ok,sat,1145.8,0,1145.6,916.0
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p44.smt2,,ok,sat,996.2,0,996.0,891.3
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p45.smt2,,to,unknown,1201.0,0,1200.8,967.9
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p46.smt2,,ok,sat,1135.4,0,1135.0,934.6
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p47.smt2,,ok,sat,928.3,0,927.8,913.6
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p48.smt2,,ok,sat,1079.4,0,1079.1,972.6
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p49.smt2,,ok,sat,901.9,0,901.6,895.0
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p5.smt2,,ok,sat,1150.0,0,1149.8,929.7
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p50.smt2,,ok,sat,893.1,0,892.8,891.7
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p51.smt2,,to,unknown,1201.0,0,1200.9,858.4
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p52.smt2,,ok,sat,958.5,0,958.3,891.2
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p53.smt2,,to,unknown,1201.0,0,1200.9,890.4
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p54.smt2,,ok,sat,1103.4,0,1103.1,1016.6
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p55.smt2,,ok,sat,1074.6,0,1074.4,969.9
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p56.smt2,,ok,sat,1124.0,0,1123.7,1022.9
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p57.smt2,,ok,sat,1137.3,0,1136.6,895.2
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p58.smt2,,ok,sat,1186.7,0,1186.4,915.8
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p59.smt2,,ok,sat,1151.0,0,1150.7,967.3
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p6.smt2,,ok,sat,881.1,0,880.9,864.5
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p60.smt2,,ok,sat,1030.7,0,1030.6,905.8
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p61.smt2,,ok,sat,998.7,0,998.5,996.2
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p62.smt2,,ok,sat,1067.3,0,1067.1,911.1
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p63.smt2,,ok,sat,1138.9,0,1138.6,922.7
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p7.smt2,,ok,sat,1110.1,0,1109.8,893.7
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p8.smt2,,ok,sat,1136.9,0,1136.7,1031.2
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate_p9.smt2,,ok,sat,1036.7,0,1036.3,903.9
