benchmark,config,status,result,time_real,exit_code,time_cpu,memory
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p0.smt2,,to,unknown,1201.0,0,1200.9,1634.3
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p1.smt2,,to,unknown,1201.0,0,1200.9,1125.8
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p10.smt2,,to,unknown,1201.0,0,1200.9,1131.0
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p11.smt2,,to,unknown,1201.0,0,1200.9,1147.2
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p12.smt2,,to,unknown,1201.0,0,1200.7,1117.7
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p13.smt2,,to,unknown,1201.0,0,1200.9,1622.5
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p14.smt2,,to,unknown,1201.0,0,1200.8,1088.5
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p15.smt2,,ok,sat,1013.5,0,1013.2,1127.6
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p16.smt2,,to,unknown,1201.0,0,1200.9,1634.4
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p17.smt2,,to,unknown,1201.0,0,1200.9,1099.7
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p18.smt2,,to,unknown,1201.0,0,1200.9,935.2
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p19.smt2,,to,unknown,1201.0,0,1200.8,1107.1
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p2.smt2,,ok,sat,1190.1,0,1189.7,1104.3
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p20.smt2,,to,unknown,1201.0,0,1200.9,1151.6
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p21.smt2,,to,unknown,1201.0,0,1200.9,898.8
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p22.smt2,,ok,sat,1064.7,0,1064.6,1165.5
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p23.smt2,,ok,sat,830.9,0,830.7,1113.7
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p24.smt2,,to,unknown,1201.0,0,1200.9,1103.5
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p25.smt2,,ok,sat,1136.8,0,1136.6,1174.5
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p26.smt2,,to,unknown,1201.0,0,1200.8,1108.6
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p27.smt2,,to,unknown,1201.0,0,1200.9,1130.7
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p28.smt2,,to,unknown,1201.0,0,1200.9,1122.5
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p29.smt2,,to,unknown,1201.0,0,1200.9,1191.2
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p3.smt2,,ok,sat,1061.3,0,1061.1,1093.7
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p30.smt2,,to,unknown,1201.0,0,1200.7,1117.0
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p31.smt2,,to,unknown,1201.0,0,1200.9,1124.6
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p32.smt2,,to,unknown,1201.0,0,1200.9,1107.8
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p33.smt2,,to,unknown,1201.0,0,1200.9,1106.1
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p34.smt2,,to,unknown,1201.0,0,1200.6,1084.0
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p35.smt2,,to,unknown,1201.0,0,1200.7,1095.9
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p36.smt2,,to,unknown,1201.0,0,1200.8,1103.2
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p37.smt2,,ok,sat,976.9,0,976.6,1150.0
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p38.smt2,,to,unknown,1201.0,0,1200.9,1112.5
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p39.smt2,,ok,sat,940.6,0,940.4,1138.6
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p4.smt2,,to,unknown,1201.0,0,1200.9,1089.5
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p40.smt2,,to,unknown,1201.0,0,1200.9,1089.3
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p41.smt2,,to,unknown,1201.0,0,1200.9,1175.2
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p42.smt2,,to,unknown,1201.0,0,1200.9,1119.6
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p43.smt2,,to,unknown,1201.0,0,1200.8,1116.9
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p44.smt2,,to,unknown,1201.0,0,1200.9,1116.5
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p45.smt2,,to,unknown,1201.0,0,1200.9,1138.1
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p46.smt2,,to,unknown,1201.0,0,1201.0,1615.7
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p47.smt2,,to,unknown,1201.0,0,1200.9,1143.0
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate_p48.smt2,,ok,sat,1078.9,0,1078.7,1133.8
