benchmark,config,status,result,time_real,exit_code,time_cpu,memory
pk1-20_p0.smt2,,ok,unsat,1.4,0,1.4,12.3
pk1-20_p1.smt2,,to,unknown,1201.0,0,1201.0,432.8
pk1-20_p10.smt2,,to,unknown,1201.0,0,1201.0,474.1
pk1-20_p11.smt2,,ok,unsat,1.3,0,1.3,12.1
pk1-20_p12.smt2,,ok,unsat,1.3,0,1.3,12.1
pk1-20_p13.smt2,,to,unknown,1201.0,0,1200.9,629.1
pk1-20_p14.smt2,,to,unknown,1201.0,0,1201.0,484.6
pk1-20_p15.smt2,,ok,unsat,1.3,0,1.3,12.1
pk1-20_p16.smt2,,to,unknown,1201.0,0,1201.0,533.5
pk1-20_p17.smt2,,ok,unsat,1.4,0,1.4,12.3
pk1-20_p18.smt2,,ok,unsat,3.8,0,3.7,14.2
pk1-20_p19.smt2,,to,unknown,1201.0,0,1201.0,502.5
pk1-20_p2.smt2,,ok,unsat,1.5,0,1.5,12.6
pk1-20_p20.smt2,,to,unknown,1201.0,0,1201.0,460.8
pk1-20_p21.smt2,,ok,unsat,35.3,0,35.3,13.9
pk1-20_p22.smt2,,ok,unsat,1.5,0,1.4,12.9
pk1-20_p23.smt2,,ok,unsat,1.8,0,1.8,11.4
pk1-20_p24.smt2,,ok,unsat,15.0,0,15.0,13.4
pk1-20_p25.smt2,,ok,unsat,4.8,0,4.7,15.2
pk1-20_p26.smt2,,ok,unsat,1.5,0,1.4,12.8
pk1-20_p27.smt2,,ok,unsat,12.6,0,12.6,13.5
pk1-20_p28.smt2,,ok,unsat,3.6,0,3.6,11.8
pk1-20_p29.smt2,,ok,unsat,1.5,0,1.4,12.3
pk1-20_p3.smt2,,ok,unsat,8.3,0,8.3,14.4
pk1-20_p30.smt2,,ok,unsat,1.4,0,1.4,12.7
pk1-20_p31.smt2,,ok,unsat,1.4,0,1.4,12.2
pk1-20_p32.smt2,,to,unknown,1201.0,0,1201.0,539.0
pk1-20_p33.smt2,,ok,unsat,1.3,0,1.3,12.2
pk1-20_p34.smt2,,ok,unsat,1.5,0,1.4,12.3
pk1-20_p35.smt2,,to,unknown,1201.0,0,1201.0,359.2
pk1-20_p36.smt2,,ok,unsat,1.3,0,1.3,13.1
pk1-20_p37.smt2,,to,unknown,1201.0,0,1201.0,440.9
pk1-20_p38.smt2,,ok,unsat,1.2,0,1.2,12.6
pk1-20_p39.smt2,,ok,unsat,11.0,0,11.0,12.1
pk1-20_p4.smt2,,ok,unsat,1.4,0,1.4,13.0
pk1-20_p40.smt2,,ok,unsat,70.1,0,70.0,14.8
pk1-20_p41.smt2,,ok,unsat,1.3,0,1.3,12.5
pk1-20_p42.smt2,,ok,unsat,1.4,0,1.4,12.3
pk1-20_p43.smt2,,ok,unsat,1.3,0,1.3,12.4
pk1-20_p44.smt2,,ok,unsat,1.3,0,1.3,12.7
pk1-20_p45.smt2,,ok,unsat,1.4,0,1.3,12.1
pk1-20_p46.smt2,,to,unknown,1201.0,0,1201.0,457.5
pk1-20_p47.smt2,,to,unknown,1201.0,0,1201.0,463.9
pk1-20_p48.smt2,,ok,unsat,5.7,0,5.7,13.0
pk1-20_p49.smt2,,ok,unsat,1.3,0,1.2,12.3
pk1-20_p5.smt2,,ok,unsat,1.4,0,1.4,12.4
pk1-20_p50.smt2,,ok,unsat,1.2,0,1.2,12.4
pk1-20_p51.smt2,,ok,unsat,1.2,0,1.2,12.4
pk1-20_p52.smt2,,ok,unsat,1.4,0,1.3,13.0
pk1-20_p53.smt2,,ok,unsat,1.3,0,1.3,12.5
pk1-20_p54.smt2,,ok,unsat,1.2,0,1.2,12.3
pk1-20_p55.smt2,,ok,unsat,2.7,0,2.7,12.2
pk1-20_p56.smt2,,ok,unsat,1.4,0,1.4,12.0
pk1-20_p57.smt2,,to,unknown,1201.0,0,1201.0,497.5
pk1-20_p58.smt2,,ok,unsat,198.4,0,198.4,18.3
pk1-20_p59.smt2,,ok,unsat,1.2,0,1.2,12.2
pk1-20_p6.smt2,,ok,unsat,1.5,0,1.5,12.6
pk1-20_p60.smt2,,to,unknown,1201.0,0,1201.0,447.2
pk1-20_p61.smt2,,ok,unsat,1.3,0,1.3,12.4
pk1-20_p62.smt2,,ok,unsat,1.3,0,1.3,12.0
pk1-20_p63.smt2,,to,unknown,1201.0,0,1201.0,543.7
pk1-20_p7.smt2,,ok,unsat,2.5,0,2.4,12.2
pk1-20_p8.smt2,,ok,unsat,1.4,0,1.4,12.4
pk1-20_p9.smt2,,to,unknown,1201.0,0,1201.0,468.4
