benchmark,config,status,result,time_real,exit_code,time_cpu,memory
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p0.smt2,,ok,sat,985.9,0,985.8,876.2
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p1.smt2,,ok,sat,1048.8,0,1048.6,909.2
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p10.smt2,,ok,sat,895.0,0,894.9,782.8
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p11.smt2,,ok,sat,913.2,0,913.0,806.5
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p12.smt2,,ok,sat,1052.2,0,1051.8,751.7
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p13.smt2,,ok,sat,812.6,0,812.5,890.8
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p14.smt2,,ok,sat,1003.4,0,1003.2,889.0
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p15.smt2,,to,unknown,1201.0,0,1200.9,744.4
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p16.smt2,,to,unknown,1201.0,0,1200.9,748.5
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p17.smt2,,ok,sat,1052.1,0,1052.0,886.9
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p18.smt2,,ok,sat,1028.1,0,1027.8,875.2
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p19.smt2,,ok,sat,1166.6,0,1166.4,871.2
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p2.smt2,,ok,sat,948.1,0,948.0,853.7
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p20.smt2,,ok,sat,1013.4,0,1013.2,763.2
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p21.smt2,,ok,sat,903.0,0,902.9,804.6
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p22.smt2,,ok,sat,1182.5,0,1182.4,858.1
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p23.smt2,,ok,sat,1021.9,0,1021.8,762.2
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p24.smt2,,ok,sat,1172.2,0,1172.0,905.3
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p25.smt2,,ok,sat,1016.8,0,1016.6,792.4
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p26.smt2,,to,unknown,1201.0,0,1200.9,739.0
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p27.smt2,,ok,sat,976.8,0,976.7,765.6
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p28.smt2,,ok,sat,1081.8,0,1081.7,768.4
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p29.smt2,,ok,sat,882.9,0,882.7,797.6
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p3.smt2,,ok,sat,908.9,0,908.7,795.0
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p30.smt2,,ok,sat,965.8,0,965.3,887.2
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p31.smt2,,ok,sat,994.9,0,994.8,779.2
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p32.smt2,,to,unknown,1201.0,0,1200.9,734.4
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p33.smt2,,ok,sat,1022.9,0,1022.8,891.7
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p34.smt2,,ok,sat,1103.9,0,1103.6,912.7
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p35.smt2,,ok,sat,1050.5,0,1050.3,749.8
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p36.smt2,,ok,sat,1068.8,0,1068.7,848.3
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p37.smt2,,ok,sat,744.6,0,744.4,910.7
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p38.smt2,,ok,sat,968.2,0,968.0,780.4
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p39.smt2,,ok,sat,984.6,0,984.4,857.2
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p4.smt2,,ok,sat,960.5,0,960.4,760.6
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p40.smt2,,ok,sat,932.3,0,932.1,763.3
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p41.smt2,,ok,sat,1057.0,0,1056.9,775.1
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p42.smt2,,ok,sat,967.4,0,967.2,787.9
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p43.smt2,,to,unknown,1201.0,0,1200.9,750.7
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p44.smt2,,ok,sat,1014.2,0,1014.1,805.2
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p45.smt2,,ok,sat,925.0,0,924.9,780.3
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p46.smt2,,ok,sat,1197.3,0,1197.0,771.7
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p47.smt2,,ok,sat,1002.8,0,1002.6,869.5
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p48.smt2,,ok,sat,876.8,0,876.7,785.9
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p49.smt2,,ok,sat,1131.3,0,1131.1,872.3
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p5.smt2,,ok,sat,1055.2,0,1055.1,884.5
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p50.smt2,,ok,sat,946.6,0,946.5,780.5
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p51.smt2,,to,unknown,1201.0,0,1201.0,919.8
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p52.smt2,,ok,sat,1011.2,0,1011.0,763.3
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p53.smt2,,to,unknown,1201.0,0,1200.9,744.7
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p54.smt2,,ok,sat,1108.5,0,1108.3,873.0
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p55.smt2,,ok,sat,1133.1,0,1132.9,779.3
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p56.smt2,,to,unknown,1201.0,0,1200.9,772.0
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p57.smt2,,ok,sat,1009.9,0,1009.7,769.6
simple-scaled250.bpl_Iteration1_Lasso_5-phaseTemplate_p58.smt2,,ok,sat,946.8,0,946.6,877.4
