benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_standard_copy7_ground.i_3_2_2.bpl_7_p0.smt2,,ok,unsat,522.8,0,522.7,101.2
_standard_copy7_ground.i_3_2_2.bpl_7_p1.smt2,,ok,unsat,463.1,0,463.0,93.2
_standard_copy7_ground.i_3_2_2.bpl_7_p10.smt2,,ok,unsat,696.3,0,696.2,128.0
_standard_copy7_ground.i_3_2_2.bpl_7_p100.smt2,,ok,unsat,773.1,0,773.1,132.5
_standard_copy7_ground.i_3_2_2.bpl_7_p101.smt2,,ok,unsat,807.4,0,807.4,150.7
_standard_copy7_ground.i_3_2_2.bpl_7_p102.smt2,,ok,unsat,887.4,0,887.3,145.3
_standard_copy7_ground.i_3_2_2.bpl_7_p103.smt2,,ok,unsat,731.1,0,731.1,133.2
_standard_copy7_ground.i_3_2_2.bpl_7_p104.smt2,,ok,unsat,967.3,0,967.2,162.5
_standard_copy7_ground.i_3_2_2.bpl_7_p105.smt2,,ok,unsat,870.5,0,870.4,142.3
_standard_copy7_ground.i_3_2_2.bpl_7_p106.smt2,,ok,unsat,938.3,0,938.2,170.2
_standard_copy7_ground.i_3_2_2.bpl_7_p107.smt2,,ok,unsat,798.4,0,798.3,140.5
_standard_copy7_ground.i_3_2_2.bpl_7_p108.smt2,,ok,unsat,785.2,0,785.2,139.7
_standard_copy7_ground.i_3_2_2.bpl_7_p109.smt2,,ok,unsat,770.4,0,770.4,132.8
_standard_copy7_ground.i_3_2_2.bpl_7_p11.smt2,,ok,unsat,647.7,0,647.7,118.4
_standard_copy7_ground.i_3_2_2.bpl_7_p110.smt2,,ok,unsat,963.9,0,963.8,167.8
_standard_copy7_ground.i_3_2_2.bpl_7_p111.smt2,,ok,unsat,815.3,0,815.3,148.4
_standard_copy7_ground.i_3_2_2.bpl_7_p112.smt2,,ok,unsat,708.5,0,708.4,126.1
_standard_copy7_ground.i_3_2_2.bpl_7_p113.smt2,,ok,unsat,640.2,0,640.2,117.2
_standard_copy7_ground.i_3_2_2.bpl_7_p114.smt2,,ok,unsat,742.8,0,742.8,129.7
_standard_copy7_ground.i_3_2_2.bpl_7_p115.smt2,,ok,unsat,749.4,0,749.3,132.3
_standard_copy7_ground.i_3_2_2.bpl_7_p116.smt2,,ok,unsat,781.9,0,781.8,133.5
_standard_copy7_ground.i_3_2_2.bpl_7_p117.smt2,,ok,unsat,614.7,0,614.6,114.9
_standard_copy7_ground.i_3_2_2.bpl_7_p118.smt2,,ok,unsat,935.1,0,935.0,160.7
_standard_copy7_ground.i_3_2_2.bpl_7_p119.smt2,,ok,unsat,691.8,0,691.6,121.4
_standard_copy7_ground.i_3_2_2.bpl_7_p12.smt2,,ok,unsat,683.0,0,683.0,118.9
_standard_copy7_ground.i_3_2_2.bpl_7_p120.smt2,,ok,unsat,824.7,0,824.6,147.1
_standard_copy7_ground.i_3_2_2.bpl_7_p121.smt2,,ok,unsat,729.1,0,729.0,127.9
_standard_copy7_ground.i_3_2_2.bpl_7_p122.smt2,,ok,unsat,963.7,0,963.6,170.9
_standard_copy7_ground.i_3_2_2.bpl_7_p123.smt2,,ok,unsat,922.3,0,922.0,157.9
_standard_copy7_ground.i_3_2_2.bpl_7_p124.smt2,,ok,unsat,902.1,0,901.8,162.1
_standard_copy7_ground.i_3_2_2.bpl_7_p125.smt2,,ok,unsat,892.4,0,892.4,146.8
_standard_copy7_ground.i_3_2_2.bpl_7_p126.smt2,,ok,unsat,1000.5,0,1000.5,166.9
_standard_copy7_ground.i_3_2_2.bpl_7_p127.smt2,,ok,unsat,773.4,0,773.3,146.3
_standard_copy7_ground.i_3_2_2.bpl_7_p13.smt2,,ok,unsat,590.4,0,590.3,109.0
_standard_copy7_ground.i_3_2_2.bpl_7_p14.smt2,,ok,unsat,788.9,0,788.8,129.0
_standard_copy7_ground.i_3_2_2.bpl_7_p15.smt2,,ok,unsat,758.5,0,758.4,126.6
_standard_copy7_ground.i_3_2_2.bpl_7_p16.smt2,,ok,unsat,587.2,0,587.1,119.5
_standard_copy7_ground.i_3_2_2.bpl_7_p17.smt2,,ok,unsat,513.7,0,513.6,100.7
_standard_copy7_ground.i_3_2_2.bpl_7_p18.smt2,,ok,unsat,696.7,0,696.6,128.9
_standard_copy7_ground.i_3_2_2.bpl_7_p19.smt2,,ok,unsat,541.2,0,541.1,108.0
_standard_copy7_ground.i_3_2_2.bpl_7_p2.smt2,,ok,unsat,582.6,0,582.5,106.5
_standard_copy7_ground.i_3_2_2.bpl_7_p20.smt2,,ok,unsat,582.1,0,582.0,113.8
_standard_copy7_ground.i_3_2_2.bpl_7_p21.smt2,,ok,unsat,529.1,0,529.0,111.7
_standard_copy7_ground.i_3_2_2.bpl_7_p22.smt2,,ok,unsat,690.1,0,690.1,137.8
_standard_copy7_ground.i_3_2_2.bpl_7_p23.smt2,,ok,unsat,601.7,0,601.7,114.8
_standard_copy7_ground.i_3_2_2.bpl_7_p24.smt2,,ok,unsat,751.7,0,751.7,147.4
_standard_copy7_ground.i_3_2_2.bpl_7_p25.smt2,,ok,unsat,706.4,0,706.3,128.1
_standard_copy7_ground.i_3_2_2.bpl_7_p26.smt2,,ok,unsat,779.3,0,779.3,140.0
_standard_copy7_ground.i_3_2_2.bpl_7_p27.smt2,,ok,unsat,769.9,0,769.8,130.8
_standard_copy7_ground.i_3_2_2.bpl_7_p28.smt2,,ok,unsat,765.4,0,765.3,131.6
_standard_copy7_ground.i_3_2_2.bpl_7_p29.smt2,,ok,unsat,674.3,0,674.2,118.8
_standard_copy7_ground.i_3_2_2.bpl_7_p3.smt2,,ok,unsat,562.4,0,562.4,108.0
_standard_copy7_ground.i_3_2_2.bpl_7_p30.smt2,,ok,unsat,803.2,0,803.1,141.6
_standard_copy7_ground.i_3_2_2.bpl_7_p31.smt2,,ok,unsat,791.7,0,791.6,137.8
_standard_copy7_ground.i_3_2_2.bpl_7_p32.smt2,,ok,unsat,696.4,0,696.3,129.0
_standard_copy7_ground.i_3_2_2.bpl_7_p33.smt2,,ok,unsat,559.9,0,559.8,106.3
_standard_copy7_ground.i_3_2_2.bpl_7_p34.smt2,,ok,unsat,723.0,0,723.0,132.5
_standard_copy7_ground.i_3_2_2.bpl_7_p35.smt2,,ok,unsat,642.3,0,642.3,117.4
_standard_copy7_ground.i_3_2_2.bpl_7_p36.smt2,,ok,unsat,638.0,0,637.9,120.5
_standard_copy7_ground.i_3_2_2.bpl_7_p37.smt2,,ok,unsat,547.9,0,547.8,107.0
_standard_copy7_ground.i_3_2_2.bpl_7_p38.smt2,,ok,unsat,843.3,0,843.3,146.8
_standard_copy7_ground.i_3_2_2.bpl_7_p39.smt2,,ok,unsat,614.6,0,614.5,117.7
_standard_copy7_ground.i_3_2_2.bpl_7_p4.smt2,,ok,unsat,553.2,0,553.1,108.5
_standard_copy7_ground.i_3_2_2.bpl_7_p40.smt2,,ok,unsat,773.3,0,773.0,137.4
_standard_copy7_ground.i_3_2_2.bpl_7_p41.smt2,,ok,unsat,666.2,0,666.2,122.6
_standard_copy7_ground.i_3_2_2.bpl_7_p42.smt2,,ok,unsat,843.6,0,843.6,160.7
_standard_copy7_ground.i_3_2_2.bpl_7_p43.smt2,,ok,unsat,769.9,0,769.8,133.7
_standard_copy7_ground.i_3_2_2.bpl_7_p44.smt2,,ok,unsat,756.3,0,756.2,129.7
_standard_copy7_ground.i_3_2_2.bpl_7_p45.smt2,,ok,unsat,683.2,0,683.2,123.0
_standard_copy7_ground.i_3_2_2.bpl_7_p46.smt2,,ok,unsat,898.3,0,898.2,160.7
_standard_copy7_ground.i_3_2_2.bpl_7_p47.smt2,,ok,unsat,769.9,0,769.6,136.1
_standard_copy7_ground.i_3_2_2.bpl_7_p48.smt2,,ok,unsat,632.6,0,632.5,117.9
_standard_copy7_ground.i_3_2_2.bpl_7_p49.smt2,,ok,unsat,516.4,0,516.3,103.7
_standard_copy7_ground.i_3_2_2.bpl_7_p5.smt2,,ok,unsat,476.6,0,476.6,99.9
_standard_copy7_ground.i_3_2_2.bpl_7_p50.smt2,,ok,unsat,698.9,0,698.8,127.9
_standard_copy7_ground.i_3_2_2.bpl_7_p51.smt2,,ok,unsat,594.6,0,594.5,113.8
_standard_copy7_ground.i_3_2_2.bpl_7_p52.smt2,,ok,unsat,685.5,0,685.4,119.6
_standard_copy7_ground.i_3_2_2.bpl_7_p53.smt2,,ok,unsat,573.0,0,572.9,106.4
_standard_copy7_ground.i_3_2_2.bpl_7_p54.smt2,,ok,unsat,841.3,0,841.3,140.7
_standard_copy7_ground.i_3_2_2.bpl_7_p55.smt2,,ok,unsat,684.7,0,684.7,124.2
_standard_copy7_ground.i_3_2_2.bpl_7_p56.smt2,,ok,unsat,826.3,0,826.2,148.1
_standard_copy7_ground.i_3_2_2.bpl_7_p57.smt2,,ok,unsat,673.2,0,673.0,136.3
_standard_copy7_ground.i_3_2_2.bpl_7_p58.smt2,,ok,unsat,925.8,0,925.7,170.7
_standard_copy7_ground.i_3_2_2.bpl_7_p59.smt2,,ok,unsat,788.1,0,788.0,137.1
_standard_copy7_ground.i_3_2_2.bpl_7_p6.smt2,,ok,unsat,655.2,0,655.1,121.2
_standard_copy7_ground.i_3_2_2.bpl_7_p60.smt2,,ok,unsat,744.2,0,744.1,132.5
_standard_copy7_ground.i_3_2_2.bpl_7_p61.smt2,,ok,unsat,737.8,0,737.7,128.4
_standard_copy7_ground.i_3_2_2.bpl_7_p62.smt2,,ok,unsat,949.4,0,949.4,157.1
_standard_copy7_ground.i_3_2_2.bpl_7_p63.smt2,,ok,unsat,738.5,0,738.5,128.0
