benchmark,config,status,result,time_real,exit_code,time_cpu,memory
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_p0.smt2,,to,unknown,1201.0,0,1200.8,1244.9
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_p1.smt2,,ok,unsat,61.5,0,60.7,408.6
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_p10.smt2,,ok,unsat,61.5,0,61.0,409.6
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_p100.smt2,,ok,unsat,95.6,0,95.0,1157.0
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_p101.smt2,,ok,unsat,59.9,0,59.7,408.9
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_p102.smt2,,ok,unsat,59.8,0,59.4,409.6
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_p103.smt2,,ok,unsat,60.5,0,60.1,408.0
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_p104.smt2,,ok,unsat,90.7,0,90.5,1156.9
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_p105.smt2,,ok,unsat,60.3,0,59.8,408.4
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_p106.smt2,,ok,unsat,60.7,0,60.5,409.7
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_p107.smt2,,ok,unsat,60.0,0,59.8,408.3
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_p108.smt2,,ok,unsat,93.6,0,90.3,1156.1
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_p109.smt2,,ok,unsat,60.7,0,60.3,408.5
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_p11.smt2,,ok,unsat,60.2,0,60.0,408.2
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_p110.smt2,,ok,unsat,65.3,0,62.6,409.9
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_p111.smt2,,ok,unsat,59.7,0,59.4,408.4
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_p112.smt2,,ok,unsat,90.3,0,90.1,1156.5
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_p113.smt2,,ok,unsat,62.8,0,62.5,408.7
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_p114.smt2,,ok,unsat,60.6,0,60.0,409.4
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_p115.smt2,,ok,unsat,64.4,0,60.2,408.9
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_p116.smt2,,ok,unsat,91.4,0,91.2,1156.8
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_p117.smt2,,ok,unsat,59.8,0,59.6,408.8
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_p118.smt2,,ok,unsat,60.9,0,60.0,409.9
aviad_true-termination.c_Iteration1_Loop_7-nestedTemplate_p119.smt2,,ok,unsat,62.0,0,61.6,408.8
