benchmark,config,status,result,time_real,exit_code,time_cpu,memory
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p0.smt2,,to,unknown,1201.0,0,1200.9,459.7
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p1.smt2,,to,unknown,1201.0,0,1200.9,451.2
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p10.smt2,,ok,unsat,11.9,0,11.8,69.2
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p100.smt2,,ok,unsat,296.7,0,296.5,369.7
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p101.smt2,,ok,unsat,123.3,0,123.2,367.0
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p102.smt2,,ok,unsat,718.8,0,718.7,387.1
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p103.smt2,,ok,unsat,105.9,0,105.8,364.9
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p104.smt2,,ok,unsat,11.6,0,11.5,69.6
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p105.smt2,,ok,unsat,11.8,0,11.7,68.9
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p106.smt2,,ok,unsat,11.8,0,11.7,69.6
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p107.smt2,,ok,unsat,12.1,0,11.8,70.1
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p108.smt2,,ok,unsat,11.7,0,11.6,69.2
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p109.smt2,,ok,unsat,11.6,0,11.5,69.2
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p11.smt2,,ok,unsat,11.8,0,11.7,68.8
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p110.smt2,,ok,unsat,12.0,0,11.7,69.0
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p111.smt2,,ok,unsat,11.8,0,11.8,69.0
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p112.smt2,,ok,unsat,572.7,0,572.6,377.0
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate_p113.smt2,,ok,unsat,72.2,0,72.1,305.5
