benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_sanfoundry_10_ground.i_6_3_3.bpl_13_p0.smt2,,to,unknown,1201.0,0,1200.8,260.3
_sanfoundry_10_ground.i_6_3_3.bpl_13_p1.smt2,,ok,unsat,42.0,0,41.8,134.9
_sanfoundry_10_ground.i_6_3_3.bpl_13_p10.smt2,,ok,unsat,11.3,0,11.2,116.4
_sanfoundry_10_ground.i_6_3_3.bpl_13_p11.smt2,,ok,unsat,11.8,0,11.8,116.9
_sanfoundry_10_ground.i_6_3_3.bpl_13_p12.smt2,,ok,unsat,1176.8,0,1176.7,221.4
_sanfoundry_10_ground.i_6_3_3.bpl_13_p13.smt2,,ok,unsat,13.3,0,13.2,116.7
_sanfoundry_10_ground.i_6_3_3.bpl_13_p14.smt2,,ok,unsat,11.6,0,11.5,117.4
_sanfoundry_10_ground.i_6_3_3.bpl_13_p15.smt2,,ok,unsat,10.9,0,10.6,117.8
_sanfoundry_10_ground.i_6_3_3.bpl_13_p2.smt2,,ok,unsat,823.8,0,823.7,176.5
_sanfoundry_10_ground.i_6_3_3.bpl_13_p3.smt2,,ok,unsat,45.0,0,44.9,128.7
_sanfoundry_10_ground.i_6_3_3.bpl_13_p4.smt2,,to,unknown,1201.0,0,1200.9,244.3
_sanfoundry_10_ground.i_6_3_3.bpl_13_p5.smt2,,ok,unsat,18.3,0,18.1,123.2
_sanfoundry_10_ground.i_6_3_3.bpl_13_p6.smt2,,ok,unsat,1109.0,0,1108.9,192.9
_sanfoundry_10_ground.i_6_3_3.bpl_13_p7.smt2,,ok,unsat,13.2,0,13.1,118.0
_sanfoundry_10_ground.i_6_3_3.bpl_13_p8.smt2,,ok,unsat,1190.4,0,1190.2,231.0
_sanfoundry_10_ground.i_6_3_3.bpl_13_p9.smt2,,ok,unsat,14.5,0,14.3,118.0
