benchmark,config,status,result,time_real,exit_code,time_cpu,memory
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p0.smt2,,to,unknown,1201.0,0,1200.8,128.2
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p1.smt2,,ok,unsat,526.1,0,526.0,73.4
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p10.smt2,,ok,unsat,407.4,0,407.3,69.0
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p11.smt2,,ok,unsat,188.8,0,188.7,66.4
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p12.smt2,,ok,unsat,414.6,0,414.5,68.0
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p13.smt2,,ok,unsat,94.4,0,94.3,58.4
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p14.smt2,,ok,unsat,116.3,0,116.2,61.1
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p15.smt2,,ok,unsat,122.2,0,122.1,58.6
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p16.smt2,,ok,unsat,1064.4,0,1064.3,120.2
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p17.smt2,,ok,unsat,187.6,0,187.5,68.9
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p18.smt2,,ok,unsat,415.3,0,415.2,71.8
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p19.smt2,,ok,unsat,473.7,0,473.7,69.2
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p2.smt2,,ok,unsat,553.5,0,553.4,83.4
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p20.smt2,,ok,unsat,369.9,0,369.8,66.6
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p21.smt2,,ok,unsat,67.3,0,67.0,52.6
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p22.smt2,,ok,unsat,148.6,0,148.4,62.4
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p23.smt2,,ok,unsat,103.7,0,103.7,55.5
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p24.smt2,,ok,unsat,988.5,0,988.4,106.4
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p25.smt2,,ok,unsat,171.3,0,171.3,65.4
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p26.smt2,,ok,unsat,140.3,0,140.2,63.6
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p27.smt2,,ok,unsat,111.4,0,111.3,57.3
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p28.smt2,,ok,unsat,95.8,0,95.7,55.7
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p29.smt2,,ok,unsat,35.7,0,35.6,47.2
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p3.smt2,,ok,unsat,508.4,0,508.1,77.6
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p30.smt2,,ok,unsat,80.0,0,80.0,53.3
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p31.smt2,,ok,unsat,59.7,0,59.6,51.0
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p4.smt2,,ok,unsat,565.8,0,565.7,83.6
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p5.smt2,,ok,unsat,125.1,0,125.0,59.2
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p6.smt2,,ok,unsat,179.0,0,179.0,63.6
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p7.smt2,,ok,unsat,159.7,0,159.7,64.3
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p8.smt2,,to,unknown,1201.0,0,1200.9,122.3
_sorting_bubblesort_ground.i_4_3_3.bpl_11_p9.smt2,,ok,unsat,478.4,0,478.3,74.3
