benchmark,config,status,result,time_real,exit_code,time_cpu,memory
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p0.smt2,,ok,sat,545.3,0,545.2,789.9
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p1.smt2,,to,unknown,1201.0,0,1200.8,755.9
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p10.smt2,,ok,sat,1097.7,0,1097.5,848.6
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p11.smt2,,to,unknown,1201.0,0,1200.8,749.3
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p12.smt2,,to,unknown,1201.0,0,1200.9,756.1
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p13.smt2,,to,unknown,1201.0,0,1200.9,981.4
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p14.smt2,,to,unknown,1201.0,0,1200.9,765.7
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p15.smt2,,ok,sat,596.9,0,596.7,768.7
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p16.smt2,,ok,sat,1041.9,0,1041.8,803.3
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p17.smt2,,to,unknown,1201.0,0,1201.0,780.3
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p18.smt2,,to,unknown,1201.0,0,1200.9,766.1
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p19.smt2,,ok,sat,1018.8,0,1018.6,794.2
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p2.smt2,,ok,sat,1144.4,0,1144.3,803.8
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p20.smt2,,to,unknown,1201.0,0,1200.9,770.5
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p21.smt2,,ok,sat,730.4,0,730.3,782.2
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p22.smt2,,to,unknown,1201.0,0,1200.8,762.8
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p23.smt2,,to,unknown,1201.0,0,1200.9,755.0
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p24.smt2,,to,unknown,1201.0,0,1200.9,762.2
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p25.smt2,,ok,sat,851.9,0,851.8,761.3
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p26.smt2,,to,unknown,1201.0,0,1201.0,791.2
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p27.smt2,,to,unknown,1201.0,0,1201.0,1304.1
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p28.smt2,,to,unknown,1201.0,0,1200.9,783.7
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p29.smt2,,to,unknown,1201.0,0,1200.9,775.2
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p3.smt2,,to,unknown,1201.0,0,1200.9,759.6
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p30.smt2,,ok,sat,1081.4,0,1081.3,792.7
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p31.smt2,,to,unknown,1201.0,0,1200.9,761.6
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p4.smt2,,ok,sat,1077.4,0,1077.3,775.4
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p5.smt2,,to,unknown,1201.0,0,1201.0,789.4
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p6.smt2,,to,unknown,1201.0,0,1200.9,773.1
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p7.smt2,,ok,sat,1004.1,0,1004.0,782.2
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p8.smt2,,ok,sat,1146.7,0,1146.4,782.4
bound-scaled200.bpl_Iteration1_Loop_7-phaseTemplate_p9.smt2,,ok,sat,909.2,0,909.0,841.3
