benchmark,config,status,result,time_real,exit_code,time_cpu,memory
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p0.smt2,,ok,sat,960.1,0,959.4,728.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p1.smt2,,ok,unsat,27.4,0,26.8,129.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p10.smt2,,ok,unsat,26.8,0,26.7,129.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p11.smt2,,ok,unsat,27.2,0,26.9,130.0
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p12.smt2,,ok,sat,823.3,0,823.2,702.1
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p13.smt2,,ok,unsat,26.9,0,26.8,129.9
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p14.smt2,,ok,unsat,26.9,0,26.8,129.7
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p15.smt2,,ok,unsat,27.3,0,26.9,129.3
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p16.smt2,,ok,unsat,52.9,0,52.8,422.2
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p17.smt2,,ok,unsat,26.9,0,26.8,129.9
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p18.smt2,,ok,unsat,27.2,0,26.9,129.8
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p19.smt2,,ok,unsat,27.1,0,26.9,130.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p2.smt2,,ok,unsat,27.3,0,27.1,129.5
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p20.smt2,,ok,unsat,53.2,0,52.7,422.2
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p21.smt2,,ok,unsat,27.9,0,27.3,130.7
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p22.smt2,,ok,unsat,27.2,0,27.1,129.8
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p23.smt2,,ok,unsat,27.9,0,27.2,129.1
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p24.smt2,,ok,unsat,53.1,0,52.9,421.3
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p25.smt2,,ok,unsat,27.1,0,26.8,129.3
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p26.smt2,,ok,unsat,27.2,0,26.9,129.7
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p27.smt2,,ok,unsat,27.1,0,26.9,130.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p28.smt2,,ok,unsat,53.5,0,53.2,421.8
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p29.smt2,,ok,unsat,28.3,0,27.9,130.0
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p3.smt2,,ok,unsat,27.2,0,27.1,130.0
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p30.smt2,,ok,unsat,26.8,0,26.8,129.3
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p31.smt2,,ok,unsat,27.1,0,26.9,130.6
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p4.smt2,,ok,sat,852.0,0,851.8,966.4
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p5.smt2,,ok,unsat,27.0,0,26.7,130.1
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p6.smt2,,ok,unsat,27.5,0,27.2,129.3
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p7.smt2,,ok,unsat,26.6,0,26.6,129.1
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p8.smt2,,ok,sat,696.8,0,696.4,724.1
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate_p9.smt2,,ok,unsat,27.1,0,27.0,130.1
