benchmark,config,status,result,time_real,exit_code,time_cpu,memory
simple_startup_15nodes.abstract.induct_p0.smt2,,ok,unsat,1091.9,0,1091.8,338.1
simple_startup_15nodes.abstract.induct_p1.smt2,,ok,unsat,732.9,0,732.8,239.6
simple_startup_15nodes.abstract.induct_p10.smt2,,ok,unsat,919.8,0,919.7,304.1
simple_startup_15nodes.abstract.induct_p11.smt2,,ok,unsat,871.2,0,871.1,282.5
simple_startup_15nodes.abstract.induct_p12.smt2,,ok,unsat,854.7,0,854.7,278.1
simple_startup_15nodes.abstract.induct_p13.smt2,,ok,unsat,731.4,0,731.4,230.0
simple_startup_15nodes.abstract.induct_p14.smt2,,ok,unsat,846.0,0,845.9,277.8
simple_startup_15nodes.abstract.induct_p15.smt2,,ok,unsat,723.7,0,723.6,236.8
simple_startup_15nodes.abstract.induct_p16.smt2,,ok,unsat,851.9,0,851.8,279.9
simple_startup_15nodes.abstract.induct_p17.smt2,,ok,unsat,680.2,0,680.0,239.5
simple_startup_15nodes.abstract.induct_p18.smt2,,ok,unsat,982.1,0,982.1,323.9
simple_startup_15nodes.abstract.induct_p19.smt2,,ok,unsat,809.2,0,809.1,261.7
simple_startup_15nodes.abstract.induct_p2.smt2,,ok,unsat,875.2,0,875.1,278.7
simple_startup_15nodes.abstract.induct_p20.smt2,,ok,unsat,763.9,0,763.9,258.5
simple_startup_15nodes.abstract.induct_p21.smt2,,ok,unsat,739.9,0,739.9,248.8
simple_startup_15nodes.abstract.induct_p22.smt2,,ok,unsat,876.9,0,876.9,273.9
simple_startup_15nodes.abstract.induct_p23.smt2,,ok,unsat,736.9,0,736.9,239.1
simple_startup_15nodes.abstract.induct_p24.smt2,,ok,unsat,889.3,0,889.3,273.5
simple_startup_15nodes.abstract.induct_p25.smt2,,ok,unsat,716.5,0,716.4,229.0
simple_startup_15nodes.abstract.induct_p26.smt2,,ok,unsat,1002.7,0,1002.7,328.1
simple_startup_15nodes.abstract.induct_p27.smt2,,ok,unsat,935.6,0,935.6,280.8
simple_startup_15nodes.abstract.induct_p28.smt2,,ok,unsat,901.5,0,901.5,268.3
simple_startup_15nodes.abstract.induct_p29.smt2,,ok,unsat,700.3,0,700.2,226.2
simple_startup_15nodes.abstract.induct_p3.smt2,,ok,unsat,1009.3,0,1009.3,302.8
simple_startup_15nodes.abstract.induct_p30.smt2,,ok,unsat,814.4,0,814.4,296.6
simple_startup_15nodes.abstract.induct_p31.smt2,,ok,unsat,919.1,0,919.1,275.0
simple_startup_15nodes.abstract.induct_p4.smt2,,ok,unsat,845.9,0,845.7,266.6
simple_startup_15nodes.abstract.induct_p5.smt2,,ok,unsat,795.0,0,795.0,250.0
simple_startup_15nodes.abstract.induct_p6.smt2,,ok,unsat,751.5,0,751.4,238.0
simple_startup_15nodes.abstract.induct_p7.smt2,,ok,unsat,770.3,0,770.2,253.0
simple_startup_15nodes.abstract.induct_p8.smt2,,ok,unsat,847.3,0,847.2,280.3
simple_startup_15nodes.abstract.induct_p9.smt2,,ok,unsat,921.9,0,921.8,284.8
