benchmark,config,status,result,time_real,exit_code,time_cpu,memory
SEQ038_size8_p0.smt2,,ok,unsat,0.2,0,0.1,6.9
SEQ038_size8_p1.smt2,,ok,unsat,0.1,0,0.1,7.4
SEQ038_size8_p10.smt2,,ok,unsat,0.3,0,0.3,15.6
SEQ038_size8_p11.smt2,,ok,unsat,1.3,0,1.3,15.7
SEQ038_size8_p12.smt2,,ok,unsat,0.2,0,0.2,14.6
SEQ038_size8_p13.smt2,,ok,unsat,0.3,0,0.3,14.2
SEQ038_size8_p14.smt2,,ok,unsat,0.3,0,0.3,15.5
SEQ038_size8_p15.smt2,,ok,unsat,3.1,0,3.1,17.3
SEQ038_size8_p16.smt2,,ok,unsat,0.2,0,0.2,7.1
SEQ038_size8_p17.smt2,,ok,unsat,0.2,0,0.2,6.5
SEQ038_size8_p18.smt2,,ok,unsat,0.2,0,0.1,7.0
SEQ038_size8_p19.smt2,,ok,unsat,0.1,0,0.1,7.4
SEQ038_size8_p2.smt2,,ok,unsat,0.2,0,0.2,7.5
SEQ038_size8_p20.smt2,,ok,unsat,0.3,0,0.2,14.8
SEQ038_size8_p21.smt2,,ok,unsat,0.4,0,0.2,14.4
SEQ038_size8_p22.smt2,,ok,unsat,0.6,0,0.6,15.6
SEQ038_size8_p23.smt2,,ok,unsat,11.6,0,11.6,17.6
SEQ038_size8_p24.smt2,,ok,unsat,0.3,0,0.3,14.4
SEQ038_size8_p25.smt2,,ok,unsat,0.3,0,0.2,14.2
SEQ038_size8_p26.smt2,,ok,unsat,0.6,0,0.5,15.6
SEQ038_size8_p27.smt2,,ok,unsat,13.8,0,13.7,17.2
SEQ038_size8_p28.smt2,,ok,unsat,0.3,0,0.2,14.0
SEQ038_size8_p29.smt2,,ok,unsat,0.4,0,0.3,14.8
SEQ038_size8_p3.smt2,,ok,unsat,0.2,0,0.1,6.8
SEQ038_size8_p30.smt2,,ok,unsat,1.2,0,1.1,16.7
SEQ038_size8_p31.smt2,,ok,unsat,39.7,0,39.7,19.5
SEQ038_size8_p32.smt2,,ok,unsat,0.2,0,0.1,7.1
SEQ038_size8_p33.smt2,,ok,unsat,0.2,0,0.1,7.6
SEQ038_size8_p34.smt2,,ok,unsat,0.1,0,0.1,7.2
SEQ038_size8_p35.smt2,,ok,unsat,0.2,0,0.1,6.7
SEQ038_size8_p36.smt2,,ok,unsat,0.3,0,0.3,14.8
SEQ038_size8_p37.smt2,,ok,unsat,0.3,0,0.2,13.7
SEQ038_size8_p38.smt2,,ok,unsat,6.3,0,6.3,17.1
SEQ038_size8_p39.smt2,,ok,unsat,52.5,0,52.4,18.4
SEQ038_size8_p4.smt2,,ok,unsat,0.3,0,0.3,15.0
SEQ038_size8_p40.smt2,,ok,unsat,0.3,0,0.3,14.7
SEQ038_size8_p41.smt2,,ok,unsat,0.3,0,0.3,13.4
SEQ038_size8_p42.smt2,,ok,unsat,6.3,0,6.2,17.4
SEQ038_size8_p43.smt2,,ok,unsat,55.9,0,55.9,19.9
SEQ038_size8_p44.smt2,,ok,unsat,0.3,0,0.3,14.3
SEQ038_size8_p45.smt2,,ok,unsat,0.3,0,0.3,13.8
SEQ038_size8_p46.smt2,,ok,unsat,15.2,0,15.2,18.3
SEQ038_size8_p47.smt2,,ok,unsat,276.4,0,276.4,29.6
SEQ038_size8_p48.smt2,,ok,unsat,0.2,0,0.1,7.8
SEQ038_size8_p49.smt2,,ok,unsat,0.2,0,0.1,7.0
SEQ038_size8_p5.smt2,,ok,unsat,0.2,0,0.2,14.5
SEQ038_size8_p50.smt2,,ok,unsat,0.1,0,0.1,7.5
SEQ038_size8_p51.smt2,,ok,unsat,0.2,0,0.1,7.7
SEQ038_size8_p52.smt2,,ok,unsat,0.3,0,0.2,14.0
SEQ038_size8_p53.smt2,,ok,unsat,0.3,0,0.3,14.1
SEQ038_size8_p54.smt2,,ok,unsat,8.7,0,8.7,17.1
SEQ038_size8_p55.smt2,,ok,unsat,86.5,0,86.5,20.8
SEQ038_size8_p56.smt2,,ok,unsat,0.3,0,0.3,13.5
SEQ038_size8_p57.smt2,,ok,unsat,0.3,0,0.3,13.6
SEQ038_size8_p58.smt2,,ok,unsat,12.8,0,12.8,17.4
SEQ038_size8_p59.smt2,,ok,unsat,92.5,0,92.5,20.9
SEQ038_size8_p6.smt2,,ok,unsat,0.4,0,0.4,15.1
SEQ038_size8_p60.smt2,,ok,unsat,0.2,0,0.2,14.3
SEQ038_size8_p61.smt2,,ok,unsat,0.3,0,0.3,14.0
SEQ038_size8_p62.smt2,,ok,unsat,29.8,0,29.7,19.5
SEQ038_size8_p63.smt2,,ok,unsat,441.4,0,441.3,44.9
SEQ038_size8_p7.smt2,,ok,unsat,1.4,0,1.3,16.0
SEQ038_size8_p8.smt2,,ok,unsat,0.3,0,0.2,14.1
SEQ038_size8_p9.smt2,,ok,unsat,0.3,0,0.2,14.5
