benchmark,config,status,result,time_real,exit_code,time_cpu,memory
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p0.smt2,,to,unknown,1201.0,0,1200.7,1522.8
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p1.smt2,,ok,unsat,60.7,0,60.5,454.3
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p10.smt2,,ok,unsat,55.4,0,54.8,454.8
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p11.smt2,,ok,unsat,55.8,0,55.6,454.1
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p12.smt2,,ok,unsat,56.0,0,55.5,466.9
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p13.smt2,,ok,unsat,55.3,0,54.9,454.4
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p14.smt2,,ok,unsat,55.2,0,55.0,455.2
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p15.smt2,,ok,unsat,55.2,0,55.0,454.3
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p16.smt2,,ok,unsat,92.3,0,92.1,1350.6
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p17.smt2,,ok,unsat,55.2,0,54.9,454.2
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p18.smt2,,ok,unsat,56.2,0,55.9,455.1
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p19.smt2,,ok,unsat,55.2,0,55.0,455.2
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p2.smt2,,ok,unsat,55.7,0,55.4,454.9
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p20.smt2,,ok,unsat,57.0,0,56.6,467.1
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p21.smt2,,ok,unsat,55.6,0,55.4,455.1
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p22.smt2,,ok,unsat,55.8,0,55.5,454.3
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p23.smt2,,ok,unsat,55.5,0,55.3,454.3
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p24.smt2,,ok,unsat,92.9,0,92.6,1351.0
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p25.smt2,,ok,unsat,56.0,0,55.5,454.5
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p26.smt2,,ok,unsat,56.2,0,55.8,454.2
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p27.smt2,,ok,unsat,56.0,0,55.6,454.3
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p28.smt2,,ok,unsat,55.3,0,55.0,466.7
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p29.smt2,,ok,unsat,55.6,0,55.4,454.9
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p3.smt2,,ok,unsat,55.3,0,55.1,454.9
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p30.smt2,,ok,unsat,56.8,0,56.4,454.3
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p31.smt2,,ok,unsat,55.3,0,55.1,454.9
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p32.smt2,,ok,unsat,56.8,0,56.6,466.9
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p33.smt2,,ok,unsat,56.6,0,56.4,454.3
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p34.smt2,,ok,unsat,55.6,0,55.4,454.9
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p35.smt2,,ok,unsat,55.6,0,55.4,455.2
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p36.smt2,,ok,unsat,56.0,0,55.8,467.2
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p37.smt2,,ok,unsat,56.3,0,56.1,454.4
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p38.smt2,,ok,unsat,55.6,0,55.4,454.5
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p39.smt2,,ok,unsat,55.8,0,55.1,454.8
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p4.smt2,,ok,unsat,55.6,0,55.4,467.2
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p40.smt2,,ok,unsat,56.9,0,56.7,467.0
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p41.smt2,,ok,unsat,56.3,0,55.7,455.3
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p42.smt2,,ok,unsat,55.5,0,55.2,454.1
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p43.smt2,,ok,unsat,57.0,0,56.8,455.2
TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate_p44.smt2,,ok,unsat,55.5,0,55.3,466.9
