benchmark,config,status,result,time_real,exit_code,time_cpu,memory
danoint-65_p0.smt2,,to,unknown,1201.0,0,1200.8,58.4
danoint-65_p1.smt2,,ok,unsat,1.3,0,1.3,18.3
danoint-65_p10.smt2,,ok,unsat,1.3,0,1.3,18.1
danoint-65_p11.smt2,,ok,unsat,1.3,0,1.3,18.5
danoint-65_p12.smt2,,ok,unsat,1.3,0,1.3,18.2
danoint-65_p13.smt2,,ok,unsat,1.3,0,1.3,17.8
danoint-65_p14.smt2,,ok,unsat,1.3,0,1.3,18.3
danoint-65_p15.smt2,,ok,unsat,1.3,0,1.3,17.8
danoint-65_p16.smt2,,ok,unsat,1.3,0,1.2,18.9
danoint-65_p17.smt2,,ok,unsat,1.3,0,1.3,18.2
danoint-65_p18.smt2,,ok,unsat,1.3,0,1.3,18.9
danoint-65_p19.smt2,,ok,unsat,1.3,0,1.3,17.6
danoint-65_p2.smt2,,to,unknown,1201.0,0,1201.0,58.5
danoint-65_p20.smt2,,ok,unsat,1.4,0,1.3,18.6
danoint-65_p21.smt2,,ok,unsat,1.3,0,1.3,18.5
danoint-65_p22.smt2,,ok,unsat,1.3,0,1.3,18.0
danoint-65_p23.smt2,,ok,unsat,1.3,0,1.3,18.2
danoint-65_p24.smt2,,ok,unsat,1.3,0,1.3,18.2
danoint-65_p25.smt2,,ok,unsat,1.3,0,1.3,18.3
danoint-65_p26.smt2,,ok,unsat,1.3,0,1.3,18.4
danoint-65_p27.smt2,,ok,unsat,1.2,0,1.2,18.0
danoint-65_p28.smt2,,ok,unsat,1.3,0,1.3,18.0
danoint-65_p29.smt2,,ok,unsat,1.3,0,1.3,18.2
danoint-65_p3.smt2,,ok,unsat,1.3,0,1.3,18.0
danoint-65_p30.smt2,,ok,unsat,1.3,0,1.3,18.5
danoint-65_p31.smt2,,ok,unsat,1.3,0,1.3,18.5
danoint-65_p32.smt2,,to,unknown,1201.0,0,1201.0,57.5
danoint-65_p33.smt2,,ok,unsat,1.2,0,1.2,18.1
danoint-65_p34.smt2,,to,unknown,1201.0,0,1201.0,58.4
danoint-65_p35.smt2,,ok,unsat,1.4,0,1.4,19.1
danoint-65_p36.smt2,,ok,unsat,1.3,0,1.3,18.3
danoint-65_p37.smt2,,ok,unsat,1.2,0,1.2,18.2
danoint-65_p38.smt2,,ok,unsat,1.8,0,1.8,19.3
danoint-65_p39.smt2,,ok,unsat,1.3,0,1.3,18.1
danoint-65_p4.smt2,,ok,unsat,1.3,0,1.3,18.2
danoint-65_p40.smt2,,ok,unsat,1.3,0,1.3,18.4
danoint-65_p41.smt2,,ok,unsat,1.3,0,1.2,18.4
danoint-65_p42.smt2,,ok,unsat,1.3,0,1.3,18.3
danoint-65_p43.smt2,,ok,unsat,1.3,0,1.2,18.6
danoint-65_p44.smt2,,ok,unsat,1.3,0,1.3,18.4
danoint-65_p45.smt2,,ok,unsat,1.2,0,1.2,18.3
danoint-65_p46.smt2,,ok,unsat,1.3,0,1.3,18.1
danoint-65_p47.smt2,,ok,unsat,1.3,0,1.3,18.1
danoint-65_p48.smt2,,ok,unsat,1.3,0,1.3,19.1
danoint-65_p49.smt2,,ok,unsat,1.3,0,1.3,18.2
danoint-65_p5.smt2,,ok,unsat,1.3,0,1.2,18.2
danoint-65_p50.smt2,,ok,unsat,1.5,0,1.4,19.4
danoint-65_p51.smt2,,ok,unsat,1.3,0,1.3,18.6
danoint-65_p52.smt2,,ok,unsat,1.3,0,1.3,18.5
danoint-65_p53.smt2,,ok,unsat,1.3,0,1.3,18.1
danoint-65_p54.smt2,,ok,unsat,1.5,0,1.4,18.9
danoint-65_p55.smt2,,ok,unsat,1.3,0,1.3,18.5
danoint-65_p56.smt2,,ok,unsat,1.3,0,1.3,17.6
danoint-65_p57.smt2,,ok,unsat,1.3,0,1.3,18.2
danoint-65_p58.smt2,,ok,unsat,1.3,0,1.3,18.2
danoint-65_p59.smt2,,ok,unsat,1.3,0,1.2,18.1
danoint-65_p6.smt2,,ok,unsat,1.3,0,1.3,18.3
danoint-65_p60.smt2,,ok,unsat,1.3,0,1.3,18.5
danoint-65_p61.smt2,,ok,unsat,1.4,0,1.3,19.4
danoint-65_p62.smt2,,ok,unsat,1.4,0,1.3,17.9
danoint-65_p63.smt2,,ok,unsat,1.4,0,1.4,18.7
danoint-65_p7.smt2,,ok,unsat,1.3,0,1.3,18.2
danoint-65_p8.smt2,,ok,unsat,1.3,0,1.3,18.3
danoint-65_p9.smt2,,ok,unsat,1.3,0,1.3,18.2
